time_s,leg,phase,segment,forward_force_n,vertical_force_n,j2_target_deg,j3_target_deg,j2_actual_deg,j3_actual_deg,forward_velocity_m_s,j2_torque_nm,j3_torque_nm,j2_power_w,j3_power_w
5.0,FL,0.40236854674820766,late_stance,-0.7704122438421956,22.76861112117417,43.3209992264118,77.08624219128836,43.14794029513832,79.77862930458437,0.06204637865557844,-0.18410882654907512,-1.6405913685722147,-0.03192561892240157,0.017173432727306415
5.0,FR,0.9023685467482077,swing,0.0,0.0,37.25933401469292,96.21117355165222,40.04419053987457,98.67451334488526,0.06204637865557844,0.18762694517767875,0.06076666815199372,-0.24228439992513218,-0.056290703666988635
5.0,RL,0.9023685467482077,swing,0.0,0.0,34.46817909089,87.02938185190013,36.90005591814374,89.26600983421558,0.06204637865557844,0.1719810973688788,0.034184663110335856,-0.18619546844191168,-0.025854668311291275
5.0,RR,0.40236854674820766,late_stance,0.5196570303913968,21.20728536537975,41.54494287173979,73.56282717977723,40.826938948330636,76.3410437208829,0.06204637865557844,0.2074082553750781,-1.6631856079581917,0.03781739903038491,0.06728297666963806
5.0200000000000005,FL,0.4065352134148743,late_stance,-0.72709281363765,22.786775548075266,43.515345118456864,77.07103688384164,43.35044755361739,79.77457064640551,0.06915676463472502,-0.1693660451646891,-1.6476258195486198,-0.03423748060412799,-0.0023365519252542166
5.0200000000000005,FR,0.9065352134148743,swing,0.0,0.0,35.81089235431717,94.78044509618228,38.48646581728617,97.3876531157477,0.06915676463472502,0.21092034565585926,0.05213520251163395,-0.25325444597135616,-0.04902797521601173
5.0200000000000005,RL,0.9065352134148743,swing,0.0,0.0,33.184344882449984,85.75652983157943,35.582229279745775,88.13379030802861,0.06915676463472502,0.17568700952330474,0.028871513090011236,-0.17885229092830687,-0.02577409442317972
5.0200000000000005,RR,0.4065352134148743,late_stance,0.20380222594316133,21.060425926724204,41.73718845745897,73.51597409195107,41.02050602347958,76.2649278471832,0.06915676463472502,0.12900226306437054,-1.6127014620627933,0.02576064685637751,0.07383841295653674
5.04,FL,0.41070188008154096,late_stance,-0.9109248370699778,22.992705301242072,43.698601338177816,77.01174527489692,43.57641316040288,79.7819264960911,0.0729091634794,-0.20762956262700377,-1.650947113277575,-0.04389979719223927,0.001157778683751818
5.04,FR,0.910701880081541,swing,0.0,0.0,34.41416891804055,93.27699539833046,37.00975256078907,96.0463004317069,0.0729091634794,0.18206739804017924,0.05201797278892295,-0.21468196687258148,-0.051483490586514566
5.04,RL,0.910701880081541,swing,0.0,0.0,31.985543061444563,84.48194784582701,34.31857648185429,86.88947556658826,0.0729091634794,0.12932650707948845,0.03451477380376611,-0.1298901119624207,-0.03068412804645633
5.04,RR,0.41070188008154096,late_stance,0.1993508154672283,20.600006495140583,41.9667401772008,73.51018527598093,41.20739645461197,76.15477697376438,0.0729091634794,0.1336817285969343,-1.5732208017252294,0.024812156150815903,0.12218489781610949
5.0600000000000005,FL,0.4148685467482076,late_stance,-0.49319201923416234,22.951174986396925,43.892091566886876,76.98365577370858,43.768245155628655,79.76580594956513,0.03847289667290574,-0.11567843400015924,-1.6881546358795683,-0.008537042504690494,0.010437905052670041
5.0600000000000005,FR,0.9148685467482076,swing,0.0,0.0,33.07278208392371,91.77406655981689,35.54602627747226,94.64539473829875,0.03847289667290574,0.2134619271296634,0.022900532852770716,-0.25076664970690976,-0.023458430249796287
5.0600000000000005,RL,0.9148685467482076,swing,-5.425390825252427,10.776676508144291,30.771800542599646,83.13818443751474,33.29041980014238,85.85976661715644,0.03847289667290574,-0.42162032274879085,-0.5163373470339532,0.19313453444726267,0.2116787492136151
5.0600000000000005,RR,0.4148685467482076,late_stance,1.2073775044034738,16.390274511810496,42.168157424205106,73.47325783214671,41.3606100112008,76.0064997901443,0.03847289667290574,0.37339823346256873,-1.3702579048135357,0.009136560827579427,0.31493390285854517
5.08,FL,0.41903521341487426,late_stance,1.0327457444805166,21.56471377141214,44.09003514384305,76.99835254262626,43.65688933251973,79.80669373380451,-0.03664347965029128,0.27539760153501347,-1.7702316004674867,-0.05429282621164868,-0.115163631278105
5.08,FR,0.9190352134148743,swing,0.0,0.0,31.79020366994382,90.28081138567691,34.149497627083306,93.18105205650947,-0.03664347965029128,0.18493043335032489,0.025889136376566868,-0.18594773112913912,-0.028999758458060104
5.08,RL,0.9190352134148743,swing,-5.31209796261231,12.48292029066108,29.62255811598576,81.77183522465656,32.59166378674738,85.1870257795282,-0.03664347965029128,-0.5530650157261354,-0.7535052061444119,0.3973828597892232,0.5227443469183047
5.08,RR,0.41903521341487426,late_stance,2.2468341815964887,10.68514690754469,42.338976020145964,73.4009313582458,41.21509228398821,75.60891449483715,-0.03664347965029128,0.6882285681380704,-1.0668018582482495,-0.07845374315631115,0.31338525973321396
5.1000000000000005,FL,0.4232018800815409,late_stance,2.6286489498937473,20.028876028875068,44.28852451152848,77.00560130843797,43.35001356485765,79.90846927008367,-0.05863581486210931,0.6901016244122746,-1.8660140989502056,-0.19185743767574254,-0.1997813742944443
5.1000000000000005,FR,0.9232018800815409,swing,0.0,0.0,30.575634907489206,88.78875251963827,32.90344816283212,91.63990648989585,-0.05863581486210931,0.10638657813334529,0.04650420598134908,-0.10281301370436785,-0.05156927488318465
5.1000000000000005,RL,0.9232018800815409,swing,-4.804296743178438,11.810551102908905,28.514241243672206,80.40042830861606,31.577355061092756,84.18554081794333,-0.05863581486210931,-0.4861430750700645,-0.7555737794388636,0.43671242919784836,0.6524987605622955
5.1000000000000005,RR,0.4232018800815409,late_stance,2.484988066656468,9.743918350925737,42.51298178147407,73.33172269636256,41.08881340772387,75.29372202265758,-0.05863581486210931,0.7501576317862091,-1.0239392373578282,-0.01837969489281043,0.17476124310745345
5.12,FL,0.42736854674820757,late_stance,3.939274788442523,18.862527167922178,44.492281370185125,77.0133661862508,43.009992418144975,80.02983794562394,-0.05896805287012342,1.0063750101019566,-1.9274731435993058,-0.27996030145187967,-0.17211094976387953
