phase,time_s,FL_J1_deg,FL_J2_deg,FL_J3_deg,FR_J1_deg,FR_J2_deg,FR_J3_deg,RL_J1_deg,RL_J2_deg,RL_J3_deg,RR_J1_deg,RR_J2_deg,RR_J3_deg
0.0,0.0,0.6929943907406901,31.070066234426022,68.69150434922972,0.7741338966039959,40.47178332310214,67.92850887664548,0.7741338910481343,40.47178277564139,67.92850786663111,0.6929943851491398,31.070065445494382,68.69150277281697
0.008333333333333333,0.04,0.6943694321903834,31.25237433314693,68.72835444015105,0.7754756282564733,40.602288574999974,67.86840269301446,0.7754756226703465,40.602288028615426,67.86840168652421,0.6943694265732032,31.252373544743303,68.72835286673626
0.016666666666666666,0.08,0.6957427571922438,31.433561735044094,68.76284059879278,0.7768155567649172,40.73123580503298,67.80561394317846,0.7768155511484255,40.731235259740636,67.80561294024194,0.6957427515492052,31.433560947317076,68.76283902864095
0.025,0.12,0.6971151085667274,31.61391108623437,68.79560099109017,0.7781542676686863,40.859134368372175,67.74102901670251,0.7781542620217535,40.859133824183296,67.74102801734051,0.6971151028976917,31.61391029917931,68.79559942419115
0.03333333333333333,0.16,0.6984864828549945,31.793420267732156,68.82663643627139,0.77949175751863,40.98597996682858,67.67464387836775,0.7794917518411801,40.98597942375459,67.6746428826014,0.6984864771598362,31.79341948134457,68.82663487261574
0.041666666666666664,0.19999999999999998,0.6998568722629056,31.972086425600054,68.85594739776386,0.7808280171303269,41.11176724506485,67.60645384002049,0.7808280114223137,41.111766703117524,67.6064528478716,0.6998568665415023,31.972085639875573,68.85594583734238
0.05,0.24,0.7012262689775279,32.149906656619905,68.88353425938577,0.7821630372778998,41.23649079654764,67.53645409496683,0.7821630315392593,41.23649025573895,67.53645310645756,0.7012262632297563,32.149905871554544,68.88353270218995
0.058333333333333334,0.27999999999999997,0.7025946651648937,32.326878006291814,68.90939732021681,0.7834968086926615,41.36014515898181,67.46463970830843,0.7834968029233333,41.36014461932426,67.46463872346185,0.7025946593906283,32.32687722188177,68.90939576623848
0.06666666666666667,0.32,0.7039620529704597,32.50299746945911,68.93353679518557,0.7848340150537201,41.48326307544384,67.39198676972217,0.7848340086399094,41.483262466557754,67.39198566025036,0.7039620471695728,32.50299668570085,68.93353524441702
0.075,0.36,0.7053284245194908,32.678261990917136,68.95595281561106,0.7861684043467606,41.60512448699893,67.31718398609902,0.7861683979001227,41.60512387890523,67.31718288000263,0.7053284186918655,32.678261207807346,68.95595126804503
0.08333333333333333,0.39999999999999997,0.7066937719174801,32.852668465999464,68.97664542969561,0.7875015367121845,41.72590273682857,67.24055460320213,0.787501530233464,41.72590212971802,67.24055350064636,0.7066937660630077,32.852667683535216,68.97664388532557
0.09166666666666666,0.43999999999999995,0.7080580872505678,33.02621374114152,68.99561460296974,0.7888334047444894,41.84559261839893,67.16209356917214,0.7888333982336263,41.845592012283845,67.16209247017913,0.70805808136912,33.02621295931982,68.99561306178902
0.1,0.48,0.7094213625858634,33.19889461442128,69.01286021868815,0.7901639989600894,41.96418840010974,67.08179531385619,0.7901639924170565,41.96418779500315,67.08179421844966,0.7094213566773215,33.19889383323969,69.01285868069102
0.10833333333333334,0.52,0.7107835899718432,33.37070783607823,69.02838207817949,0.7914933098224014,42.08168428854411,66.99965412484637,0.7914933032471381,42.08168368445957,66.99965303305088,0.7107835840360828,33.37070705553441,69.02838054336047
0.11666666666666667,0.5599999999999999,0.7121447614386457,33.54165010900888,69.04217990114698,0.7928510327849025,42.20150114935664,66.9218582273421,0.7928510275243601,42.201500701719844,66.92185742011134,0.7121447554755714,33.54164932910073,69.042178369501
0.125,0.6,0.7135048689984316,33.71171808924011,69.05425332592266,0.7942013031397732,42.31950715467621,66.84092002328461,0.7942012978506346,42.31950670886587,66.84091922035358,0.7135048630079218,33.71171730996584,69.05425179744518
0.13333333333333333,0.64,0.7148639046456262,33.88090838637979,69.06460190967388,0.7955504132446244,42.43641763381165,66.75814932517254,0.7955504079250502,42.43641718944938,66.75814852624538,0.7148638986275789,33.880907607737804,69.06460038436076
0.14166666666666666,0.6799999999999999,0.7162218603572419,34.04921756404429,69.07322512856207,0.7969023954750498,42.55269516709599,66.67438165479058,0.7969023896764793,42.55269467232162,66.67438076651156,0.7162218543115408,34.04921678603324,69.07322360640961
0.15,0.72,0.7175787280930982,34.2166421402631,69.08012237785442,0.798252837392402,42.66782607356849,66.58869355668921,0.7982528315617831,42.66782557998943,66.58869267221463,0.7175787220196191,34.21664136288185,69.08012085885933
0.15833333333333333,0.7599999999999999,0.7189344997960312,34.38317858786049,69.08529297198835,0.7996021231095902,42.781849242822545,66.5011609153095,0.7996021172474562,42.78184875058817,66.50116003478395,0.7189344936946762,34.383177811108204,69.08529145614783
0.16666666666666666,0.7999999999999999,0.7202891673921671,34.54882333481376,69.08873614458805,0.8009502433555269,42.89475878091162,66.4117774983773,0.8009502374618274,42.894758290037565,66.41177662183007,0.7202891612628244,34.548822558689835,69.08873463189968
0.175,0.84,0.7216427227910236,34.71357276458817,69.09045104843388,0.8022971882762656,43.00654860178506,66.32053680472421,0.8022971823509607,43.006548112287696,66.32053593218613,0.721642716633594,34.71357198909217,69.09044953889563
0.18333333333333332,0.8799999999999999,0.7229951578857365,34.87742321644781,69.09043675538332,0.8036429479539097,43.11721254758509,66.22743216964835,0.80364294199694,43.11721205948116,66.22743130115093,0.722995151700115,34.87742244157971,69.09043524899383
0.19166666666666665,0.9199999999999999,0.7243464645531481,35.04037098574315,69.0886922562449,0.8049964750652344,43.22778712939789,66.13431908723341,0.8049964686875521,43.22778659744765,66.1343181419823,0.7243464583392379,35.04037021150295,69.08869075300285
0.2,0.96,0.7256966346539421,35.20241232417379,69.08521646060277,0.8063446352931631,43.33674219587243,66.03846292463005,0.8063446288824387,43.336741665096945,66.03846198324108,0.7256966284116516,35.20241155056179,69.08521496050741
0.20833333333333334,1.0,0.7270456600327372,35.36354344002733,69.08000819659397,0.8078544123311632,43.4647382936293,65.9838281684117,0.8078544058885844,43.464737764232844,65.98382723114894,0.7270456537619366,35.363542667044115,69.08000669964503
0.21666666666666667,1.04,0.7283935325180795,35.523760498393166,69.07306621063607,0.8102276796017497,43.69946538470458,66.15949970807428,0.8102276728087082,43.69946481945335,66.15949870869248,0.7283935262186874,35.523759726039664,69.07306471683393
0.225,1.08,0.729740243922554,35.683059621351624,69.0643891671065,0.8140206430365351,44.11017947693151,66.72129161086333,0.8140206362191115,44.11017891423577,66.7212906179005,0.7297402375944704,35.68305884962884,69.06438767645159
0.23333333333333334,1.1199999999999999,0.7310857860427189,35.84143688813718,69.05397564797124,0.8195382520681576,44.728512273159964,67.75070204188027,0.8195382452356066,44.728511713655124,67.75070105633004,0.7310857796858521,35.84143611704641,69.05397416046463
0.24166666666666667,1.16,0.7324301506591443,35.99888833527641,69.0418241523646,0.8269019246306186,45.5534057089082,69.26481027640594,0.8269019181217783,45.55340518978789,69.26480936403028,0.7324301442733976,35.9988875648192,69.04182266800765
0.25,1.2,0.7337996226615214,36.15834732232593,69.03361657264267,0.8360296008226452,46.55082316384809,71.21726417869077,0.8360295947344935,46.55082269030286,71.21726334807605,0.7337996170190849,36.158346638807004,69.03361525843489
0.2583333333333333,1.2399999999999998,0.7351558692587644,36.31553279004288,69.02105139938476,0.8467036909532764,47.66766982865544,73.52467121312124,0.8467036853857532,47.66766940435863,73.52467047030203,0.7351558635894522,36.315532107522856,69.02105008847387
0.26666666666666666,1.28,0.7365110096761496,36.4717916877961,69.00675935906412,0.8588604764347387,48.86728814938534,76.1301880245843,0.8588604694800955,48.86728757817872,76.13018702633119,0.7365110039788014,36.47179100609698,69.00675805138556
0.275,1.32,0.7378650521893487,36.62712288730148,68.99073992244764,0.8717226108053768,50.04591218488021,78.85790934256471,0.871722604562323,50.04591168538044,78.85790847319676,0.7378650464638664,36.62712220642709,68.99073861800728
0.2833333333333333,1.3599999999999999,0.7392179884465148,36.78152229677578,68.97299126170792,0.885014755584699,51.16488354752507,81.64518637045661,0.8850147482736439,51.1648829410241,81.64518531795923,0.739217982692805,36.78152161672953,68.97298996051079
0.2916666666666667,1.4000000000000001,0.7405698100832637,36.934985793893375,68.95351148875034,0.8979359089388165,52.14524141172137,84.35701069950696,0.8979359016940116,52.145240810487934,84.35700965991869,0.740569804301228,36.93498511467883,68.95351019080172
0.3,1.44,0.7419205087156518,37.08750921446096,68.9322986310546,0.9098532541566444,52.93972464132203,86.91083365071978,0.9098532479747241,52.93972411340193,86.91083274116282,0.741920502905199,37.08750853608195,68.93229733636032
0.30833333333333335,1.48,0.7432700759398513,37.23908835235449,68.90935063092279,0.9203155247726286,53.523568159456566,89.25846788050765,0.9203155177909107,53.52356755219694,89.25846683642988,0.7432700701008788,37.23908767481503,68.90934933948893
0.31666666666666665,1.5199999999999998,0.7446185033319145,37.38971895945949,68.88466534469478,0.928292873796664,53.83644869872133,91.28420372324898,0.928292866984669,53.83644809210954,91.28420268116045,0.744618497464337,37.38971828276385,68.88466405652788
0.325,1.56,0.7459657824475054,37.539396745582465,68.8582405419106,0.9332422187559617,53.86501579313251,92.94572600384413,0.9332422121668036,53.8650151843563,92.94572495777001,0.7459657765512206,37.53939606973515,68.85823925701773
0.3333333333333333,1.5999999999999999,0.7473119048216347,37.688117378332926,68.83007390441739,0.9348791149468946,53.613863077589144,94.22405823386717,0.9348791076581547,53.61386240530384,94.22405707356607,0.7473118988965659,37.68811670333865,68.8300726228059
0.3416666666666667,1.64,0.7486568619683134,37.83587648297625,68.80016302542218,0.9325817680385662,53.06591449043605,95.05409793926877,0.9325817610043587,53.065913818478016,95.05409677257819,0.748656856014368,37.83587580884011,68.80016174710019
0.35,1.68,0.7500006453802031,37.982669642255814,68.76850540848822,0.9262722090422877,52.23899095573573,95.42412719349392,0.9262722022802818,52.23899028259392,95.42412601625836,0.750000639397303,37.98266896898284,68.76850413346367
0.35833333333333334,1.72,0.7513432465282338,38.128492396183844,68.73509846647323,0.91604777432415,51.15618363952677,95.3277402973477,0.9160477678313048,51.156182965133546,95.32773910672144,0.7513432405162763,38.12849172377953,68.73509719475494
