roll_deg,pitch_deg,contact_center_speed_m_s,j1_correction_deg,adaptive_scale,time_s,leg,phase,swing,middle_swing,clearance_mm,forward_from_j1_mm,front_edge_from_j1_mm,touchdown,force_n,j1_target,j1_actual,j2_target,j3_target,tilt_deg,safety,moving
-3.074817769226876,-0.8132545600867127,0.0,0.5920570286789162,1.0,5.0,FL,0.4856338223365823,False,False,-3.451806304369441,-15.54970338803131,4.234219593239908,True,20.246234259826345,-3.779296875,-4.232698203019711,49.833984375,91.93359375,3.074817769226876,ok,True
-3.074817769226876,-0.8132545600867127,0.0,-1.5080976773053316,1.0,5.0,FR,0.9856338223365824,True,False,3.8904053670203926,-14.63914432323329,5.151701240475441,False,0.0,-5.185546875,-5.939857658411396,51.50390625,95.185546875,3.074817769226876,ok,True
-3.074817769226876,-0.8132545600867127,0.0,1.9787913627474136,1.0,5.0,RL,0.9856338223365824,True,False,-2.5590989229040995,-20.661912055885807,-0.8776173320420853,True,8.952692959107985,-1.669921875,-2.0732533215893936,53.525390625,93.603515625,3.074817769226876,ok,True
-3.074817769226876,-0.8132545600867127,0.0,-2.7198782501370093,1.0,5.0,RR,0.4856338223365823,False,False,-1.2685391548932292,-31.088553239076944,-11.381482211432477,True,11.395771026025233,-7.03125,-4.809454465182421,54.31640625,92.900390625,3.074817769226876,ok,True
-2.1462109808686862,-0.5253857205296354,0.010118955812572416,0.8128659877831943,1.0,5.0200000000000005,FL,0.5010184377211977,True,False,-3.4761331451928603,-16.762478659767947,3.017111447197781,False,20.622809072044376,-3.779296875,-4.072732112892878,49.921875,92.98828125,2.1462109808686862,ok,True
-2.1462109808686862,-0.5253857205296354,0.1372831199930557,-1.6318971027089035,1.0,5.0200000000000005,FR,0.0010184377211976958,False,False,0.9229878432202021,-18.707914302397644,1.0640773880035326,False,0.0,-5.09765625,-5.741512513915246,51.064453125,95.09765625,2.1462109808686862,ok,True
-2.1462109808686862,-0.5253857205296354,0.01742567520419567,1.6435847049367844,1.0,5.0200000000000005,RL,0.0010184377211976958,False,False,-2.1343265879506594,-22.080463376430206,-2.308220976560488,False,5.7331628801190035,-1.669921875,-1.70190176693353,52.822265625,92.98828125,2.1462109808686862,ok,True
-2.1462109808686862,-0.5253857205296354,0.009839754294143646,-1.9797538099797105,1.0,5.0200000000000005,RR,0.5010184377211977,True,False,-1.5911419347091547,-32.69640129662316,-12.995939666688372,False,13.912000487302969,-6.50390625,-5.2115764650111185,54.580078125,93.8671875,2.1462109808686862,ok,True
-1.1001315950973145,-0.21203184992454485,0.012601871867605783,0.9409113718660023,1.0,5.04,FL,0.516403053105813,True,False,-3.4668142503132096,-17.973674947691453,1.8017726648015966,False,16.36560618921122,-3.8671875000000004,-3.9005445446373757,50.09765625,94.39453125,1.1001315950973145,ok,True
-1.1001315950973145,-0.21203184992454485,0.07847860497054526,-1.7736105498830872,1.0,5.04,FR,0.016403053105813026,False,False,-1.1407856683007047,-21.13457036536975,-1.3653965788351279,True,10.558045686002705,-4.921875,-5.652047868780413,50.888671875,94.921875,1.1001315950973145,ok,True
-1.1001315950973145,-0.21203184992454485,0.020221353744304196,1.319786538228055,1.0,5.04,RL,0.016403053105813026,False,False,-1.6646106601545112,-23.512503559723452,-3.7475021478141493,False,4.319947069396563,-1.669921875,-1.4338895771679554,52.20703125,92.37304687500001,1.1001315950973145,ok,True
-1.1001315950973145,-0.21203184992454485,0.012137397846236896,-1.3265985838131762,1.0,5.04,RR,0.516403053105813,True,False,-1.9554495477995988,-34.15909277038261,-14.463807071341645,False,14.553539245732404,-6.064453125,-5.52138413088271,54.84375,95.09765625,1.1001315950973145,ok,True
-0.023274626191351018,0.026091827638781474,0.01530975801555515,0.8365622452127486,1.0,5.0600000000000005,FL,0.5317876684904284,True,False,-3.1156413009402195,-18.89783033598127,0.8755842319370153,False,9.010188969535957,-4.21875,-3.7864623953691723,50.625,95.888671875,0.026091827638781474,ok,True
-0.023274626191351018,0.026091827638781474,0.03539250555219539,-1.9550544941781594,1.0,5.0600000000000005,FR,0.031787668490428356,False,False,-1.760413620257424,-22.499878801475443,-2.728750143002099,False,15.935014509211234,-4.833984375,-5.706314836951062,50.80078125,94.5703125,0.026091827638781474,ok,True
-0.023274626191351018,0.026091827638781474,0.022236069755042946,1.001426185486691,1.0,5.0600000000000005,RL,0.031787668490428356,False,False,-1.2895880445744115,-24.635206448016973,-4.880174643998327,False,2.9907010045528,-1.7578125,-1.2373263096592901,51.943359375,91.7578125,0.026091827638781474,ok,True
-0.023274626191351018,0.026091827638781474,0.013917378835364268,-0.9151728808307862,1.0,5.0600000000000005,RR,0.5317876684904284,True,False,-2.1996478648802706,-35.33990913448197,-15.646291785679328,False,13.335387540201008,-5.80078125,-5.775865083545634,55.283203125,95.9765625,0.026091827638781474,ok,True
1.0367210140908985,0.21201750195847266,0.015785144630899788,0.5983366454952135,1.0,5.08,FL,0.5471722838750437,True,False,-2.35343731952823,-19.37160887932191,0.4021595334486179,False,2.243863453483527,-4.482421875,-3.8018326774208333,50.9765625,96.943359375,1.0367210140908985,ok,True
1.0367210140908985,0.21201750195847266,0.03323097778922849,-2.145774683241103,1.0,5.08,FR,0.047172283875043686,False,False,-2.3415308883042476,-23.132142089274325,-3.3585412242207298,False,23.408446434200535,-4.658203125,-5.668293263305705,50.80078125,94.39453125,1.0367210140908985,ok,True
1.0367210140908985,0.21201750195847266,0.021716246039980763,0.709278921795492,1.0,5.08,RL,0.047172283875043686,False,False,-1.014330870463393,-25.283590457794748,-5.537749229625124,False,3.6962317155327487,-1.7578125,-1.178858286389125,51.943359375,91.23046875,1.0367210140908985,ok,True
1.0367210140908985,0.21201750195847266,0.017578298551449874,-0.6510316245017744,1.0,5.08,RR,0.5471722838750437,True,False,-2.238495275175386,-35.9964277178501,-16.297158418675906,False,12.090771408562494,-5.625,-5.895041809486587,55.72265625,96.591796875,1.0367210140908985,ok,True
1.932161513643996,0.318718649215802,0.04217485120774641,0.3784605506516625,1.0,5.1000000000000005,FL,0.562556899259659,True,False,-0.9088322601267309,-18.93019005055744,0.8546242815747753,False,1.601713120029084,-4.658203125,-3.973875104876764,51.50390625,97.91015625,1.932161513643996,ok,True
1.932161513643996,0.318718649215802,0.03494376267567615,-2.2899869623183027,1.0,5.1000000000000005,FR,0.06255689925965902,False,False,-3.1970344772052037,-22.89497442303598,-3.1125423799889447,False,27.864868181826612,-4.482421875,-5.583960451289333,50.712890625,93.779296875,1.932161513643996,ok,True
1.932161513643996,0.318718649215802,0.018890741775807206,0.4176655114475625,1.0,5.1000000000000005,RL,0.06255689925965902,False,False,-0.9264693038484595,-25.425163460550205,-5.684387964643097,False,5.062621714693722,-1.7578125,-1.2015917394612836,51.767578125,90.87890625,1.932161513643996,ok,True
1.932161513643996,0.318718649215802,0.01988039679555963,-0.40103162450177443,1.0,5.1000000000000005,RR,0.562556899259659,True,False,-2.14736495079286,-35.98277624133971,-16.27111434484437,False,12.978700122122497,-5.361328125,-5.917876965386157,56.162109375,97.294921875,1.932161513643996,ok,True
2.5650285275487685,0.2850454296115464,0.0942012292791743,0.2703615476041925,1.0,5.12,FL,0.5779415146442743,True,False,0.9242367654257004,-17.482365603804897,2.3165518722625436,False,0.0,-4.658203125,-4.373464765215876,52.119140625,98.96484375,2.5650285275487685,ok,True
2.5650285275487685,0.2850454296115464,0.03546836176436113,-2.254875843596456,1.0,5.12,FR,0.07794151464427435,False,False,-3.973595316187316,-21.862431545712337,-2.072787959632503,False,28.417907686907935,-4.21875,-5.504604393544405,50.625,93.1640625,2.5650285275487685,ok,True
2.5650285275487685,0.2850454296115464,0.017123087970071976,0.14255325738691105,1.0,5.12,RL,0.07794151464427435,False,False,-1.0000861136875392,-25.054569655982906,-5.314316556853161,False,7.764425224429987,-1.669921875,-1.2299579932151161,51.591796875,90.615234375,2.5650285275487685,ok,True
2.5650285275487685,0.2850454296115464,0.018170918630929896,-0.2678885115058094,1.0,5.12,RR,0.5779415146442743,True,False,-2.091513894637947,-35.328586326896946,-15.602814248480872,False,12.216980834302326,-5.09765625,-5.913535463727396,56.689453125,98.26171875,2.5650285275487685,ok,True
2.9278719869322516,0.10443097091445352,0.11423695324349716,0.16212779291767365,1.0,5.14,FL,0.5933261300288897,True,False,3.349391830360475,-15.847917675848116,3.961357013543452,False,0.0,-4.482421875,-4.819557226766507,52.822265625,100.1953125,2.9278719869322516,ok,True
2.9278719869322516,0.10443097091445352,0.03307313523436512,-2.2446656552409703,1.0,5.14,FR,0.09332613002888968,False,False,-4.471686961917818,-20.383248264798514,-0.5895629872311439,False,28.864063134917043,-3.8671875000000004,-5.469651247685857,50.537109375,92.4609375,2.9278719869322516,ok,True
2.9278719869322516,0.10443097091445352,0.014338527831861212,-0.11273707608797534,1.0,5.14,RL,0.09332613002888968,False,False,-1.248608371291593,-24.34189302062624,-4.598767989661884,False,10.955843198249461,-1.669921875,-1.2336502532881588,51.416015625,90.087890625,2.9278719869322516,ok,True
2.9278719869322516,0.10443097091445352,0.01637141969637854,-0.1607572485021267,1.0,5.14,RR,0.5933261300288897,True,False,-1.9718339977520225,-34.24421755186049,-14.504644601094835,False,10.191970169652638,-4.833984375,-5.905738772460685,57.30468749999999,99.4921875,2.9278719869322516,ok,True
3.2746994717001288,-0.2147467423959582,0.0349331059636333,0.05403813597669238,1.0,5.16,FL,0.608710745413505,True,True,7.078999357135372,-14.411900465422377,5.402760513585953,False,0.0,-4.306640625,-5.033533342256652,53.525390625,101.337890625,3.2746994717001288,ok,True
3.2746994717001288,-0.2147467423959582,0.028372386321975637,-2.2298530038059834,1.0,5.16,FR,0.108710745413505,False,False,-4.688808145388829,-18.70773283843534,1.0871602824370896,False,25.753134005789796,-3.6035156249999996,-5.243324678905154,50.36132812500001,91.93359375,3.2746994717001288,ok,True
3.2746994717001288,-0.2147467423959582,0.011729936140348306,-0.12543075098836542,1.0,5.16,RL,0.108710745413505,False,False,-1.626483205569719,-23.27689565073071,-3.529144669401987,False,13.742406722156478,-1.40625,-1.3392444980057656,51.32812500000001,89.82421875,3.2746994717001288,ok,True
3.2746994717001288,-0.2147467423959582,0.014421845369831467,-0.05359049949289041,1.0,5.16,RR,0.608710745413505,True,True,-1.7472385292198327,-32.92903359539998,-13.176607775816407,False,7.741735218681036,-4.306640625,-5.774455999598791,57.65624999999999,100.72265625000001,3.2746994717001288,ok,True
3.705753899269856,-0.6119332720752656,0.06873128480387501,-0.03963789940682849,1.0,5.18,FL,0.6240953607981203,True,True,11.885410703567876,-13.14221286517554,6.672996481775158,False,0.0,-3.8671875000000004,-4.954944408649941,54.31640625,102.392578125,3.705753899269856,ok,True
3.705753899269856,-0.6119332720752656,0.021150516431698428,-2.2064730106834043,1.0,5.18,FR,0.12409536079812034,False,False,-4.612675293873783,-17.016633138194365,2.7782646295375955,False,22.48184387623146,-3.33984375,-4.787554363676697,50.36132812500001,91.23046875,3.705753899269856,ok,True
3.705753899269856,-0.6119332720752656,0.013929107639204942,-0.16397942243223196,1.0,5.18,RL,0.12409536079812034,False,False,-2.0397453819027414,-21.876992246887724,-2.123857372700666,False,14.643460001254528,-1.23046875,-1.5041155854389123,51.240234375,89.47265625000001,3.705753899269856,ok,True
