time_s,leg,phase,segment,forward_force_n,vertical_force_n,j2_torque_nm,j3_torque_nm,j2_power_w,j3_power_w
5.0,FL,0.40236854674820766,late_stance,-0.7704122438421956,22.76861112117417,-0.18410882654907512,-1.6405913685722147,-0.03192561892240157,0.017173432727306415
5.0,FR,0.9023685467482077,swing,0.0,0.0,0.18762694517767875,0.06076666815199372,-0.24228439992513218,-0.056290703666988635
5.0,RL,0.9023685467482077,swing,0.0,0.0,0.1719810973688788,0.034184663110335856,-0.18619546844191168,-0.025854668311291275
5.0,RR,0.40236854674820766,late_stance,0.5196570303913968,21.20728536537975,0.2074082553750781,-1.6631856079581917,0.03781739903038491,0.06728297666963806
5.0200000000000005,FL,0.4065352134148743,late_stance,-0.72709281363765,22.786775548075266,-0.1693660451646891,-1.6476258195486198,-0.03423748060412799,-0.0023365519252542166
5.0200000000000005,FR,0.9065352134148743,swing,0.0,0.0,0.21092034565585926,0.05213520251163395,-0.25325444597135616,-0.04902797521601173
5.0200000000000005,RL,0.9065352134148743,swing,0.0,0.0,0.17568700952330474,0.028871513090011236,-0.17885229092830687,-0.02577409442317972
5.0200000000000005,RR,0.4065352134148743,late_stance,0.20380222594316133,21.060425926724204,0.12900226306437054,-1.6127014620627933,0.02576064685637751,0.07383841295653674
5.04,FL,0.41070188008154096,late_stance,-0.9109248370699778,22.992705301242072,-0.20762956262700377,-1.650947113277575,-0.04389979719223927,0.001157778683751818
5.04,FR,0.910701880081541,swing,0.0,0.0,0.18206739804017924,0.05201797278892295,-0.21468196687258148,-0.051483490586514566
5.04,RL,0.910701880081541,swing,0.0,0.0,0.12932650707948845,0.03451477380376611,-0.1298901119624207,-0.03068412804645633
5.04,RR,0.41070188008154096,late_stance,0.1993508154672283,20.600006495140583,0.1336817285969343,-1.5732208017252294,0.024812156150815903,0.12218489781610949
5.0600000000000005,FL,0.4148685467482076,late_stance,-0.49319201923416234,22.951174986396925,-0.11567843400015924,-1.6881546358795683,-0.008537042504690494,0.010437905052670041
5.0600000000000005,FR,0.9148685467482076,swing,0.0,0.0,0.2134619271296634,0.022900532852770716,-0.25076664970690976,-0.023458430249796287
5.0600000000000005,RL,0.9148685467482076,swing,-5.425390825252427,10.776676508144291,-0.42162032274879085,-0.5163373470339532,0.19313453444726267,0.2116787492136151
5.0600000000000005,RR,0.4148685467482076,late_stance,1.2073775044034738,16.390274511810496,0.37339823346256873,-1.3702579048135357,0.009136560827579427,0.31493390285854517
5.08,FL,0.41903521341487426,late_stance,1.0327457444805166,21.56471377141214,0.27539760153501347,-1.7702316004674867,-0.05429282621164868,-0.115163631278105
5.08,FR,0.9190352134148743,swing,0.0,0.0,0.18493043335032489,0.025889136376566868,-0.18594773112913912,-0.028999758458060104
