time_s,phase,roll_deg,pitch_deg,voltage_v,phase_rate,safety,FL_j1_target_deg,FL_j1_actual_deg,FL_j2_target_deg,FL_j2_actual_deg,FL_j3_target_deg,FL_j3_actual_deg,FL_normal_force_n,FL_clearance_mm,FL_body_relative_x_from_s_mm,FR_j1_target_deg,FR_j1_actual_deg,FR_j2_target_deg,FR_j2_actual_deg,FR_j3_target_deg,FR_j3_actual_deg,FR_normal_force_n,FR_clearance_mm,FR_body_relative_x_from_s_mm,RL_j1_target_deg,RL_j1_actual_deg,RL_j2_target_deg,RL_j2_actual_deg,RL_j3_target_deg,RL_j3_actual_deg,RL_normal_force_n,RL_clearance_mm,RL_body_relative_x_from_s_mm,RR_j1_target_deg,RR_j1_actual_deg,RR_j2_target_deg,RR_j2_actual_deg,RR_j3_target_deg,RR_j3_actual_deg,RR_normal_force_n,RR_clearance_mm,RR_body_relative_x_from_s_mm
10.5,0.3843086173742367,3.685298514895363,0.7450399625615515,10.67858802815799,1.0,ok,-8.992355634251817,-10.192355242617198,67.73501559788669,68.1263051063744,76.34401205426629,76.63283225912336,6.1142380512250005,-1.5971857829807437,-125.02106067055543,0.007644366053771279,-1.4377357328548288,46.24485728093373,47.78988668161168,90.44195307204387,96.52462137663774,10.600786462169866,-2.878895459943135,7.0917867063512166,0.0076443882039622935,-0.3012006585558283,46.24485693090794,47.40877372299952,90.44195187104451,94.9596183840411,0.0,12.118244438602186,5.237066895287828,-8.992355611488577,-9.892124042039157,67.60955944839297,68.7495197872919,76.82790899066147,77.13657343871934,9.890177387945652,-2.4478691843373803,-126.0366134786674
10.52,0.39912343218905155,3.067756963380066,0.5721177027798696,10.692265096152818,1.0,ok,-8.992355634251817,-10.042755214799785,67.73501559788669,68.11966731864582,76.34401205426629,76.6689450630744,6.92913919517922,-1.606612100811082,-124.8978990188017,0.007644366053771279,-1.3418425809410406,46.04607136244332,47.10242740125279,90.07933728963208,95.48522214561477,9.457077352799045,-2.808295476047471,7.590429070929244,0.0076443882039622935,-0.29078115189179937,46.04607101221335,46.779229329442124,90.07933608673638,93.99020711659283,0.0,9.140181261051278,5.652346699610872,-8.992355611488577,-9.806348878099032,67.60955944839297,68.72955167014342,76.82790899066147,77.19848545397339,10.023972326792586,-2.5061833582759805,-125.78912565023725
10.540000000000001,0.4139382470038664,2.3372973286970797,0.3904055224382914,10.696683340682753,1.0,ok,-8.992355634251817,-9.922901386702272,67.73501559788669,68.17551559871549,76.34401205426629,76.72559705467384,8.18980505798253,-1.7172122747468512,-124.9594211104481,0.007644366053771817,-1.249891339546256,46.0113861168377,46.46481691461563,90.0160179082293,94.43895405966144,7.877111642503745,-2.6262751761864584,7.886696151243072,0.007644388203962767,-0.2819612681973935,46.01138576650513,46.284575779926854,90.01601670486666,93.037239347341,0.0,5.877645134820808,5.570319032109305,-8.992355611488577,-9.68590588265282,67.60955944839297,68.72579524720354,76.82790899066147,77.23233639442995,10.047728498063432,-2.5515773163935878,-125.68293955266412
10.56,0.4287530618186812,1.5237519744935188,0.2082879746817091,10.690507644315247,1.0,ok,-8.992355634251817,-9.839445369789845,67.73501559788669,68.31773395835971,76.34401205426629,76.80181899500306,9.920731993843964,-1.9416826451530196,-125.3002863151425,0.007644366053771817,-1.1512277647431475,46.0113861168377,45.954937989810276,90.0160179082293,93.45784841186865,6.053748351152439,-2.328999642144974,7.81835636571579,0.007644388203962767,-0.27314110800966324,46.01138576650513,46.01767993236468,90.01601670486666,92.16448925784903,0.0,2.4676160473891677,4.744614183269075,-8.992355611488577,-9.543371858204331,67.60955944839297,68.76034005814537,76.82790899066147,77.23387548671373,9.977221755875693,-2.581621956280453,-125.81481118038879
10.58,0.44356787663349606,0.666028013641815,0.04510351018741165,10.679951076375573,1.0,ok,-8.992355634251817,-9.797303965248432,67.73501559788669,68.53615588133034,76.34401205426629,76.88954313931416,11.899691327431416,-2.2725079591005457,-125.90212443351578,0.007644366053771817,-1.0341253837380675,46.0113861168377,45.60497059682974,90.0160179082293,92.59296280559742,4.741503433813885,-1.9631168848941796,7.357557888428262,0.007644388203962767,-0.26974206258794325,46.01138576650513,45.946667899239365,90.01601670486666,91.50771751510813,6.1861376198449305,-0.75355411732227,3.5908658543735705,-8.992355611488577,-9.392123913267437,67.60955944839297,68.8123557077173,76.82790899066147,77.17598288119459,7.707655420073887,-2.5836580283417674,-126.17949496165653
10.6,0.4583826914483109,-0.03245862722222511,0.028219589264543186,10.671126212137235,1.0,ok,-8.992355634251817,-9.88605481540868,67.73501559788669,68.6496431285569,76.34401205426629,76.9801825453137,12.095312371210698,-2.641499766119446,-126.08647274056786,0.007644366053771817,-0.755742543695231,46.0113861168377,45.33396733381405,90.0160179082293,91.92252676369138,3.6449046034290125,-1.5992018470615579,6.991255322728929,0.007644388203962767,-0.3088440974190706,46.01138576650513,45.95667399309318,90.01601670486666,91.49901190476871,9.14963645425147,-1.8814993431846838,3.532108355968594,-8.992355611488577,-9.265820338166796,67.60955944839297,68.61480495654574,76.82790899066147,76.8915295072702,3.077452431136474,-2.223360820572926,-126.21139069739795
10.620000000000001,0.47319750626312573,-0.5326027104157102,0.0777296793706245,10.671751279152417,1.0,ok,-8.992355634251817,-10.006194894664889,67.73501559788669,68.70511941866411,76.34401205426629,77.02163204189722,12.158036834417095,-2.882440908724467,-126.18279113888819,0.007644366053771817,-0.4324746624317947,46.0113861168377,45.188435485853695,90.0160179082293,91.40912947590064,3.1620010373968106,-1.2757970499483045,6.454498926172864,0.007644388203962767,-0.2940907005135225,46.01138576650513,45.91017009012579,90.01601670486666,91.49712025233309,9.621123513410522,-2.220333298930368,3.716168819081406,-8.992355611488577,-9.241233918785637,67.60955944839297,68.43222639134338,76.82790899066147,76.63684426871171,1.8839656438606145,-1.576421542158344,-126.2147776786543
10.64,0.48801232107794057,-0.8854769046639271,0.14429451091520662,10.685849789619349,1.0,ok,-8.992355634251817,-10.060250742356793,67.73501559788669,68.7680618720535,76.34401205426629,77.02480474514904,12.162484069414475,-3.01745969552894,-126.41561811871377,0.007644366053771817,-0.20257902743325829,46.0113861168377,45.16455344605706,90.0160179082293,91.07359448392539,3.34825848244901,-1.0628536482437703,5.811580003739325,0.007644388203962767,-0.23712940057964227,46.01138576650513,45.873995049811725,90.01601670486666,91.43959266083155,9.216304745993916,-2.3620102599917687,3.7347631994621713,-8.992355611488577,-9.248779204800217,67.60955944839297,68.32099041149426,76.82790899066147,76.51685366804594,1.7303530313802402,-0.8654440352406731,-126.1178779889226
10.66,0.5028271358927554,-1.0969844495975452,0.2159202818792003,10.700127848953723,1.0,ok,-8.992355634251817,-10.05546928553903,67.73501559788669,68.83978744184809,76.34401205426629,76.99669828330651,11.970598758671189,-3.08356264183041,-126.77035356108954,0.007644366053771817,-0.065274837078974,46.0113861168377,45.23242226154983,90.0160179082293,90.91210628787573,4.049368492057807,-0.9748245282099645,5.177246026495386,0.007644388203962767,-0.17276468596767022,46.01138576650513,45.865721695707194,90.01601670486666,91.35773635421637,8.871681688063733,-2.3862024389186276,3.586304982541116,-8.992355611488577,-9.24603001938594,67.60955944839297,68.22652933854164,76.82790899066147,76.4757785194042,1.506620070007466,-0.2976349771695065,-125.86620181679598
10.68,0.5176419507075702,-1.1721801929099163,0.2685342199379765,10.71572435172315,1.0,ok,-8.992355634251817,-10.010985407818232,67.73501559788669,68.90642128692544,76.34401205426629,76.93224943535742,11.475439944974674,-3.0871013843581028,-127.20720306672423,0.007644366053771817,0.012100545903758381,46.0113861168377,45.35200647191069,90.0160179082293,90.85493212203417,4.991552935265399,-1.013376378541736,4.562282966860648,0.007644388203962767,-0.10801436814292321,46.01138576650513,45.887332067592034,90.01601670486666,91.27745885992975,8.61385206031653,-2.3522039416217257,3.3197677353000996,-8.992355611488577,-9.235177665896938,67.60955944839297,68.13902055795188,76.82790899066147,76.47410991632225,1.429783609061658,-0.04036792363468038,-125.53169625254135
