leg,start_s,end_s,duration_s,peak_force_n,peak_forward_slip_mm_s,forward_slip_mm,swing_fraction_start,swing_fraction_end
RR,9.4,9.42,0.02,4.358182710975653,557.2968773695743,11.145937547391487,0.46856868872670177,0.46856868872670177
FL,9.56,9.58,0.02,7.251723188754293,264.1533164807887,5.2830663296157745,0.6687999464037802,0.6687999464037802
FL,9.62,9.66,0.04,15.895967177129625,218.54198365098253,7.815734626628007,0.7702866817477132,0.8020542598727132
RR,9.66,9.7,0.04,6.959706872508519,313.557861184361,7.766533670696426,0.8338218379977131,0.8655894161227131
FL,9.72,9.74,0.02,10.364418701304869,130.96531887813686,2.619306377562737,0.9243245721819782,0.9243245721819782
RR,9.74,9.76,0.02,5.9514797105948825,191.62961633501627,3.8325923267003255,0.9464921499255086,0.9464921499255086
RR,9.78,9.8,0.02,6.606666829219514,89.34708872723303,1.7869417745446605,0.9811253524783039,0.9811253524783039
RL,10.02,10.1,0.08,5.123023583330408,284.5312850416856,12.97889841505092,0.25830740103749283,0.31405935416249275
RL,10.14,10.16,0.02,4.675072593144921,500.7319484479273,10.014638968958547,0.3698113072874927,0.3698113072874927
RL,10.22,10.36,0.14,8.10183376875307,808.6124608802276,73.86409655430487,0.4601472533705615,0.6436511982443713
RL,10.4,10.42,0.02,8.963806662901233,517.7832017660787,10.355664035321574,0.7337824476721668,0.7337824476721668
FR,10.42,10.44,0.02,14.091265959365389,159.88222822105482,3.1976445644210965,0.7558820570471669,0.7558820570471669
FR,10.5,10.54,0.04,15.892448939672418,211.21758760183258,7.603034507701023,0.8458804954054742,0.8711801064970879
RL,10.52,10.58,0.06,7.535523928978209,91.32066667261887,2.7470611821365427,0.8711801064970879,0.9241683877470881
RR,10.8,10.82,0.02,7.0081032916484185,80.06331190049904,1.601266238009981,0.3380152810576349,0.3380152810576349
RR,10.84,10.94,0.1,9.637124753682741,678.079307683327,54.83542227650286,0.3844152797224907,0.4250527776244073
FL,11.12,11.14,0.02,4.530437061433637,73.38513899207096,1.4677027798414193,0.5346293331149008,0.5346293331149008
FL,11.2,11.32,0.12,14.77117485921531,317.3665469874917,26.997726209167492,0.6194199503424553,0.7422082365515617
RR,11.34,11.36,0.02,4.845235935495519,289.12097595006674,5.782419519001335,0.7758605803015617,0.7758605803015617
FL,11.42,11.44,0.02,6.105271112928357,135.73422184708437,2.7146844369416874,0.8479652668002038,0.8479652668002038
RR,11.46,11.54,0.08,8.61996940314966,358.02733662540794,10.130581294448806,0.8928176117899804,0.9720961357119471
FL,11.5,11.54,0.04,8.153204938710191,46.800166104567204,1.7066410970658845,0.9440699602129845,0.9720961357119471
RL,11.72,11.74,0.02,5.932829816425658,70.86151952885292,1.4172303905770585,0.30195793161419915,0.30195793161419915
RL,11.76,11.88,0.12,7.365059717913674,701.9506448300167,68.50834826131285,0.3372102929118066,0.40140794882802044
RL,12.1,12.12,0.02,4.304614577411829,381.61225528720144,7.632245105744029,0.638949354982653,0.638949354982653
FR,12.14,12.16,0.02,9.869054050868446,152.66429872105334,3.0532859744210668,0.6994860805037406,0.6994860805037406
FR,12.2,12.24,0.04,15.837241858942905,218.69756022988196,8.27124469581053,0.8022911752226738,0.8366954720976738
RL,12.2,12.24,0.04,4.1787513335538,361.1492566529207,10.05809594697445,0.8022911752226738,0.8366954720976738
RL,12.26,12.28,0.02,9.000200002386677,124.11186580584801,2.48223731611696,0.9050646127226738,0.9050646127226738
FR,12.3,12.32,0.02,5.3039106509999785,206.04532846054644,4.120906569210929,0.958594299650469,0.958594299650469
RR,12.56,12.64,0.08,6.422234228327284,539.2953603890489,13.711014818649693,0.2520732236864953,0.31958846817044284
RR,12.66,12.76,0.1,6.449733133416066,700.0458959142377,56.591177351043534,0.35851424942044297,0.44192089090375
RR,12.84,12.92,0.08,7.036619047699479,564.4603316833266,40.90086021792024,0.5778271580698875,0.6785709286692527
FL,12.92,12.94,0.02,6.874382251377897,506.0052668524032,10.120105337048065,0.7120963192942529,0.7120963192942529
FL,13.0,13.04,0.04,15.84739446455327,263.5129634276541,9.284444726405196,0.8176674128535182,0.8432826472285182
RR,13.02,13.06,0.04,6.53160377424464,128.25644059419008,3.4118213071057584,0.8432826472285182,0.8688978816035182
FL,13.1,13.12,0.02,9.018374300322396,73.95902200149622,1.4791804400299244,0.939749055004397,0.939749055004397
RR,13.14,13.16,0.02,5.454199447974011,132.01397724343252,2.6402795448686507,0.982190461254397,0.982190461254397
RL,13.34,13.48,0.14,7.3997487224549445,518.6034012718255,35.22522074743807,0.25199752340344483,0.37441980848340073
RL,13.56,13.58,0.02,4.069469128922057,593.2940298871512,11.865880597743024,0.47034793267277775,0.47034793267277775
RL,13.66,13.74,0.08,6.212103407120741,707.458378247379,47.01876947273135,0.6046760715010553,0.7044729650977044
FR,13.72,13.74,0.02,5.560846746610135,560.1983857626717,11.203967715253434,0.7044729650977044,0.7044729650977044
FR,13.8,13.84,0.04,15.796685433364388,221.05099682968714,8.374952429387587,0.8232495344641595,0.8528198469641595
RL,13.8,13.84,0.04,3.3723232384036037,265.7694871092363,7.640852570502675,0.8232495344641595,0.8528198469641595
RL,13.86,13.88,0.02,7.244705905343316,79.55534011367395,1.5911068022734791,0.8975604713919547,0.8975604713919547
FR,13.9,13.92,0.02,7.136584920594483,137.4014013027514,2.748028026055028,0.9312128151419548,0.9312128151419548
RL,13.96,13.98,0.02,5.630686980476638,91.6005003571375,1.83201000714275,0.9832913304331687,0.9832913304331687
RR,14.18,14.32,0.14,6.069027049868008,403.30194909660537,34.87333882751152,0.2643015051844504,0.36516869196919455
RR,14.34,14.4,0.06,5.67864576459084,539.8643540022658,27.754187296967864,0.4055366600516226,0.44869916090992934
RR,14.48,14.54,0.06,7.555550325900772,606.8873803482126,30.395872764963123,0.5846054280760673,0.6501679409506704
FL,14.58,14.6,0.02,13.843822677760727,202.153698205863,4.04307396411726,0.7428679407599357,0.7428679407599357
FL,14.66,14.7,0.04,15.913924907402109,232.82917586812871,8.307655041959649,0.8541179407599357,0.8823698938849356
RR,14.68,14.74,0.06,7.733674195707149,98.24724210198741,3.0968397575149997,0.8823698938849356,0.9388738001349355
RL,14.96,14.98,0.02,5.518691752546585,69.47591426873075,1.389518285374615,0.3459445227148916,0.3459445227148916
FR,15.28,15.32,0.04,7.0181911673818895,344.8837964053975,9.281504064284565,0.5679742027285484,0.592326936817446
FR,15.36,15.38,0.02,13.407306580214888,243.630685157976,4.87261370315952,0.6749851442339805,0.6749851442339805
FR,15.4,15.48,0.08,12.221617319260856,920.6343781081309,35.99667247888784,0.7316906190874961,0.7935269499781514
RL,15.44,15.54,0.1,8.762259813177133,436.21144681647246,22.406842621851283,0.7731851531031515,0.8561523414614582
FR,15.52,15.54,0.02,6.575967945903189,172.71805810048065,3.454361162009613,0.8561523414614582,0.8561523414614582
RL,15.56,15.64,0.08,7.5961416211751915,68.59126880933748,4.075594579241448,0.9048359395029926,0.9898613430025958
FR,15.58,15.64,0.06,7.292312563123461,44.58561102000726,2.3087532508867374,0.9315777398112202,0.9898613430025958
RR,15.8,15.84,0.04,5.621054883508822,118.1627221250136,3.0138089386103877,0.2844664503100298,0.3114340282442949
RR,15.86,15.96,0.1,8.34216086970554,516.3483351103183,42.20837115773112,0.35096918354062057,0.39555824527768113
