roll_deg,pitch_deg,contact_center_speed_m_s,j1_correction_deg,adaptive_scale,time_s,leg,phase,swing,middle_swing,target_phase,clearance_mm,forward_from_j1_mm,front_edge_from_j1_mm,touchdown,force_n,j1_target,j1_actual,j2_target,j3_target,tilt_deg,safety,moving
-0.056738920754207736,0.07593079193992973,0.0,0.08616066,1.0,5.0,FL,0.6094356775283813,True,True,0.6427690108617147,0.3059466641419789,-15.21931990480477,4.595454153320585,False,0.0,-4.21875,-5.396776481996155,54.404296875,101.6015625,0.07593079193992973,ok,True
-0.056738920754207736,0.07593079193992973,0.0,-0.43105102,1.0,5.0,FR,0.10943567752838135,False,False,0.14276901086171456,-3.459344728147632,-20.414408429101485,-0.6384276755189724,True,23.401826790991766,-2.373046875,-2.366793234549902,51.240234375,92.724609375,0.07593079193992973,ok,True
-0.056738920754207736,0.07593079193992973,0.0,-0.41378313,1.0,5.0,RL,0.10943567752838135,False,False,0.14276901086171456,-3.200324974582124,-29.887950035889105,-10.15464231646719,True,21.07694020519209,-1.40625,-1.219379114248515,52.822265625,92.021484375,0.07593079193992973,ok,True
-0.056738920754207736,0.07593079193992973,0.0,0.08390236,1.0,5.0,RR,0.6094356775283813,True,True,0.6427690108617147,0.6132258062056875,-36.135675240941765,-16.40549055768838,False,0.0,-5.09765625,-6.217937323045506,59.0625,101.07421875,0.07593079193992973,ok,True
-0.10935609012750905,0.12105067758446385,0.18242104460511854,0.088244915,1.0,5.0200000000000005,FL,0.6261023283004761,True,True,0.6594356616338094,1.3947216056957903,-17.24010865509884,2.57421901593095,False,0.0,-3.6035156249999996,-5.049908309091605,55.1953125,102.65625000000001,0.12105067758446385,ok,True
-0.10935609012750905,0.12105067758446385,0.0076942929572129835,-0.4320984,1.0,5.0200000000000005,FR,0.12610232830047607,False,False,0.1594356616338093,-3.762694531366722,-20.818460918210224,-1.0440972018351538,False,23.907571549904983,-2.021484375,-2.0293185208118203,51.32812500000001,92.4609375,0.12105067758446385,ok,True
-0.10935609012750905,0.12105067758446385,0.004684759513308655,-0.4262433,1.0,5.0200000000000005,RL,0.12610232830047607,False,False,0.1594356616338093,-3.4501714547895137,-29.37483279489183,-9.638085442434704,False,20.760951256234605,-1.142578125,-0.8456413920219462,52.55859375,91.7578125,0.12105067758446385,ok,True
-0.10935609012750905,0.12105067758446385,0.13318974403143977,0.085882664,1.0,5.0200000000000005,RR,0.6261023283004761,True,True,0.6594356616338094,2.3970039922214283,-36.16932176941024,-16.42869960100036,False,0.0,-4.482421875,-5.932464145745928,59.501953125,102.3046875,0.12105067758446385,ok,True
-0.13779436907078477,0.16442276167202025,0.21300173171911171,0.09067631,1.0,5.04,FL,0.6427689790725708,True,True,0.6761023124059041,3.014521351089008,-18.756944200714955,1.0576031240883097,False,0.0,-2.900390625,-4.564249736185845,56.07421875,103.62304687500001,0.16442276167202025,ok,True
-0.13779436907078477,0.16442276167202025,0.006824552376509161,-0.447626,1.0,5.04,FR,0.1427689790725708,False,False,0.17610231240590402,-3.9720669032324643,-21.214528502481695,-1.441105171897302,False,23.917962000592503,-1.669921875,-1.5862080851670883,51.416015625,92.28515625,0.16442276167202025,ok,True
