roll_deg,pitch_deg,contact_center_speed_m_s,j1_correction_deg,adaptive_scale,time_s,leg,phase,swing,middle_swing,target_phase,clearance_mm,forward_from_j1_mm,front_edge_from_j1_mm,touchdown,force_n,j1_target,j1_actual,j2_target,j3_target,tilt_deg,safety,moving
-1.7810758136136808,0.84831215670641,0.0,0.08979297,1.0,5.0,FL,0.6666664481163025,True,True,0.6999997814496358,-0.054988864010049876,-19.486713448190315,0.3281893052014375,True,1.8499716280405474,-3.1640625,-4.818521215992977,56.42578125,104.4140625,1.7810758136136808,ok,True
-1.7810758136136808,0.84831215670641,0.0,-0.45210016,1.0,5.0,FR,0.1666664481163025,False,False,0.1999997814496357,-3.4287567243937827,-24.126143211905347,-4.360482458027466,True,23.270877818289264,-1.58203125,-0.9985216054342708,51.416015625,92.197265625,1.7810758136136808,ok,True
-1.7810758136136808,0.84831215670641,0.0,-0.4415963,1.0,5.0,RL,0.1666664481163025,False,False,0.1999997814496357,-3.4870501709652753,-33.887999502886444,-14.187386884151568,True,20.855806912479206,-0.703125,-0.191510646223179,52.29492187500001,91.58203125,1.7810758136136808,ok,True
-1.7810758136136808,0.84831215670641,0.0,0.0875783,1.0,5.0,RR,0.6666664481163025,True,True,0.6999997814496358,9.940449203444935,-39.05326033729017,-19.31689258094072,False,0.0,-4.130859375,-5.819001366300431,60.380859375,104.0625,1.7810758136136808,ok,True
-2.026335291723487,0.998601743178645,0.15039008859225156,0.09280467,1.0,5.0200000000000005,FL,0.6833330988883972,True,True,0.7166664322217305,0.928625305832053,-21.533953407177492,-1.7193381719069798,False,0.0,-2.28515625,-4.41174043822989,57.30468749999999,105.29296875,2.026335291723487,ok,True
-2.026335291723487,0.998601743178645,0.005790747095663462,-0.46774548,1.0,5.0200000000000005,FR,0.18333309888839722,False,False,0.21666643222173043,-3.785793082755045,-24.927777107601045,-5.164432430288823,False,24.405905780191613,-1.23046875,-0.8705314990903191,51.416015625,92.021484375,2.026335291723487,ok,True
-2.026335291723487,0.998601743178645,0.003672342033073546,-0.45448244,1.0,5.0200000000000005,RL,0.18333309888839722,False,False,0.21666643222173043,-3.5907434152134474,-33.62944220923348,-13.92793471871408,False,20.06546068721493,-0.439453125,0.3428693668345198,52.119140625,91.494140625,2.026335291723487,ok,True
-2.026335291723487,0.998601743178645,0.23393332091865493,0.090542555,1.0,5.0200000000000005,RR,0.6833330988883972,True,True,0.7166664322217305,13.281407750545474,-38.6998820089931,-18.950167566556246,False,0.0,-3.076171875,-5.179509672992894,60.55664062500001,105.1171875,2.026335291723487,ok,True
-2.1661997068556516,1.141934509735962,0.25152844113801875,0.096052766,1.0,5.04,FL,0.6999997496604919,True,True,0.7333330829938253,2.3360671075838937,-23.874041944556833,-4.060345945455573,False,0.0,-1.23046875,-3.597791887646256,58.00781250000001,105.8203125,2.1661997068556516,ok,True
-2.1661997068556516,1.141934509735962,0.005480708360605918,-0.4826926,1.0,5.04,FR,0.19999974966049194,False,False,0.23333308299382516,-4.031881090615298,-25.694162646978643,-5.933624950148712,False,24.277957201502318,-0.87890625,-0.5375342888068773,51.416015625,91.7578125,2.1661997068556516,ok,True
-2.1661997068556516,1.141934509735962,0.0033683574713654044,-0.45410147,1.0,5.04,RL,0.19999974966049194,False,False,0.23333308299382516,-3.590143666634429,-33.23345864882151,-13.53034468108774,False,19.59935904975759,-0.087890625,0.7319635169037791,51.767578125,91.318359375,2.1661997068556516,ok,True
-2.1661997068556516,1.141934509735962,0.2396782378831268,0.09379363,1.0,5.04,RR,0.6999997496604919,True,True,0.7333330829938253,16.489638248961114,-37.974414164498576,-18.21344743360176,False,0.0,-2.021484375,-4.363709085786433,60.380859375,105.732421875,2.1661997068556516,ok,True
-2.2716503373383947,1.2359450018804403,0.2898767210864594,0.09942678,1.0,5.0600000000000005,FL,0.7166664004325867,True,True,0.74999973376592,3.8595471583351726,-25.851299189816913,-6.038857380063796,False,0.0,-0.087890625,-2.6397153200548003,58.53515625,105.8203125,2.2716503373383947,ok,True
