time_s,phase,roll_deg,pitch_deg,voltage_v,phase_rate,safety,FL_j1_target_deg,FL_j1_actual_deg,FL_j2_target_deg,FL_j2_actual_deg,FL_j3_target_deg,FL_j3_actual_deg,FL_normal_force_n,FL_clearance_mm,FL_body_relative_x_from_s_mm,FR_j1_target_deg,FR_j1_actual_deg,FR_j2_target_deg,FR_j2_actual_deg,FR_j3_target_deg,FR_j3_actual_deg,FR_normal_force_n,FR_clearance_mm,FR_body_relative_x_from_s_mm,RL_j1_target_deg,RL_j1_actual_deg,RL_j2_target_deg,RL_j2_actual_deg,RL_j3_target_deg,RL_j3_actual_deg,RL_normal_force_n,RL_clearance_mm,RL_body_relative_x_from_s_mm,RR_j1_target_deg,RR_j1_actual_deg,RR_j2_target_deg,RR_j2_actual_deg,RR_j3_target_deg,RR_j3_actual_deg,RR_normal_force_n,RR_clearance_mm,RR_body_relative_x_from_s_mm
10.86,0.6535442897536787,0.1429771836420877,0.13545518881479143,10.786455178527468,1.0,ok,-8.992355634251817,-9.341820380285432,70.28846126571023,68.91945224615306,79.69634030228791,76.62302865189606,4.2689114146516856,-1.7134976749585626,-128.13138859033413,0.007644366053771817,-0.05254693017453846,46.0113861168377,45.826449279755785,90.0160179082293,91.30849110779133,9.978432827676917,-2.326938296438156,3.6340968056726153,0.007644388203962767,0.22732895349203414,46.01138576650513,45.74381107304118,90.01601670486666,90.84573233347633,7.436524105003947,-1.4220855904976264,2.940014527695295,-8.992355611488577,-9.178234881929155,70.11612996473038,68.50009395696986,80.32007443115833,77.43424972577068,4.243915410411289,-1.425415768825147,-124.2602722864859
10.88,0.6683591045684936,0.16064370077135168,0.08976866799040167,10.76032310269322,1.0,ok,-8.992355634251817,-9.351502317496498,71.4071326014031,69.21047710066144,81.2140106547326,76.97733239433572,2.276442963100599,-1.4082066071591497,-128.2641854636054,0.007644366053771817,0.027557577678372216,46.0113861168377,45.894427557049674,90.0160179082293,91.3737404077133,11.038438219693754,-2.460184591251961,3.499910129279443,0.007644388203962767,0.2710517158226608,46.01138576650513,45.844590662436524,90.01601670486666,91.01471648183497,9.65936086841406,-1.6802387486645616,2.9028334103403663,-8.992355611488577,-9.2335168232814,71.23127391421191,68.89619506571537,81.83592575453127,77.89386554654007,2.946297184597621,-1.260746585579389,-124.50872607818259
10.9,0.6831739193833084,0.16893604210745108,0.030566811708148952,10.704835982425118,1.0,ok,-8.992355634251817,-9.394004236467756,72.25768313133635,69.6745280581306,82.3560348245996,77.50323164509415,1.3131735399397606,-0.9398883239487756,-128.5771843824567,0.007644366053771817,0.15281229074113095,46.0113861168377,46.00590758251922,90.0160179082293,91.46545252295977,12.258052315928829,-2.662128481114544,3.246564313274108,0.007644388203962767,0.333724015334336,46.01138576650513,45.97930377991341,90.01601670486666,91.24701555106111,12.003848632979972,-2.0920015268373895,2.867454639422812,-8.992355611488577,-9.32219185981838,72.0791307283107,69.4626093617334,82.9766610340324,78.51771825704029,1.5612037029391768,-1.009641125815775,-124.9460732970532
10.92,0.6979887341981232,0.20947342619296663,-0.03817511814505257,10.698703085007457,1.0,ok,-8.992355634251817,-9.392973830080095,72.68982650533921,70.41213676187986,82.93364617866814,78.16580780374065,0.0,0.08731155210829622,-129.54097786795356,0.007644366053771817,0.3360254079739757,46.0113861168377,46.12204462040609,90.0160179082293,91.54900229342309,13.05353715926093,-2.904343029864278,2.955170544023278,0.007644388203962767,0.38835063318834756,46.01138576650513,46.09180593172204,90.01601670486666,91.46494633700861,12.984183870994531,-2.5742425620174125,2.890894269637317,-8.992355611488577,-9.37925203979124,72.50994362697736,70.205733015147,83.55369250686067,79.27644063592982,1.1705522992910296,-0.5185947233158332,-125.66828337743485
10.94,0.7128035490129381,0.23971110782649813,-0.07707766894467026,10.707416962938657,1.0,ok,-8.992355634251817,-9.256766432231608,72.76838104869574,71.34900073673144,83.03682123720587,78.85274781929346,0.0,1.5303012904818638,-131.1671061889314,0.007644366053771817,0.54188775650849,46.0113861168377,46.18900758718658,90.0160179082293,91.65503298534338,13.563344120340137,-3.1480641216830447,2.912379302607265,0.007644388203962767,0.4819194878572835,46.01138576650513,46.09740448404606,90.01601670486666,91.64960820157388,13.555564882881443,-2.962967586772204,3.2730883658101395,-8.992355611488577,-9.338904250844886,72.58826939030422,71.07571021627288,83.65679559309719,80.04797940531245,0.0,0.4502041518511888,-126.8129575708269
10.96,0.7276183638277529,0.21462133481842713,-0.09758666607318142,10.695319664345831,1.0,ok,-8.847885419408072,-9.169595180055211,72.59049803812064,71.99545267370712,83.52216133317653,79.70497054473245,0.0,2.5137300041184942,-131.21647499829052,0.007644366053771817,0.7283520006837421,46.0113861168377,46.16842310726854,90.0160179082293,91.74187578366863,13.457754910524596,-3.326127802308794,3.1823139097847672,0.007644388203962767,0.6629652089044256,46.01138576650513,45.97729657255247,90.01601670486666,91.81791821262729,13.55867204995022,-3.2258526269974204,4.124767687685188,-8.847885396644832,-9.231036154793497,72.40449185467148,71.76046764006925,84.12049775663883,80.84115543665816,0.0,1.3983925046753327,-127.17730999033822
10.98,0.7424331786425677,0.17330206845666277,-0.12059977638143626,10.67756177111286,1.0,ok,-8.060715009251838,-9.127350236763052,71.47280684671874,72.21552371868776,85.96829834535993,80.58414405971618,0.0,2.8302605033153143,-129.59096421926287,0.007644366053771817,0.8867400067020587,46.0113861168377,46.08446399066838,90.0160179082293,91.80218766071901,13.138006237364081,-3.4025981828668743,3.650746104459701,0.007644388203962767,0.8523151315890938,46.01138576650513,45.806504540136345,90.01601670486666,91.98127307247057,14.027157106229826,-3.3816840582772816,5.168145246793237,-8.060714986488598,-9.143505017570721,71.26091147668473,72.01883406343903,86.45735844653197,81.65035780562171,0.0,1.7337498483535798,-125.89272260606049
11.0,0.7572479934573826,0.168310293752646,-0.16872710404079105,10.667260677168356,1.0,ok,-6.515487958470608,-9.01695888137817,68.73025213669328,72.18162307828615,90.04259150943977,81.4482308122781,0.0,2.906184461274778,-127.06350289071689,0.007644366053771817,1.0183489830662713,46.0113861168377,45.981450166120304,90.0160179082293,91.84380146117817,12.842314731002752,-3.4049942656051573,4.1555095081663165,0.007644388203962767,0.9816380644994277,46.01138576650513,45.66158250141065,90.01601670486666,92.14451879725011,14.38468211691862,-3.5153443147370735,6.105909767770812,-6.515487935707368,-9.003172450845131,68.5160875502733,72.005683054841,90.38362248302727,82.4388860995507,0.0,1.534925040576814,-123.65441392298915
11.02,0.7720628082721974,0.20861790959718704,-0.22703336534227547,10.661846023959363,1.0,ok,-4.4923556342518705,-8.747133157357455,64.28542994756876,71.68049843598307,94.26755901044623,82.36366715095512,0.0,2.523064603303704,-122.65531968999711,0.007644366053771817,1.1023860930794982,46.0113861168377,45.8499305808959,90.0160179082293,91.87565605436416,12.3905603142636,-3.3622250567253187,4.755106029599915,0.007644388203962767,1.0416982303562798,46.01138576650513,45.51740418153735,90.01601670486666,92.25737504754578,14.273417473284807,-3.61455305483294,6.931023463433355,-4.49235561148863,-8.727451607610961,64.09272179888603,71.51032577579707,94.44542194618391,83.27384293592004,0.0,0.6832796199190018,-119.4915514610006
11.040000000000001,0.7868776230870123,0.2882136022242466,-0.27644532604708594,10.572219248759508,1.0,ok,-2.4692233100331213,-8.316704639214967,58.59094279448614,70.43601975854543,96.76389101059745,83.41360097003249,0.0,1.3742617532808648,-115.07277202530099,0.007644366053771817,1.127490499163098,46.0113861168377,45.69017112324514,90.0160179082293,91.92747623887328,12.780970039009134,-3.293982060438256,5.513697255678046,0.007644388203962767,1.0375558619071428,46.01138576650513,45.35572200243957,90.01601670486666,92.30322681630884,12.013742548236868,-3.6402946270300585,7.682163048443963,-2.469223287269881,-8.388180457300484,58.4545913928897,70.61189169755349,96.81894921759545,84.06722980707129,4.296207993176801,-0.6013241620912279,-113.92456503524129
