index,mcu_ms,roll10,pitch10,phase1000,rate1000,valid,fault
162,69104,-17,0,626,1000,1,0
163,69124,-19,0,640,1000,1,0
164,69144,-22,-2,655,1000,1,0
165,69164,-24,-3,670,1000,1,0
166,69184,-27,-4,685,1000,1,0
167,69204,-27,-4,700,1000,1,0
168,69224,-28,-5,714,1000,1,0
169,69244,-28,-7,729,1000,1,0
170,69264,-27,-8,744,1000,1,0
171,69285,-25,-9,759,1000,1,0
172,69304,-25,-9,774,1000,1,0
173,69324,-25,-9,789,1000,1,0
174,69344,-25,-9,803,1000,1,0
175,69364,-25,-9,818,1000,1,0
176,69384,-24,-9,833,1000,1,0
177,69404,-23,-9,848,1000,1,0
178,69424,-21,-8,863,1000,1,0
179,69444,-19,-9,877,1000,1,0
180,69464,-18,-9,892,1000,1,0
181,69484,-17,-9,907,1000,1,0
182,69504,-18,-8,922,1000,1,0
183,69524,-18,-7,937,1000,1,0
184,69543,-18,-7,951,1000,1,0
185,69564,-17,-6,966,1000,1,0
186,69584,-16,-6,981,1000,1,0
187,69603,-15,-5,996,1000,1,0
188,69623,-15,-5,11,1000,1,0
189,69642,-14,-5,26,1000,1,0
190,69664,-16,-4,40,1000,1,0
191,69684,-17,-2,55,1000,1,0
192,69703,-19,0,70,1000,1,0
193,69723,-21,1,85,1000,1,0
194,69743,-20,0,100,1000,1,0
195,69763,-20,-2,114,1000,1,0
196,69783,-20,-2,129,1000,1,0
197,69803,-18,-3,144,1000,1,0
198,69823,-16,-4,159,1000,1,0
199,69843,-13,-4,174,1000,1,0
200,69863,-13,-4,189,1000,1,0
201,69883,-14,-6,203,1000,1,0
202,69903,-16,-7,218,1000,1,0
203,69923,-13,-7,233,1000,1,0
204,69943,-8,-5,248,1000,1,0
205,69963,-4,-4,263,1000,1,0
206,69983,-3,-3,277,1000,1,0
207,70003,-1,-2,292,1000,1,0
208,70023,3,-1,307,1000,1,0
209,70044,5,1,322,1000,1,0
210,70064,6,2,337,1000,1,0
211,70084,8,3,351,1000,1,0
212,70103,10,3,366,1000,1,0
213,70123,10,3,381,1000,1,0
214,70143,11,4,396,1000,1,0
215,70164,10,5,411,1000,1,0
216,70184,11,6,426,1000,1,0
217,70204,12,7,440,1000,1,0
218,70224,13,9,455,1000,1,0
219,70244,14,9,470,1000,1,0
220,70264,12,9,485,1000,1,0
221,70284,10,9,500,1000,1,0
222,70303,7,7,514,1000,1,0
223,70323,4,5,529,1000,1,0
224,70344,0,3,544,1000,1,0
225,70364,-5,1,559,1000,1,0
226,70384,-10,-2,574,1000,1,0
227,70404,-15,-4,589,1000,1,0
228,70424,-19,-6,603,1000,1,0
229,70444,-20,-6,618,1000,1,0
230,70464,-24,-6,633,1000,1,0
231,70484,-26,-8,648,1000,1,0
232,70504,-27,-9,663,1000,1,0
233,70524,-28,-10,677,1000,1,0
234,70544,-32,-9,692,1000,1,0
235,70564,-34,-9,707,1000,1,0
236,70584,-35,-7,722,1000,1,0
237,70604,-35,-6,737,1000,1,0
238,70625,-35,-7,751,1000,1,0
239,70645,-34,-7,766,1000,1,0
240,70664,-31,-8,781,1000,1,0
241,70684,-28,-10,796,1000,1,0
242,70704,-24,-11,811,1000,1,0
243,70723,-23,-11,826,1000,1,0
244,70743,-21,-11,840,1000,1,0
245,70763,-19,-12,855,1000,1,0
246,70783,-16,-12,870,1000,1,0
247,70803,-16,-11,885,1000,1,0
248,70823,-15,-11,900,1000,1,0
249,70843,-16,-11,914,1000,1,0
250,70863,-16,-10,929,1000,1,0
251,70883,-16,-10,944,1000,1,0
252,70903,-15,-10,959,1000,1,0
253,70923,-13,-10,974,1000,1,0
254,70943,-12,-10,989,1000,1,0
255,70963,-11,-10,3,1000,1,0
256,70983,-11,-10,18,1000,1,0
257,71003,-11,-10,33,1000,1,0
258,71023,-12,-9,48,1000,1,0
259,71043,-12,-8,63,1000,1,0
260,71064,-15,-5,77,1000,1,0
261,71084,-18,-2,92,1000,1,0
262,71104,-19,-1,107,1000,1,0
263,71124,-16,-3,122,1000,1,0
264,71143,-17,-4,137,1000,1,0
265,71163,-17,-4,151,1000,1,0
266,71184,-14,-4,166,1000,1,0
267,71204,-12,-4,181,1000,1,0
268,71224,-11,-4,196,1000,1,0
269,71244,-14,-5,211,1000,1,0
270,71264,-14,-7,226,1000,1,0
271,71284,-12,-7,240,1000,1,0
272,71304,-10,-6,255,1000,1,0
273,71324,-5,-4,270,1000,1,0
274,71344,-4,-4,285,1000,1,0
275,71364,-1,-3,300,1000,1,0
276,71384,1,-1,314,1000,1,0
277,71404,5,1,329,1000,1,0
278,71424,7,2,344,1000,1,0
279,71444,9,4,359,1000,1,0
280,71464,10,6,374,1000,1,0
281,71484,12,7,389,1000,1,0
282,71504,13,7,403,1000,1,0
283,71524,14,8,418,1000,1,0
284,71544,15,8,433,1000,1,0
285,71564,13,7,448,1000,1,0
286,71584,13,7,463,1000,1,0
287,71604,11,6,477,1000,1,0
288,71624,8,4,492,1000,1,0
289,71644,3,3,507,1000,1,0
290,71662,0,2,522,1000,1,0
291,71683,-4,-1,537,1000,1,0
292,71704,-8,-3,551,1000,1,0
293,71724,-14,-5,566,1000,1,0
294,71743,-22,-9,581,1000,1,0
295,71763,-26,-12,596,1000,1,0
296,71783,-26,-10,611,1000,1,0
297,71803,-31,-10,626,1000,1,0
298,71823,-32,-11,640,1000,1,0
299,71843,-32,-11,655,1000,1,0
300,71892,-37,-11,670,1000,1,0
