roll_deg,pitch_deg,contact_center_speed_m_s,j1_correction_deg,adaptive_scale,time_s,leg,phase,swing,middle_swing,target_phase,clearance_mm,forward_from_j1_mm,front_edge_from_j1_mm,touchdown,force_n,j1_target,j1_actual,j2_target,j3_target,tilt_deg,safety,moving
-0.2251976610239738,0.1363231406936442,0.0,0.086159706,1.0,5.0,FL,0.6094356775283813,True,True,0.6427690108617147,0.21201269797185146,-15.39214797166578,4.422850217768039,False,0.0,-4.21875,-5.494778718952626,54.4921875,101.865234375,0.2251976610239738,ok,True
-0.2251976610239738,0.1363231406936442,0.0,-0.43100405,1.0,5.0,FR,0.10943567752838135,False,False,0.14276901086171456,-3.3640272941661276,-19.23674747355977,0.5469670867474399,True,22.88226506896435,-2.373046875,-2.3361275873707847,51.240234375,92.724609375,0.2251976610239738,ok,True
-0.2251976610239738,0.1363231406936442,0.0,-0.4138326,1.0,5.0,RL,0.10943567752838135,False,False,0.14276901086171456,-3.2892570975996405,-30.8665738751963,-11.139817022893475,True,21.39740380918966,-1.40625,-1.204170421477051,52.822265625,92.021484375,0.2251976610239738,ok,True
-0.2251976610239738,0.1363231406936442,0.0,0.08390713,1.0,5.0,RR,0.6094356775283813,True,True,0.6427690108617147,1.168082584730945,-36.488788373701716,-16.759809415508688,False,0.0,-5.185546875,-6.2370827111265035,59.23828124999999,101.42578125,0.2251976610239738,ok,True
-0.3271866956618048,0.2099843132242055,0.18602683288797645,0.08824396,1.0,5.0200000000000005,FL,0.6261023283004761,True,True,0.6594356616338094,1.213793557216611,-17.329080230427028,2.485663921157027,False,0.0,-3.6035156249999996,-5.098064270815397,55.37109375,103.095703125,0.3271866956618048,ok,True
-0.3271866956618048,0.2099843132242055,0.005258810526237601,-0.43204284,1.0,5.0200000000000005,FR,0.12610232830047607,False,False,0.1594356616338093,-3.6773016894250143,-19.835164496551375,-0.05383407871288526,False,23.712409951848,-2.021484375,-1.9916928720287597,51.32812500000001,92.4609375,0.3271866956618048,ok,True
-0.3271866956618048,0.2099843132242055,0.004478621224726381,-0.4263034,1.0,5.0200000000000005,RL,0.12610232830047607,False,False,0.1594356616338093,-3.528016426091681,-30.410117451282275,-10.680085906890511,False,20.903943511388004,-1.142578125,-0.8041347438519424,52.55859375,91.7578125,0.3271866956618048,ok,True
-0.3271866956618048,0.2099843132242055,0.14105825631174618,0.08588743,1.0,5.0200000000000005,RR,0.6261023283004761,True,True,0.6594356616338094,3.2717086286498667,-36.51730946680047,-16.77689092659268,False,0.0,-4.5703125,-5.94583820907916,59.765625,102.65625000000001,0.3271866956618048,ok,True
-0.3917436720438613,0.2827426231330931,0.22236759709556084,0.09067559,1.0,5.04,FL,0.6427689790725708,True,True,0.6761023124059041,2.734991618443386,-18.946452698264572,0.8684172953178297,False,0.0,-2.900390625,-4.585007617809387,56.337890625,104.0625,0.3917436720438613,ok,True
-0.3917436720438613,0.2827426231330931,0.005629293404869988,-0.44756114,1.0,5.04,FR,0.1427689790725708,False,False,0.17610231240590402,-3.908791849638507,-20.469778652338707,-0.6919788422357023,False,23.98619889574596,-1.669921875,-1.5231995633290332,51.416015625,92.28515625,0.3917436720438613,ok,True
-0.3917436720438613,0.2827426231330931,0.0036822569558858675,-0.43937624,1.0,5.04,RL,0.1427689790725708,False,False,0.17610231240590402,-3.6355101982330496,-29.740225601086795,-10.006211371720411,False,21.346706829451755,-0.791015625,-0.3902573649644524,52.3828125,91.669921875,0.3917436720438613,ok,True
-0.3917436720438613,0.2827426231330931,0.17468644771497802,0.088228464,1.0,5.04,RR,0.6427689790725708,True,True,0.6761023124059041,5.652678874887469,-36.36051866196007,-16.60916894394137,False,0.0,-3.779296875,-5.496993192494189,60.1171875,103.798828125,0.3917436720438613,ok,True
-0.46470982286157,0.3367152364813976,0.24946144215636867,0.09338188,1.0,5.0600000000000005,FL,0.6594356298446655,True,True,0.6927689631779989,4.648201505072957,-20.291942807420295,-0.4767933038365264,False,0.0,-2.109375,-3.947371479552727,57.12890625,104.765625,0.46470982286157,ok,True
-0.46470982286157,0.3367152364813976,0.00712791317110577,-0.46315312,1.0,5.0600000000000005,FR,0.15943562984466553,False,False,0.19276896317799874,-4.036527056902925,-21.12937460619691,-1.3558569170230719,False,23.000247430496156,-1.318359375,-1.0017766683665694,51.416015625,92.109375,0.46470982286157,ok,True
-0.46470982286157,0.3367152364813976,0.0034665604478018434,-0.4523067,1.0,5.0600000000000005,RL,0.15943562984466553,False,False,0.19276896317799874,-3.692646467839268,-28.92800538427924,-9.189955300812102,False,20.861601004243003,-0.439453125,0.049439301969373635,52.119140625,91.494140625,0.46470982286157,ok,True
-0.46470982286157,0.3367152364813976,0.2128614853721111,0.09087348,1.0,5.0600000000000005,RR,0.6594356298446655,True,True,0.6927689631779989,8.225269897536826,-35.85550202006304,-16.094158534362588,False,0.0,-2.98828125,-4.876984406102205,60.20507812499999,104.58984375000001,0.46470982286157,ok,True
