leg,start_s,end_s,duration_s,peak_force_n,peak_forward_slip_mm_s,forward_slip_mm,swing_fraction_start,swing_fraction_end
RL,2.48,2.5,0.02,3.91022519457822,297.13151139668497,5.9426302279337,0.7516991820105072,0.7516991820105072
RL,2.56,2.58,0.02,7.404175871748845,432.69226303482554,8.653845260696512,0.910789519785667,0.910789519785667
FR,2.58,2.6,0.02,8.194827439628607,280.3614885788375,5.60722977157675,0.9507895197856671,0.9507895197856671
RR,2.9,3.02,0.12,11.909624354602556,857.0459823146332,85.54138515876815,0.5178742852199323,0.6178934254634623
FL,3.08,3.1,0.02,7.856918007812816,307.8947181456153,6.157894362912306,0.7005449905383829,0.7005449905383829
FL,3.16,3.22,0.06,15.416181963546075,212.2831283724549,9.816876020459574,0.8071965684879068,0.8701223626125101
FL,3.26,3.3,0.04,9.861465718994502,286.39759029590107,7.017927714877741,0.9573110570895915,0.976773954867149
RR,3.28,3.3,0.02,5.418417163035975,68.21705700323243,1.3643411400646486,0.976773954867149,0.976773954867149
RL,3.54,3.56,0.02,3.3037529566239296,75.3113671806364,1.506227343612728,0.30065288567426274,0.30065288567426274
RL,3.58,3.68,0.1,9.133019645645506,577.0614663904962,51.033131891006654,0.3641880419242627,0.4912583544242626
RL,3.7,3.78,0.08,7.9455822072860585,1110.7444502500089,82.8448362501852,0.5433677294242625,0.6175767137992623
FR,3.86,3.88,0.02,12.91952869860819,148.54099636567324,2.970819927313465,0.7508583595741034,0.7508583595741034
FR,3.92,3.98,0.06,15.867456100823032,202.97403455431464,9.825427899550194,0.8468821885574105,0.9121751573074106
RR,4.3,4.32,0.02,4.893879171076272,167.72219513001752,3.3544439026003507,0.3735595729339365,0.3735595729339365
RR,4.36,4.42,0.06,8.036860946605234,789.5199200069768,40.249080265621544,0.4631494166839363,0.5135009791839362
RR,4.54,4.56,0.02,6.506180758826854,544.6179973026215,10.89235994605243,0.6993314530837775,0.6993314530837775
FL,4.58,4.6,0.02,9.66733664776215,244.3350473001199,4.8867009460023985,0.7640830233085394,0.7640830233085394
FL,4.64,4.68,0.04,15.70737702431326,256.540407347254,9.01033723634534,0.8633408358085395,0.8964267733085394
RR,4.72,4.74,0.02,4.592955002751236,97.80638650843615,1.956127730168723,0.9668845846641303,0.9668845846641303
FL,4.74,4.76,0.02,10.113216004045938,79.55885424913123,1.5911770849826246,0.9850291159141302,0.9850291159141302
RL,5.0,5.02,0.02,3.953379032594305,91.10929318454306,1.8221858636908612,0.3225310935962442,0.3225310935962442
RL,5.04,5.08,0.04,7.166900411125117,373.7531272349586,13.180711528586382,0.38606624984624416,0.41783382797124413
RL,5.12,5.26,0.14,9.046170262265589,1006.0646264934644,106.23079556305422,0.508742031096244,0.660675624846244
FR,5.3,5.32,0.02,12.210174870023927,161.7114230762089,3.234228461524178,0.7410029711711645,0.7410029711711645
FR,5.36,5.42,0.06,15.561077863815177,213.41085566208815,10.339873604324392,0.8343221178043128,0.8978572740543127
RR,5.72,5.74,0.02,3.5886307316784007,57.09312149756808,1.1418624299513616,0.3085776271808385,0.3085776271808385
RR,5.76,5.78,0.02,4.865356301995855,522.2748376843979,10.445496753687959,0.3797631826389072,0.3797631826389072
RR,5.82,5.9,0.08,8.749733043594478,874.404745571337,59.12011701751965,0.46238974475743744,0.5273702135074374
RR,5.98,6.0,0.02,4.462372280399608,795.2267915567552,15.904535831135105,0.6452709999072788,0.6452709999072788
FL,6.04,6.06,0.02,5.980280348502414,446.15313997671194,8.92306279953424,0.7342514815318819,0.7342514815318819
FL,6.1,6.16,0.06,15.607634275932922,209.84694956317045,10.440636323591338,0.8376319708812474,0.8953862752902744
RR,6.2,6.22,0.02,4.212335501532408,110.95222050755335,2.219044410151067,0.9748686971652742,0.9748686971652742
RL,6.44,6.46,0.02,5.004538221015921,140.21949787943217,2.8043899575886435,0.3599984350192784,0.3599984350192784
RL,6.52,6.54,0.02,3.9681815427281575,856.2473344521851,17.124946689043703,0.4228867282855746,0.4228867282855746
RL,6.7,6.72,0.02,3.444907327642481,509.98870736561275,10.199774147312255,0.6042367281902072,0.6042367281902072
FR,6.84,6.86,0.02,13.214713237858833,136.8090586274245,2.73618117254849,0.8324320640552278,0.8324320640552278
FR,6.9,6.96,0.06,15.009271323796495,200.50979852725044,10.503394166812182,0.919858626364493,0.9763625326144931
RR,7.18,7.26,0.08,6.887362307887122,513.3686190387494,27.6808160846954,0.38153950357320277,0.44550747060658913
FL,7.48,7.5,0.02,4.715987435590908,135.29813395944674,2.705962679188935,0.6177402737128972,0.6177402737128972
FL,7.54,7.6,0.06,12.63531418315531,327.98581736004496,13.548356611402138,0.6938066842544315,0.7525176289069888
FL,7.62,7.64,0.02,7.558845134441391,401.3565554231291,8.027131108462582,0.8176285769927738,0.8176285769927738
FL,7.7,7.72,0.02,14.453551988613727,252.2951074178623,5.045902148357246,0.942941076992774,0.942941076992774
RR,7.72,7.74,0.02,4.65027500650744,146.67755020613666,2.9335510041227333,0.9742692019927741,0.9742692019927741
FR,7.94,7.96,0.02,3.0820625165169258,241.46487004769455,4.829297400953891,0.3397125771034004,0.3397125771034004
RL,8.0,8.02,0.02,3.303044110954101,479.55193920938444,9.591038784187688,0.3942141392219307,0.3942141392219307
RL,8.3,8.32,0.02,3.576093925829214,524.5630760235777,10.491261520471554,0.668688755272651,0.668688755272651
FR,8.4,8.42,0.02,13.023527070213232,136.15999885295494,2.723199977059099,0.8341379978645087,0.8341379978645087
FR,8.46,8.52,0.06,14.42796833303131,213.65342609913515,10.847593159798922,0.9281223728645085,0.9907786228645084
RL,8.5,8.52,0.02,2.9668610948452745,28.031354579564493,0.5606270915912899,0.9907786228645084,0.9907786228645084
