time,sample_time_ms,status,roll,pitch,gx,gy,filtered_roll,filtered_pitch,filtered_gx,filtered_gy,roll_error,pitch_error,roll_u,pitch_u,fl_z,fr_z,rl_z,rr_z,fl_weight,fr_weight,rl_weight,rr_weight,axis_clamp,foot_clamp,slew_limited,ik_failed
8.46,8430,off,0,0,0.0043633231,-0.00109083077,3.40759834e-06,-0.000350730988,0.00352506991,-0.000630641065,-3.40759834e-06,0.000350730988,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.48,8450,off,0,0,0.00218166155,0.00109083077,1.70379917e-06,-0.000175365494,0.00245034322,0.000746536418,-1.70379917e-06,0.000175365494,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,8470,off,-0.00174532924,0,0.00109083077,0.00218166155,-0.000871812692,-8.76827471e-05,0.00136273331,0.00189463655,0.000871812692,8.76827471e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.52,8490,off,0,0,-0.00218166155,0,-0.000435906346,-4.38413736e-05,-0.00147278258,0.000378927303,0.000435906346,4.38413736e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.540000000000001,8510,off,0,-0.00174532924,0.00109083077,0.00218166155,-0.000217953173,-0.000894585333,0.000578108127,0.00182111468,0.000217953173,0.000894585333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.56,8530,off,0,0,-0.0043633231,0.00654498488,-0.000108976586,-0.000447292667,-0.00337503687,0.00560021121,0.000108976586,0.000447292667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.58,8550,off,0,-0.00174532924,-0.0043633231,-0.00654498488,-5.44882932e-05,-0.00109631091,-0.00416566571,-0.00411594566,5.44882932e-05,0.00109631091,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.6,8570,off,0,0,0.00109083077,0.0043633231,-2.72441466e-05,-0.000548155454,3.95314419e-05,0.00266746944,2.72441466e-05,0.000548155454,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.620000000000001,8590,off,0,-0.00174532924,0.00109083077,0.00109083077,-1.36220733e-05,-0.00114674238,0.000880570908,0.00140615855,1.36220733e-05,0.00114674238,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.64,8610,off,0,0,0,-0.00218166155,-6.81103666e-06,-0.000573371188,0.00017611419,-0.00146409753,6.81103666e-06,0.000573371188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
