time,sample_time_ms,status,roll,pitch,gx,gy,filtered_roll,filtered_pitch,filtered_gx,filtered_gy,roll_error,pitch_error,roll_u,pitch_u,fl_z,fr_z,rl_z,rr_z,fl_weight,fr_weight,rl_weight,rr_weight,axis_clamp,foot_clamp,slew_limited,ik_failed
16.22,16190,active,0.0628318563,-0.029670598,0.341430038,-0.167987943,0.0573265366,-0.0221727621,0.351855487,-0.178520113,-0.0573265366,0.0221727621,-0.0220209714,0.00979015604,0,-0.000512824976,-0.000202598749,0,0,1,1,0,0,0,0,0
16.240000000000002,16210,active,0.0715584978,-0.0314159282,0.34906584,-0.184350401,0.0644425154,-0.0267943442,0.34962377,-0.183184355,-0.0644425154,0.0267943442,-0.0233772174,0.0108543988,0,-0.000494675245,-0.000350406161,0,0,1,1,0,0,0,0,0
16.26,16230,active,0.0767944902,-0.0366519131,0.230165288,-0.0632681847,0.0706185028,-0.0317231268,0.25405699,-0.0872514173,-0.0706185028,0.0317231268,-0.0217454098,0.00896216743,0,-0.000662923092,-7.69787002e-05,0,0,1,1,0,0,0,0,0
16.28,16250,active,0.0837758034,-0.0401425734,-0.138535514,0.160352126,0.0771971494,-0.0359328501,-0.0600170158,0.11083141,-0.0771971494,0.0359328501,-0.0187454093,0.0059621674,0,-0.000863831025,0.000344129978,0,0,1,1,0,0,0,1,0
16.3,16270,active,0.0872664601,-0.0401425734,0.0261799395,-0.0370882452,0.0822318047,-0.0380377099,0.00894054957,-0.00750431418,-0.0822318047,0.0380377099,-0.0167145785,0.00783267152,0,-0.000396940042,-0.00032462948,0,0,1,1,0,0,0,0,0
16.32,16290,active,0.0872664601,-0.0349065848,0.146171331,-0.147262156,0.0847491324,-0.0364721492,0.118725173,-0.119310588,-0.0847491324,0.0364721492,-0.019714579,0.0108326711,0,-0.000249209348,-0.000800847192,0,0,1,1,0,0,0,1,0
16.34,16310,active,0.0872664601,-0.0383972451,0.101447262,-0.0261799395,0.0860077962,-0.0374346972,0.104902849,-0.0448060706,-0.0860077962,0.0374346972,-0.0203486457,0.00883112103,0,-0.000632210751,-0.000264845905,0,0,1,1,0,0,0,0,0
16.36,16330,active,0.0890117884,-0.0383972451,-0.177805424,0.211621165,0.087509796,-0.0379159711,-0.121263772,0.16033572,-0.087509796,0.0379159711,-0.0173486453,0.005831121,0,-0.000804560608,0.000185400946,0,0,1,1,0,0,0,1,0
16.38,16350,active,0.0907571241,-0.0418879017,-0.395971566,0.297796816,0.0891334563,-0.0399019346,-0.341030002,0.27030459,-0.0891334563,0.0399019346,-0.0143486448,0.00283112098,0,-0.000962816586,0.000650002388,0,0,1,1,0,0,0,1,0
16.4,16370,active,0.0855211318,-0.0383972451,-0.614137709,0.241073608,0.0873272941,-0.0391495898,-0.559516191,0.246919811,-0.0873272941,0.0391495898,-0.0113486443,0.00042232452,0,-0.00101416197,0.000967799453,0,0,0.990956962,0.990956962,0,0,0,1,0
16.42,16390,active,0.0767944902,-0.0261799395,-0.811578095,0.282525182,0.0820608884,-0.0326647647,-0.761165738,0.275404096,-0.0820608884,0.0326647647,-0.00834864378,-0.00172916986,0,-0.000789967249,0.000950628659,0,0,0.761790693,0.761790693,0,0,0,1,0
16.44,16410,active,0.0645771846,-0.0244346093,-1.00683677,0.316340923,0.0733190328,-0.0285496861,-0.957702637,0.30815357,-0.0733190328,0.0285496861,-0.00534864375,-0.00353466952,0,-0.000311949174,0.000451841071,0,0,0.314069957,0.314069957,0,0,0,1,0
16.46,16430,active,0.0453785621,-0.0174532924,-1.08319497,0.353429168,0.0593487993,-0.0230014883,-1.05809653,0.344374061,-0.0593487993,0.0230014883,-0.00234864373,-0.0057309242,-5.03714e-05,-2.55056766e-05,4.47049897e-05,4.16207913e-05,0.0501388423,0.0256700367,0.0256700367,0.0501388423,0,0,1,0
16.48,16450,active,0.029670598,-0.0104719754,-0.871573806,0.365428299,0.0445096977,-0.0167367309,-0.908878386,0.361217439,-0.0445096977,0.0167367309,0.000651356298,-0.00748917647,-0.00064074184,0,0,0.00056597119,0.387577146,0,0,0.387577146,0,0,1,0
16.5,16470,active,0.00698131695,-0.00174532924,-0.620682716,0.190895393,0.0257455073,-0.00924102962,-0.678321838,0.224959821,-0.0257455073,0.00924102962,0.00365135632,-0.00490058865,-0.00113570387,0,0,0.00105064258,0.822687507,0,0,0.822687507,0,0,1,0
16.52,16490,active,-0.00698131695,0,-0.328340054,-0.0381790772,0.00938209519,-0.00462051481,-0.398336411,0.0144487042,-0.00938209519,0.00462051481,0.00665135635,-0.00190058863,-0.00103255734,0,0,0.00100057025,0.997977436,0,0,0.997977436,0,0,1,0
16.54,16510,active,-0.0174532924,0.00174532924,-0.0272707697,-0.126536369,-0.0040355986,-0.00143759279,-0.101483904,-0.0983393565,0.0040355986,0.00143759279,0.00385163678,0.0010994114,-0.000145029408,0,0,0.000156730137,1,0,0,1,0,0,1,0
16.56,16530,active,-0.022689281,0.00174532924,-0.0774489865,-0.0359974168,-0.0133624393,0.000153868226,-0.082255967,-0.0484658033,0.0133624393,-0.000153868226,0.00514016673,0.00142320036,-0.000205880642,0,0,0.000214172294,1,0,0,1,0,0,0,0
16.580000000000002,16550,active,-0.0279252678,0,-0.0272707697,-0.0774489865,-0.0206438527,7.69341132e-05,-0.0382678099,-0.0716523528,0.0206438527,-7.69341132e-05,0.00527680479,0.00213418365,-7.98549736e-05,0,0,8.25533061e-05,1,0,0,1,0,0,0,0
16.6,16570,active,-0.0279252678,0.00174532924,-0.0043633231,-0.146171331,-0.0242845602,0.000911131676,-0.0111442208,-0.131267533,0.0242845602,-0.000911131676,0.0051912386,0.00375579949,0.000244429335,0,0,-0.000256848638,1,0,0,1,0,0,0,0
16.62,16590,active,-0.0261799395,-0.00174532924,-0.0359974168,-0.183259577,-0.0252322499,-0.000417098781,-0.0310267787,-0.172861174,0.0252322499,0.000417098781,0.00597725343,0.00526925502,0.000455995556,0,0,-0.000498404377,1,0,0,1,0,0,0,0
16.64,16610,active,-0.0279252678,-0.00523598772,-0.0774489865,-0.0850848034,-0.0265787579,-0.00282654329,-0.0681645423,-0.102640077,0.0265787579,0.00282654329,0.00736068795,0.00364451087,-3.36131779e-06,0,0,-4.40896838e-05,1,0,0,1,0,0,0,0
16.66,16630,active,-0.0279252678,-0.00872664619,0.0719948336,-0.00327249244,-0.0272520129,-0.00577659486,0.0439629592,-0.0231460109,0.0272520129,0.00577659486,0.00436068792,0.0018496993,-6.6106295e-05,0,0,3.30363691e-05,1,0,0,1,0,0,1,0
