time_s,phase,roll_deg,pitch_deg,voltage_v,phase_rate,safety,FL_j1_target_deg,FL_j1_actual_deg,FL_j2_target_deg,FL_j2_actual_deg,FL_j3_target_deg,FL_j3_actual_deg,FL_normal_force_n,FL_clearance_mm,FL_body_relative_x_from_s_mm,FR_j1_target_deg,FR_j1_actual_deg,FR_j2_target_deg,FR_j2_actual_deg,FR_j3_target_deg,FR_j3_actual_deg,FR_normal_force_n,FR_clearance_mm,FR_body_relative_x_from_s_mm,RL_j1_target_deg,RL_j1_actual_deg,RL_j2_target_deg,RL_j2_actual_deg,RL_j3_target_deg,RL_j3_actual_deg,RL_normal_force_n,RL_clearance_mm,RL_body_relative_x_from_s_mm,RR_j1_target_deg,RR_j1_actual_deg,RR_j2_target_deg,RR_j2_actual_deg,RR_j3_target_deg,RR_j3_actual_deg,RR_normal_force_n,RR_clearance_mm,RR_body_relative_x_from_s_mm
6.26,0.8231721268073642,0.0027120256591730853,-0.03857367461295796,10.722647114682651,0.958984375,tilt,0.0076443657481821345,0.36796935065409864,46.011386135692085,45.771466869187364,90.01601794671119,90.93533963552034,6.534218905774576,-1.6918704308646095,3.0222320056159657,0.007644366053771279,0.36910116540751614,46.0113861168377,45.77272900536173,90.0160179082293,90.93744423715863,6.551324777826622,-1.6961720893902583,3.021723779035618,0.007644388203962767,0.40845225706101873,46.01138576650513,45.76839967894411,90.01601670486666,91.00336534502992,6.958414232863341,-1.8083407841838761,3.1842436664885065,0.007644388511422964,0.40980210565089864,46.0113857480446,45.76804880019364,90.01601666681127,91.00576489901684,6.972791228387233,-1.8118881737468235,3.190945531720335
6.28,0.8231721268073642,0.0027204873721360817,-0.03855887406438226,10.722642395975228,0.958984375,tilt,0.0076443657481821345,0.36804572908624567,46.011386135692085,45.77148849745134,90.01601794671119,90.93533563740361,6.534255732334708,-1.6918811755882133,3.022133096772323,0.007644366053771279,0.36918325959889325,46.0113861168377,45.77267409429446,90.0160179082293,90.93746423991452,6.551290639631979,-1.696162114863467,3.021989546808379,0.007644388203962767,0.4084579443907255,46.01138576650513,45.76841014841317,90.01601670486666,91.00335314010356,6.95837376762778,-1.8083289536513467,3.1841739040864017,0.007644388511422964,0.40980106866796534,46.0113857480446,45.76807300227931,90.01601666681127,91.00575976507967,6.972828517039172,-1.8118990908649741,3.190835696655042
6.3,0.8231721268073642,0.002728486263658425,-0.03854486168689659,10.722637937042812,0.958984375,tilt,0.0076443657481821345,0.36811791072062294,46.011386135692085,45.771508821183446,90.01601794671119,90.93533190849888,6.5342904665305515,-1.6918913226301595,3.022040205216875,0.007644366053771279,0.36926085261936115,46.0113861168377,45.77262213327307,90.0160179082293,90.93748318358165,6.551258465028445,-1.6961526974745047,3.0222410731496896,0.007644388203962767,0.40846331402870456,46.01138576650513,45.76842016524883,90.01601670486666,91.00334155071388,6.958335547405669,-1.8083177808933988,3.1841073540346265,0.007644388511422964,0.4098000738269674,46.0113857480446,45.76809594060734,90.01601666681127,91.00575487544371,6.972863697827161,-1.811909400603981,3.190731544535308
6.32,0.8231721268073642,0.002736047518519568,-0.038531595471647744,10.722633723583229,0.958984375,tilt,0.0076443657481821345,0.36818612570420056,46.011386135692085,45.77152791822009,90.01601794671119,90.93532843162303,6.534323278616113,-1.6919009058434311,3.0219529699668235,0.007644366053771279,0.3693341908667848,46.0113861168377,45.77257296333877,90.0160179082293,90.93750112438659,6.551228064293106,-1.69614380512954,3.022479123483218,0.007644388203962767,0.40846838367866833,46.01138576650513,45.76842974823623,90.01601670486666,91.00333054586484,6.958299451989559,-1.8083072296723457,3.184043870840508,0.007644388511422964,0.4097991196413371,46.0113857480446,45.76811768145412,90.01601666681127,91.00575021848636,6.972896928944464,-1.8119191369642547,3.1906327799391123
6.34,0.8231721268073642,0.002743194922707979,-0.03851903567864043,10.722629742089715,0.958984375,tilt,0.0076443657481821345,0.3682505912748441,46.011386135692085,45.77154586175362,90.01601794671119,90.9353251912197,6.534354281711702,-1.6919099559344584,3.02187105288787,0.007644366053771279,0.3694035069268219,46.0113861168377,45.77252643437143,90.0160179082293,90.93751811485481,6.551199325608248,-1.6961354096479038,3.0227044194018338,0.007644388203962767,0.40847317002552547,46.01138576650513,45.768438915430806,90.01601670486666,91.00332009626408,6.958265366890169,-1.8082972653726583,3.183983315776878,0.007644388511422964,0.40979820466235206,46.0113857480446,45.76813828752571,90.01601666681127,91.00574578349587,6.972928324272646,-1.8119283309439502,3.19053912398945
6.36,0.8231721268073642,0.0027499509822955263,-0.03850714466696517,10.722625980083428,0.958984375,tilt,0.0076443657481821345,0.36831151343488205,46.011386135692085,45.7715627205644,90.01601794671119,90.93532217151697,6.534383538436964,-1.6919185030910902,3.0217941336259937,0.007644366053771279,0.3694690214912096,46.0113861168377,45.77248240386579,90.0160179082293,90.93753420598688,6.551172231453742,-1.6961274823589674,3.0229176484206643,0.007644388203962767,0.40847768886555264,46.01138576650513,45.768447684127594,90.01601670486666,91.00331017379128,6.95823317536125,-1.8082878556683821,3.183925555827111,0.007644388511422964,0.4097973275019855,46.0113857480446,45.76815781828186,90.01601666681127,91.00574155950991,6.972957947572781,-1.8119370128801235,3.1904503104661366
6.38,0.8231721268073642,0.002756337011924149,-0.03849588681985131,10.722622425454349,0.958984375,tilt,0.0076443657481821345,0.3683690861000768,46.011386135692085,45.771578559395515,90.01601794671119,90.93531935936085,6.534411180056499,-1.6919265741135794,3.0217219143782446,0.007644366053771279,0.3695309421846521,46.0113861168377,45.772440737708315,90.0160179082293,90.93754944421723,6.551146637972332,-1.6961199989530065,3.0231194541092963,0.007644388203962767,0.4084819550833529,46.01138576650513,45.76845607099515,90.01601670486666,91.00330075216802,6.958202775012694,-1.8082789694040604,3.183870464623623,0.007644388511422964,0.40979648674721464,46.0113857480446,45.768176329953214,90.01601666681127,91.00573753720494,6.972985923546547,-1.811945210074984,3.1903660899177955
6.4,0.8231721268073642,0.002762373221395296,-0.03848522840026925,10.722619066760531,0.958984375,tilt,0.0076443657481821345,0.36842349331089874,46.011386135692085,45.771593439073946,90.01601794671119,90.93531674093136,6.53443729842551,-1.6919341960141554,3.02165411207006,0.007644366053771279,0.36958946617689203,46.0113861168377,45.772401308497784,90.0160179082293,90.93756387517342,6.551122458428877,-1.6961129336780547,3.0233104511877276,0.007644388203962767,0.4084859827740107,46.01138576650513,45.76846409199407,90.01601670486666,91.00329180604054,6.958174067093495,-1.8082705777181032,3.1838179207459296,0.007644388511422964,0.40979568106281994,46.0113857480446,45.76819387588796,90.01601666681127,91.00573370675193,6.973012345286675,-1.8119529498585794,3.1902862235042573
6.42,0.8231721268073642,0.0027680787770728837,-0.03847513746299251,10.72261589300747,0.958984375,tilt,0.0076443657481821345,0.3684749088621701,46.011386135692085,45.77160741675384,90.01601794671119,90.93531430364956,6.534461923131365,-1.69194139318303,3.0215904615971123,0.007644366053771279,0.3696447795974089,46.0113861168377,45.772363995968114,90.0160179082293,90.93757754158187,6.551099672356788,-1.6961062640101534,3.0234912191822447,0.007644388203962767,0.4084897852280891,46.01138576650513,45.768471762425705,90.01601670486666,91.0032833113673,6.958146952448953,-1.8082626528665122,3.1837678083810603,0.007644388511422964,0.409794909137413,46.0113857480446,45.768210506539674,90.01601666681127,91.00573005907573,6.973037270928882,-1.8119602571706472,3.1902104858337332
6.44,0.8231721268073642,0.0027734717839744583,-0.03846558378562936,10.722612894383785,0.958984375,tilt,0.0076443657481821345,0.36852349680841956,46.011386135692085,45.77162054630945,90.01601794671119,90.9353120363602,6.5344851781034325,-1.6919481886035932,3.0215307146163886,0.007644366053771279,0.3696970581198762,46.0113861168377,45.7723286864811,90.0160179082293,90.93759048320544,6.551078180350702,-1.69609996879257,3.023662304337593,0.007644388203962767,0.4084933750454626,46.01138576650513,45.76847909705565,90.01601670486666,91.00327524557578,6.958121338324978,-1.8082551686978248,3.1837200171642155,0.007644388511422964,0.4097941696218296,46.0113857480446,45.768226269771134,90.01601666681127,91.00572658599798,6.97306079308614,-1.8119671556387773,3.1901386640442175
