# time,phase,fl_z_mm,fr_z_mm,rl_z_mm,rr_z_mm,roll,pitch,x
1.919999999999999929e+00,0.000000000000000000e+00,-1.692064891338881161e+00,-1.695998391488522827e+00,-1.808128501048791748e+00,-1.812081843979740370e+00,2.863808154299214703e-03,-3.824356071913288802e-02,-3.002802782596486475e-03
1.939999999999999947e+00,0.000000000000000000e+00,-1.692064776610456622e+00,-1.695998177719051814e+00,-1.808128471814794747e+00,-1.812081915245192132e+00,2.863948541633842652e-03,-3.824631848080791569e-02,-3.002800277004053723e-03
1.959999999999999964e+00,0.000000000000000000e+00,-1.692064668034419572e+00,-1.695997975812539638e+00,-1.808128444489264020e+00,-1.812081982807044245e+00,2.864081706282370788e-03,-3.824892928133508813e-02,-3.002797903200626894e-03
1.979999999999999982e+00,0.000000000000000000e+00,-1.692064565355321681e+00,-1.695997785340932262e+00,-1.808128419039507051e+00,-1.812082047084395020e+00,2.864208095198144104e-03,-3.825140096299609049e-02,-3.002795654135877353e-03
2.000000000000000000e+00,2.500000000000000000e-01,-1.692064468148957168e+00,-1.695997605642117545e+00,-1.808128395262904808e+00,-1.812082108234514655e+00,2.864328095047151759e-03,-3.825374095488476983e-02,-3.002793523161263137e-03
2.020000000000000018e+00,2.574850299401197362e-01,-1.692064375841337398e+00,-1.695997435857191871e+00,-1.808128372771774295e+00,-1.812082166156900431e+00,2.864442042463549633e-03,-3.825595630358355481e-02,-3.002791503942893805e-03
2.040000000000000036e+00,2.650493264605433552e-01,-1.692064288358295698e+00,-1.695997275598944087e+00,-1.808128351635240882e+00,-1.812082221146822603e+00,2.864550236909456891e-03,-3.825805366218922032e-02,-3.002789590525544328e-03
2.060000000000000053e+00,2.726945863993812669e-01,-1.692064205547350042e+00,-1.695997124398620937e+00,-1.808128331898708918e+00,-1.812082273444988401e+00,2.864652950510577882e-03,-3.826003932915177791e-02,-3.002787777304322288e-03
2.080000000000000071e+00,2.804225616698604040e-01,-1.685872146779402669e+00,-1.700427644262248572e+00,-1.809821428930359577e+00,-1.803591475608226524e+00,2.798429857432340254e-03,-3.746791222258674670e-02,-3.013197706816755309e-03
2.100000000000000089e+00,2.882350616698604040e-01,-1.676213839263345662e+00,-1.712487171517541817e+00,-1.817071845322249635e+00,-1.789803378716165572e+00,2.568233167377669945e-03,-3.638391763966050685e-02,-3.040486318195508800e-03
2.120000000000000107e+00,2.961339558246787185e-01,-1.657477312276223191e+00,-1.727275879814665904e+00,-1.834132406320992947e+00,-1.773046693224610060e+00,2.342697516421063820e-03,-3.752402760998596598e-02,-3.054487532518892524e-03
2.140000000000000124e+00,3.041211762719630562e-01,-1.609232513658756414e+00,-1.756338513448578498e+00,-1.879672632452887626e+00,-1.742059879680114109e+00,1.952933740486608458e-03,-4.249193765409094853e-02,-3.002046777875936809e-03
2.160000000000000142e+00,3.121987206984573882e-01,-1.569036019189548714e+00,-1.785320596301320784e+00,-1.919559038904079085e+00,-1.714178701281106276e+00,1.079589681833385915e-03,-4.539893898939413586e-02,-2.922732151152448131e-03
2.180000000000000160e+00,3.203686553389802905e-01,-1.531529110848126152e+00,-1.820665222271283801e+00,-1.955930296739183394e+00,-1.679493400535726710e+00,-4.125288138056295521e-04,-4.440841434198823656e-02,-2.834974784836796335e-03
2.200000000000000178e+00,3.286331181488976183e-01,-1.517814423766410181e+00,-1.860773420258060584e+00,-1.980535443810022000e+00,-1.645765767564498550e+00,-7.838416357736873938e-03,-3.919719622679691817e-02,-2.795774080768489121e-03
2.220000000000000195e+00,3.369943221622755392e-01,-1.515573621440599705e+00,-1.885609147198714863e+00,-1.997677331625702379e+00,-1.613177725371867099e+00,-2.069761772330643013e-02,-3.754867291020690112e-02,-2.768193043094955511e-03
2.240000000000000213e+00,3.454545590489083717e-01,-1.524754574013766684e+00,-1.882509967585134447e+00,-2.008116770582407895e+00,-1.602519684666063648e+00,-2.501727718294853922e-02,-3.717816437374195371e-02,-2.748596984381372274e-03
2.260000000000000231e+00,3.540162028845247888e-01,-1.553216222607775698e+00,-1.867039738041021524e+00,-1.998771138644640732e+00,-1.621695375067157219e+00,-2.087042191318637385e-02,-3.619499169753306878e-02,-2.748489292212178726e-03
2.280000000000000249e+00,3.626817141496894159e-01,-1.662635007036651569e+00,-1.804318271465942702e+00,-1.927729650789879789e+00,-1.713494713802152347e+00,-1.652421638834480899e-02,-2.981045904751913542e-02,-2.847352505993346657e-03
2.300000000000000266e+00,3.714563379376945029e-01,-1.767491510436102642e+00,-1.688557437307884657e+00,-1.829393987130698784e+00,-1.814182449729109026e+00,-2.365486658821450768e-04,-3.443265224110929335e-02,-2.887404563357161801e-03
2.319999999999999840e+00,3.802309617256995899e-01,-1.786791499273139516e+00,-1.609596188959078855e+00,-1.758347289096649835e+00,-1.866581936840406408e+00,4.621483274968107326e-03,-3.988160702715225214e-02,-2.884672120970161856e-03
2.339999999999999858e+00,3.890055855137046770e-01,-1.793207858867794435e+00,-1.569710422798159533e+00,-1.713094242312064530e+00,-1.901195322139111799e+00,7.430862531800608642e-03,-4.206614488752416503e-02,-2.873452041164168726e-03
2.359999999999999876e+00,3.977802093017097640e-01,-1.811126885494420469e+00,-1.552723416088523711e+00,-1.668983150721382147e+00,-1.934865288891144619e+00,1.743299535905956654e-02,-4.121024438180688476e-02,-2.889352735479890077e-03
2.379999999999999893e+00,4.065575287083629807e-01,-1.828568928293569762e+00,-1.541386578365021354e+00,-1.647885093119898947e+00,-1.951748323439663535e+00,1.807565241003280740e-02,-3.819885782549282266e-02,-2.926722437261428545e-03
2.399999999999999911e+00,4.153321524963680678e-01,-1.856545546537132552e+00,-1.514163216169945425e+00,-1.646824184223728116e+00,-1.962872939267886530e+00,2.092483659441595270e-02,-3.682150627708056373e-02,-2.936712485866362077e-03
2.419999999999999929e+00,4.241067762843731548e-01,-1.882757676079475972e+00,-1.492822676454490960e+00,-1.632132782144177341e+00,-1.985778224106012013e+00,2.314142696917644709e-02,-3.719819092095272284e-02,-2.926623395382378905e-03
2.439999999999999947e+00,4.328814000723782418e-01,-1.904271927047080482e+00,-1.472077093281794147e+00,-1.612067291214342557e+00,-2.014382735293987370e+00,-4.183167295974124338e-03,-4.061032828171469433e-02,-2.881483770595654782e-03
2.459999999999999964e+00,4.416560238603833288e-01,-1.939862602869789399e+00,-1.448455690045587829e+00,-1.598448874585111534e+00,-2.032776422741001898e+00,-2.079646061276648264e-02,-4.100338004771880013e-02,-2.857242661027137396e-03
2.479999999999999982e+00,4.504306476483884158e-01,-1.954043428335931809e+00,-1.439000273801140706e+00,-1.579924719895473118e+00,-2.042049329654054723e+00,-2.426193616939942635e-02,-4.325542248120847061e-02,-2.834965385087499703e-03
2.500000000000000000e+00,4.592025774729497911e-01,-1.950601999974210798e+00,-1.433052046170137706e+00,-1.555396114901613114e+00,-2.056179456880937728e+00,-1.827808901252178653e-02,-4.345954381362223534e-02,-2.836878998458328312e-03
2.520000000000000018e+00,4.679745072975112219e-01,-1.963467395740839283e+00,-1.421341767613007345e+00,-1.543833350785225100e+00,-2.079160284101075895e+00,-1.650020601208546447e-02,-4.181298898603803826e-02,-2.844003228019286074e-03
2.540000000000000036e+00,4.767464371220726527e-01,-1.982448172788944030e+00,-1.412008627667747040e+00,-1.533528403866751821e+00,-2.095094308325859966e+00,-3.287180325686184408e-03,-3.808570480824019500e-02,-2.885934545061729847e-03
2.560000000000000053e+00,4.855210609100777397e-01,-1.970611586573502105e+00,-1.407090681243953423e+00,-1.521735473901705937e+00,-2.106552326042621104e+00,1.166389574904651283e-02,-3.723809657018674335e-02,-2.892360917588559458e-03
2.580000000000000071e+00,4.942956846980828267e-01,-1.963861857376014708e+00,-1.407969160145690291e+00,-1.519128977011952042e+00,-2.101573583296996617e+00,1.624709544950432918e-02,-3.888162722726060117e-02,-2.888316935984886966e-03
2.600000000000000089e+00,5.030703084860879137e-01,-1.979134030362331043e+00,-1.396965852950047493e+00,-1.501647976941890228e+00,-2.108404268103093226e+00,3.488474651133616905e-02,-4.195276681770725158e-02,-2.903091535134817974e-03
2.620000000000000107e+00,5.118476278927410750e-01,-1.980574943958150147e+00,-1.395338388741083957e+00,-1.488130569348301790e+00,-2.126029550249056044e+00,5.030384082486319408e-02,-4.311807597165458195e-02,-2.942959264861406011e-03
2.640000000000000124e+00,5.206249472993942362e-01,-1.978076072160300791e+00,-1.383188459839850726e+00,-1.473587651029208079e+00,-2.164835589977012198e+00,7.092541973016155965e-02,-4.128247662667541146e-02,-2.968446056161812199e-03
2.660000000000000142e+00,5.294049639814258912e-01,-1.964811225181564591e+00,-1.396248631632873716e+00,-1.467233925616980628e+00,-2.186313703445321721e+00,6.994123419652877038e-02,-4.260561186842209969e-02,-2.945322766956567483e-03
2.680000000000000160e+00,5.381849806634575462e-01,-1.964525492423673025e+00,-1.400741329627995579e+00,-1.462763625632870657e+00,-2.185652228463098812e+00,5.544768223000528379e-02,-4.224200774730367536e-02,-2.946222259110735115e-03
2.700000000000000178e+00,5.469649973454892011e-01,-1.952791561626064043e+00,-1.415274070775473403e+00,-1.439536199219354495e+00,-2.204334318888154343e+00,7.137769266303693738e-02,-3.985434547228461355e-02,-2.957870660880685277e-03
2.720000000000000195e+00,5.557477129611575473e-01,-1.942436764898615387e+00,-1.438617107898391367e+00,-1.415984667258517904e+00,-2.211201968222002101e+00,7.933479349154072546e-02,-3.546933483847326818e-02,-3.025340149897744017e-03
2.740000000000000213e+00,5.645304285768258934e-01,-1.920918964671475271e+00,-1.458389711069471684e+00,-1.410793028051880782e+00,-2.209732325405347364e+00,8.938173804614620022e-02,-3.803371486080040637e-02,-3.064011871586925194e-03
2.760000000000000231e+00,5.733131441924942395e-01,-1.899027144602563499e+00,-1.462058065229497661e+00,-1.403027991921563356e+00,-2.232631747627538576e+00,1.007453703410961104e-01,-4.165876934336142784e-02,-3.074704334266304025e-03
2.780000000000000249e+00,5.820958598081625857e-01,-1.875069622535918690e+00,-1.475438014843930778e+00,-1.405044380220519473e+00,-2.244211086941096056e+00,1.079034896777024827e-01,-4.052624420360251278e-02,-3.093893603913819464e-03
