# t,bfl,bfr,brl,brr,wfl,wfr,wrl,wrr,roll,pitch
5.299999999999999822e+00,8.006959341813647824e-02,8.290013911175343753e-02,8.283452641629265867e-02,8.096445413823712134e-02,-2.789410383005775512e-03,-3.543338766303569254e-04,-7.434971163593484533e-04,-2.917310389374910135e-03,1.080969664812305581e-01,-9.593144957654294036e-02
5.320000000000000284e+00,8.038680820408819483e-02,8.370727906238423222e-02,8.372177084749078679e-02,8.134524478353423460e-02,-2.927607093256453380e-03,4.454931762022662500e-05,-5.460548306515725092e-04,-3.156675342668145007e-03,9.149289451532170714e-02,-1.278654174998911930e-01
5.339999999999999858e+00,8.072463497465648397e-02,8.451898378077239704e-02,8.465054211004821583e-02,8.174945650697436339e-02,-3.071887657529196597e-03,4.309353711273375409e-04,-3.176920217682968617e-04,-3.363289867839201752e-03,6.860365268193306665e-02,-1.572157982208868821e-01
5.360000000000000320e+00,8.101319222046013402e-02,8.559515022247185523e-02,8.568000761306183988e-02,8.211361375184825229e-02,-3.199294734545360397e-03,1.266979872184884753e-03,-5.584629948547983891e-05,-3.540734755107386583e-03,6.665475900564874108e-03,-2.050079991953804026e-01
5.379999999999999893e+00,8.121992324441527911e-02,8.678223921537449315e-02,8.681023530126003029e-02,8.239169461844077225e-02,-3.263002165594223319e-03,2.485072982938697078e-03,2.871632846928109939e-04,-3.684474518052184566e-03,-9.523589765851661615e-02,-2.755747839814628453e-01
5.400000000000000355e+00,8.135652889031783075e-02,8.797797932477820215e-02,8.802562912264760842e-02,8.262521625623975297e-02,-3.251529508440133276e-03,4.021874129572691053e-03,6.002955602102955091e-04,-3.806826820570062553e-03,-2.488495369515483224e-01,-3.830004001082897847e-01
5.419999999999999929e+00,8.144703810339061489e-02,8.924065053939556069e-02,8.923781762292162800e-02,8.273975608500305778e-02,-3.219586884507887048e-03,5.888986434294134209e-03,8.379062860155196690e-04,-3.915722737875586973e-03,-4.643552647835312297e-01,-5.107959606533515329e-01
5.440000000000000391e+00,8.150293059764093795e-02,9.046875818645834511e-02,9.044846180905058430e-02,8.277051535491437850e-02,-3.176475656827604244e-03,7.977335045875784403e-03,1.007748856828326323e-03,-3.974398352569710052e-03,-7.410045871463732947e-01,-6.558867784892211672e-01
5.459999999999999964e+00,8.150513105329487695e-02,9.162130963894235536e-02,9.163645715584836648e-02,8.271747121947710391e-02,-3.152307373861917145e-03,1.021855500394304450e-02,1.090552860289504405e-03,-3.987587498799741864e-03,-1.078445210502369633e+00,-8.165321835988516019e-01
5.480000000000000426e+00,8.147723946307675047e-02,9.274825383730331274e-02,9.277207956405729428e-02,8.264036690575503330e-02,-3.136259857030705700e-03,1.266793384576210893e-02,9.689087054107793640e-04,-3.967956802674539596e-03,-1.480025026470750404e+00,-1.003112141601400831e+00
5.500000000000000000e+00,8.143419604841700687e-02,9.379629256627555756e-02,9.382964719651150365e-02,8.253577088851671295e-02,-3.132818644275035119e-03,1.526204088891278468e-02,6.060236967353194171e-04,-3.929495411150524947e-03,-1.947047524855531897e+00,-1.215437062406700353e+00
5.520000000000000462e+00,8.138964804262076302e-02,9.471918983082686094e-02,9.476263456505766569e-02,8.239355503731987662e-02,-3.145353578920463689e-03,1.795357348324385857e-02,-7.867214185175788743e-05,-3.882049564119329638e-03,-2.483669139509076196e+00,-1.453254223276750245e+00
5.540000000000000036e+00,8.132189204703395291e-02,9.552418474149165784e-02,9.567378059146966485e-02,8.211782620411620104e-02,-3.189461299318855497e-03,2.055147929110017965e-02,-6.016588468896882924e-04,-3.756059043594637409e-03,-3.031817434457688254e+00,-1.660868554783375695e+00
5.560000000000000497e+00,8.120124079909785131e-02,9.616497597881945580e-02,9.651160811757655833e-02,8.185063403711265173e-02,-3.205070714125384662e-03,2.282962330986463423e-02,-8.406440158555961162e-04,-3.495773133615556749e-03,-3.514677116288658532e+00,-1.825060227880094033e+00
5.580000000000000071e+00,8.107333110884976102e-02,9.664276369240154541e-02,9.721002064249463503e-02,8.152330720841033385e-02,-3.158334116789292267e-03,2.487756316037233531e-02,-9.941832415530614531e-04,-3.221314819645330202e-03,-3.957744366662610425e+00,-1.963542018875463757e+00
5.600000000000000533e+00,8.087903802998312741e-02,9.702575401587168469e-02,9.769841289867266243e-02,8.120462692538103766e-02,-3.119712316180738021e-03,2.665992121472413046e-02,-1.132759752470156173e-03,-2.945389303300922218e-03,-4.333629017358847868e+00,-2.075772559921378768e+00
5.620000000000000107e+00,8.070011016225672740e-02,9.722768720024371758e-02,9.806330643696664628e-02,8.093374785823420625e-02,-3.091034129116380230e-03,2.802910682783173527e-02,-1.264292570075094962e-03,-2.704501736690144431e-03,-4.647796892605913222e+00,-2.165884328837403228e+00
5.639999999999999680e+00,8.060475611862533141e-02,9.727400041832864885e-02,9.826512182128696593e-02,8.071589772529309814e-02,-3.054395056702557260e-03,2.897906053032945489e-02,-1.423701439355322396e-03,-2.499028610639733583e-03,-4.896081447089416727e+00,-2.228716377357891965e+00
