# time,x,roll,pitch,fl_mm,fr_mm,rl_mm,rr_mm
0.000000000000000000e+00,-5.602611355560506591e-05,1.110637415322897586e-04,5.824402132987083376e-03,-6.782857459344676654e-01,-6.783093206858964441e-01,-6.714986593946287163e-01,-6.715260336991081269e-01
2.000000000000000042e-02,-1.033114720486947788e-03,1.078317056369489449e-03,6.820581800323480270e-02,-2.016084145937561800e+00,-2.016802956989513618e+00,-1.821701095339502086e+00,-1.822529417500086346e+00
4.000000000000000083e-02,-2.122257171443214883e-03,1.743723081784019852e-03,6.475301733457410058e-02,-2.332974781835930767e+00,-2.334783349577387757e+00,-2.073282458032409625e+00,-2.075193659554382730e+00
5.999999999999999778e-02,-2.909425514122071510e-03,2.223945534319757018e-03,1.567121635033532148e-02,-2.188763120275539542e+00,-2.191704965629093227e+00,-2.084781779152299119e+00,-2.087597335731134152e+00
8.000000000000000167e-02,-3.373963240112430595e-03,2.595178413731019131e-03,-3.850216813134238469e-02,-1.939940636057430057e+00,-1.943838255191933317e+00,-2.051456797756222361e+00,-2.054986153145324401e+00
1.000000000000000056e-01,-3.576985296213238373e-03,2.870029681812325852e-03,-7.655131525296914041e-02,-1.745166653654005362e+00,-1.749750140356023165e+00,-2.020130674576937846e+00,-2.024168516132615725e+00
1.199999999999999956e-01,-3.620018685978412549e-03,3.042682519429271409e-03,-9.142232915151801698e-02,-1.642363059027471373e+00,-1.647332318575223109e+00,-1.987386839526553040e+00,-1.991748936470985498e+00
1.400000000000000133e-01,-3.576130439481464522e-03,3.111860443029560667e-03,-8.804597902322772174e-02,-1.609979623824302264e+00,-1.615083763329062894e+00,-1.947673972358988870e+00,-1.952199862214256454e+00
1.600000000000000033e-01,-3.471727786516646489e-03,3.098742987244851657e-03,-7.564365075539787597e-02,-1.615675363458326297e+00,-1.620714533605870145e+00,-1.906544308531241905e+00,-1.911096849533121977e+00
1.799999999999999933e-01,-3.337156626935263663e-03,3.030748777923709166e-03,-6.081754380321204023e-02,-1.637639955034360328e+00,-1.642484005711364992e+00,-1.868463218772785428e+00,-1.872931089038170516e+00
2.000000000000000111e-01,-3.207541206397256876e-03,2.933808866763752340e-03,-4.680636292505176155e-02,-1.662941450422224854e+00,-1.667527102768986191e+00,-1.835656521961017473e+00,-1.839970411614915591e+00
2.200000000000000011e-01,-3.105356266626538644e-03,2.831889304384916338e-03,-3.562583002717971403e-02,-1.684675103655681294e+00,-1.688994101978331219e+00,-1.809936183771235996e+00,-1.814066293903321414e+00
2.399999999999999911e-01,-3.035254746735596351e-03,2.743045157302279654e-03,-2.865494789207513951e-02,-1.699491262275733217e+00,-1.703568179180034559e+00,-1.792892336445434776e+00,-1.796845608636153724e+00
2.600000000000000089e-01,-2.992129444760022270e-03,2.676114854460231139e-03,-2.565987826089746043e-02,-1.706482605927046814e+00,-1.710369209039414029e+00,-1.785311238084945407e+00,-1.789127422103534037e+00
2.800000000000000266e-01,-2.969474328662848831e-03,2.632785527451666878e-03,-2.552890225535446242e-02,-1.707838724233839311e+00,-1.711606921572995876e+00,-1.785074583042965735e+00,-1.788795793838792614e+00
2.999999999999999889e-01,-2.961449163066689604e-03,2.614422260415518937e-03,-2.704872675830113579e-02,-1.706005818409812136e+00,-1.709720773967270180e+00,-1.788948742846345530e+00,-1.792620122752927703e+00
3.200000000000000067e-01,-2.962766722318904266e-03,2.617980449287240444e-03,-2.924307360140767156e-02,-1.702808850597221202e+00,-1.706520159791682811e+00,-1.794310996631256927e+00,-1.797975076141624440e+00
3.400000000000000244e-01,-2.969052042425243676e-03,2.636020242608199792e-03,-3.146454669232906509e-02,-1.699428162896803096e+00,-1.703167757084619094e+00,-1.799500547921328852e+00,-1.803187070494940869e+00
