time_ms,FL_target_x_mm,FL_target_z_mm,FR_target_x_mm,FR_target_z_mm,RL_target_x_mm,RL_target_z_mm,RR_target_x_mm,RR_target_z_mm,FL_actual_x_mm,FL_actual_z_mm,FR_actual_x_mm,FR_actual_z_mm,RL_actual_x_mm,RL_actual_z_mm,RR_actual_x_mm,RR_actual_z_mm,roll_deg,pitch_deg,FR_minus_RL_z_documented_axis_mm,RL_first_swing_tilt_sensitivity_min_mm,RL_first_swing_tilt_sensitivity_max_mm
0,0.14697157298579344,-0.033528843097291317,0.14697158219795226,-0.03352878063249409,0.14697285107931335,-0.03352682695843823,0.14697286094741968,-0.03352676519488562,,,,,,,,,,,,,
22,0.14697157298579344,-0.033528843097291317,0.14697158219795226,-0.03352878063249409,0.14697285107931335,-0.03352682695843823,0.14697286094741968,-0.03352676519488562,,,,,,,,,,,,,
42,0.14697157298579344,-0.033528843097291317,-0.17814532134335925,0.2551628443565185,-0.1781440524619704,0.25516479803056047,0.14697286094741968,-0.03352676519488562,,,,,,,,,,,,,
62,0.14697157298579344,-0.033528843097291317,-0.2695695174766699,0.9789704707534874,-0.26956825466453727,0.9789724280878931,0.14697286094741968,-0.03352676519488562,,,,,,,,,,,,,
81,0.14697157298579344,-0.033528843097291317,-0.12795573930954318,2.1437450436950503,-0.1279544886695072,2.143747008294117,0.14697286094741968,-0.03352676519488562,,,,,,,,,,,,,
101,0.14697157298579344,-0.033528843097291317,-0.30337796921195426,3.5282976721555253,-0.30562710721768194,3.611176332424165,0.14697286094741968,-0.03352676519488562,,,,,,,,,,,,,
122,0.14697157298579344,-0.033528843097291317,-0.7531532458203427,5.517583451679409,-0.6001392909882053,5.532891348307492,0.14697286094741968,-0.03352676519488562,3.0843899114713915,2.0302558797057753,2.5063974055859473,3.834617123210843,3.21273543799655,2.756837876800991,5.806838273008763,2.419070902591622,-2.5,-0.3,11.236885442563127,-7.6173156228736545,8.290612635240336
142,0.14697157298579344,-0.033528843097291317,-1.1900260268694063,7.534432167078831,-1.2343958234680708,7.480935352032231,0.14697286094741968,-0.03352676519488562,2.8461391600810018,2.0284049008048033,1.2348087258514107,4.4696184096562614,0.898523443002397,2.7464266553614003,5.747588199505965,2.417898910249794,-2.5,-0.3,11.865838041349303,-7.6336910766586215,8.28728647020814
162,0.14697157298579344,-0.033528843097291317,-1.4198709797987874,9.648017906521547,-1.4693040680343605,9.752467372215273,0.14697286094741968,-0.03352676519488562,2.607885555020534,2.026797584083112,-0.028129309014635062,5.1157572278565935,-0.35048578832422295,3.8030050117048853,5.68674361689478,2.4730856944962105,-2.5,-0.3,11.434172950519129,-6.644362091106109,9.298797478391158
182,0.5072658973064303,-0.033199942268427596,-2.514409380373006,11.731334025810627,-2.0747941617367536,11.75071256320774,0.5072671820682828,-0.0331978624275725,2.3696293454606163,2.0254339312217455,-1.2823207831148542,5.772938945405107,-1.5127560516323968,4.928810395990801,5.425523137374933,2.5557510331478266,-2.4,-0.3,10.622699930112113,-5.294786958416841,10.034005327379539
202,0.5072658973064303,-0.033199942268427596,-2.9450100791501566,13.44182071268793,-2.7055080702999,13.462131977112588,0.5072671820682828,-0.0331978624275725,2.2306918410470167,2.0652083601157,-2.5276706399478543,6.441067808668544,-2.6618669921684712,6.068485546919577,5.157212313040005,2.642672299021584,-2.4,-0.3,10.13083398766347,-4.253873671097308,11.096889171415866
221,0.5072658973064303,-0.033199942268427596,-3.4062260948840297,14.859905882507588,-3.554791790814998,14.725861578673117,0.5072671820682828,-0.0331978624275725,2.1449671593280764,2.1273731464684227,-3.7009566861137544,7.030299047348948,-3.7411886499308378,7.163882800678229,4.902362045213021,2.7259021359298528,-2.4,-0.4,10.293062646613906,-3.268022894881331,12.133418493451009
241,0.5072658973064303,-0.033199942268427596,-3.940041615629913,15.510664148806336,-4.100011860998287,15.679105194443183,0.5072671820682828,-0.0331978624275725,2.0564722062985377,2.194277058151464,-4.401686701506257,8.173016258896936,-4.864182987749932,8.330156939129834,4.634146349082768,2.814201283990472,-2.4,-0.4,10.242166011142487,-2.2033797459483777,13.22311458763381
261,0.5072658973064303,-0.033199942268427596,-4.848112104041874,15.942529795605648,-4.392316700095378,16.000979717751456,0.14697286094741968,-0.03352676519488562,1.9679952912443621,2.2603525208493154,-4.979453305589576,9.421859287500542,-5.174468719887637,9.536895922269833,4.365979989095853,2.903206579871989,-2.4,-0.4,10.260733960149315,-1.1015489905020215,14.355360790759441
281,0.14697157298579344,-0.033528843097291317,-5.130195633445994,16.048234947129536,-5.063569252347771,16.01905266236185,0.14697286094741968,-0.03352676519488562,1.879536432217055,2.3264743870362454,-5.547293638400536,10.68527504356713,-5.719225837246072,10.461251337976277,4.0962835815761265,3.050581686241352,-2.4,-0.4,10.578466518979464,-0.3514540947052863,15.158141959186674
301,0.14697157298579344,-0.033528843097291317,-5.929423106937892,15.875929251607218,-6.070354648510773,16.05002400650797,0.14697286094741968,-0.03352676519488562,1.7910956472630968,2.3927757780677625,-6.1051012333591945,11.963099722710563,-6.278534810440939,11.376072222086503,4.249566893128942,3.235740333277351,-2.3,-0.4,10.606065263846984,0.6697221573457729,15.596187128924285
321,-0.5736164273694166,-0.032528530368627906,-6.537373521962708,15.861632535479037,-6.405921706526263,16.06137753919175,-0.5736151330173467,-0.032526456357859224,1.450534459327718,2.4583874460842177,-6.652770840652355,13.255167620719918,-6.8323063235531665,12.296479408130015,4.428395740680379,3.4265796367504016,-2.0,-0.3,9.320907918992718,2.3622016170079254,15.37191261209575
341,-0.9339084077907567,-0.031199319164842976,-6.623749299808191,16.06953869379127,-6.741473411457783,16.07324590400934,-0.9339071102478502,-0.03119724710723415,1.0343309366462328,2.501138369793016,-7.186341577916588,14.426790751299656,-7.3805013201557195,13.22242969486806,4.60713875851107,3.6191460914203195,-1.5,0.0,5.879763651657751,4.754904021202392,14.459750694636591
361,-1.2941979113041124,-0.02931740847171571,-6.896975224855217,16.069383816668573,-7.077008973719767,16.085629073033402,-1.2941966105734781,-0.029315338372123967,0.6164826530547785,2.5420261549960745,-6.989880000030091,14.804933833904341,-7.923081058984177,14.153879582221792,4.785795835426571,3.811037893560423,-1.0,0.2,2.34921421496713,7.054503658152744,13.640271825266447
381,-2.0147660964310035,-0.02389550763085002,-7.689950350905416,15.94435997682965,-7.4125276037648185,16.098527017125246,-2.014764789333795,-0.02389344146204453,0.1986320047406287,2.5837982092124374,-6.869854585937474,15.057412751550245,-7.17118900679864,15.012220352274952,4.964366860412822,4.003388634139945,-0.7,0.2,0.8055686793860817,8.688161627598639,13.88753901350183
401,-2.3750430824779345,-0.020355530241475406,-7.62849730138182,15.899658431268781,-7.4125276037648185,16.098527017125246,-2.735312887036212,-0.016260816660534916,-0.21921966488688827,2.6264544833327768,-6.7500045891241145,15.316923752173306,-7.137708819223154,15.12992777079021,5.145433345655981,4.100698129330629,-0.5,0.2,0.3276806789361819,9.35732839766301,13.948869632430444
421,-3.816083868849157,-0.0006689837606238536,-7.37760709905233,16.022223815207266,-7.4125276037648185,16.098527017125246,-3.8160825458886105,-0.0006669275040838141,-0.6370710123999868,2.6699949231665103,-6.630331235328857,15.586996885796205,-7.1538523225583015,15.209027005360628,4.68174072353042,4.14952169241474,-0.7,0.1,1.8121268823252241,8.7568572172851,13.367867542466493
441,-4.536552099231317,0.012490104946860647,-7.31469547146707,15.948803438832579,-7.4125276037648185,16.098527017125246,-4.896768874392721,0.019900602643632692,-1.3068308770591008,2.6750087845834605,-6.510835740786564,15.867570671651288,-7.169974580171212,15.288159043804095,4.180808752145937,4.195163765616322,-0.9,-0.1,3.9952276833665894,8.137134364014296,14.05263540031583
461,-5.617170168727148,0.03637316630540621,-7.253867818856369,15.952124944019555,-7.077008973719767,16.085629073033402,-5.977348985950426,0.04544133820720553,-1.9899060964842508,2.7030514537416392,-6.388678650883301,16.07098847372601,-7.18607558157025,15.36732387032458,3.679964261142782,4.241950842595599,-1.2,-0.3,6.381345431905785,7.150511175231314,15.100254691009132
481,-7.259750349669774,-0.061914633041046385,-6.6747564843576965,16.06807626910557,-7.077008973719767,16.085629073033402,-7.620077920366147,-0.05032658178738547,-2.6711783436045855,2.734299433600651,-6.245713210748543,16.072592574837923,-7.202155316270359,15.446521469119595,3.179209620980034,4.289882556429606,-1.5,-0.4,7.846042384547711,6.18300529946722,16.126190147085342
501,-8.700953410790246,-0.012254212658949215,-6.285619467579828,16.057373380439138,-6.405921706526263,16.06137753919175,-8.700952043822374,-0.012252184800526367,-3.352283534743372,2.767544348852416,-6.131793233220412,16.053035237374864,-6.742863947511113,15.533852830660722,2.678547201192094,4.338958533351686,-1.9,-0.4,8.85884981281536,4.91262216861188,17.46698838251656
521,-10.501983926986341,0.0622557609099017,-5.897629233046098,16.064612197041804,-6.070354648510773,16.05002400650797,-10.501982544450783,0.06225777839795332,-4.033215804878504,2.8027854909835477,-6.018153673571974,16.04360315758606,-6.199916183785542,15.620757152327581,2.1786256250428684,4.364788850015164,-2.0,-0.4,8.999593005998605,4.6475700433344365,17.85065156472862
541,-12.147226368110498,-0.0016902262449519645,-5.370939581830159,15.927545190388567,-5.063569252347771,16.01905266236185,-12.147224970087272,-0.0016882192462736034,-4.71396929172549,2.840022134227377,-5.904795472449903,16.052336658539986,-5.657312373680279,15.709104065764285,0.865184210846609,4.365894485661659,-2.3,-0.5,10.422036739267185,3.7496529046466414,18.920495023647426
