time_ms,roll_deg,pitch_deg,phase,rate,valid,fault
2625,-3.9,-0.3,0.741,1.0,1,0
2645,-3.9,-0.3,0.75,1.0,1,0
2665,-4.1,-0.4,0.758,1.0,1,0
2687,-4.2,-0.4,0.766,1.0,1,0
2706,-4.3,-0.4,0.774,1.0,1,0
2728,-4.5,-0.4,0.783,1.0,1,0
2748,-4.6,-0.4,0.791,1.0,1,0
2768,-4.8,-0.4,0.799,1.0,1,0
2788,-4.8,-0.4,0.807,1.0,1,0
2808,-5.1,-0.4,0.816,1.0,1,0
2826,-5.1,-0.4,0.824,1.0,1,0
2846,-5.2,-0.4,0.832,1.0,1,0
2866,-5.1,-0.3,0.84,1.0,1,0
2887,-5.2,-0.3,0.849,1.0,1,0
2907,-5.6,-0.4,0.857,1.0,1,0
2927,-6.0,-0.4,0.865,1.0,1,0
2948,-6.3,-0.4,0.873,1.0,1,0
2968,-6.2,-0.4,0.881,1.0,1,0
2988,-6.1,-0.4,0.89,1.0,1,0
3008,-5.6,-0.3,0.898,1.0,1,0
3027,-4.9,-0.1,0.906,1.0,1,0
3047,-4.2,0.1,0.914,1.0,1,0
3067,-3.6,0.2,0.923,1.0,1,0
3086,-3.5,0.2,0.931,1.0,1,0
3106,-3.1,0.1,0.939,1.0,1,0
3126,-2.5,0.0,0.947,1.0,1,0
3146,-2.0,-0.1,0.956,1.0,1,0
3166,-1.9,-0.1,0.964,1.0,1,0
3186,-1.7,-0.2,0.972,1.0,1,0
3206,-1.5,-0.3,0.98,1.0,1,0
3226,-1.5,-0.3,0.988,1.0,1,0
3246,-1.5,-0.3,0.997,1.0,1,0
3266,-1.6,-0.3,0.005,1.0,1,0
3285,-1.7,-0.3,0.013,1.0,1,0
3305,-1.9,-0.3,0.021,1.0,1,0
3327,-2.0,-0.2,0.03,1.0,1,0
3346,-2.1,-0.2,0.038,1.0,1,0
3369,-2.2,-0.1,0.046,1.0,1,0
3389,-2.4,-0.1,0.054,1.0,1,0
