t,walk_s,x_m,y_m,z_m,heading_deg,roll_deg,pitch_deg,phase,target_phase,linear,period_s,tracking_enabled,tracking_error_deg,voltage_v,safety,pose,moving,fl_load_n,fl_clearance_mm,fl_phase,fl_world_x_m,fr_load_n,fr_clearance_mm,fr_phase,fr_world_x_m,rl_load_n,rl_clearance_mm,rl_phase,rl_world_x_m,rr_load_n,rr_clearance_mm,rr_phase,rr_world_x_m,contact_load_sum_n,contact_slip_load_sum_n_m_s,command_0_deg,actual_0_deg,command_1_deg,actual_1_deg,command_2_deg,actual_2_deg,command_3_deg,actual_3_deg,command_4_deg,actual_4_deg,command_5_deg,actual_5_deg,command_6_deg,actual_6_deg,command_7_deg,actual_7_deg,command_8_deg,actual_8_deg,command_9_deg,actual_9_deg,command_10_deg,actual_10_deg,command_11_deg,actual_11_deg
9.46,2.460000000000001,0.2843838810912656,-0.0020905699617561036,-0.09244380476918587,-1.2937436507115343,0.5148511615594915,0.21401196764219824,0.22578692436218262,0.20673930644989014,1.0,1.0499999523162842,False,11.940107464741873,10.553638291414963,ok,custom,True,9.658139380595347,-2.3400784827257124,0.20673930644989014,0.48130534599965674,3.0255277062965154,-1.5307560922165047,0.7067393064498901,0.3953758497505795,0.0,0.6493008529988922,0.7067393064498901,0.000996262302819225,13.47646600316641,-3.2244153997245775,0.20673930644989014,0.07701711756227002,26.160133090058274,0.5482322641215072,0.75,1.8044446604431437,55.2756462097168,52.75046521810351,91.2237777709961,96.39269810713976,0.75,1.2589825961140473,67.79234313964844,68.70109030839292,98.06157684326172,86.29545855643016,0.75,0.6304708236849094,67.79234313964844,68.51208919612776,98.06157684326172,86.14583003525813,0.75,0.9755371481711022,55.2756462097168,53.07362535529849,91.2237777709961,96.48874518686225
9.48,2.4800000000000004,0.28684073036961055,-0.0017750484536695529,-0.09192358157782571,-1.620043078625009,0.8659387274871561,0.29698095163435745,0.2448345422744751,0.22578692436218262,1.0,1.0499999523162842,False,13.293381927831625,10.494729215418083,ok,custom,True,9.338422282876092,-2.3906277445380693,0.22578692436218262,0.4811885167905575,4.946099233553395,-0.8836121976198239,0.7257869243621826,0.3962218664165808,0.0,2.3072594825170185,0.7257869243621826,0.007523864315256089,13.910868860457484,-3.379140752317225,0.22578692436218262,0.0768111144612103,28.19539037688697,0.9530724231115622,0.75,2.057304642786607,55.881473541259766,53.2065718227262,91.02152252197266,95.5814560001029,0.75,1.0448830838887784,66.95166015625,69.26791030810179,99.90885162353516,86.63825869716838,0.75,0.61328142677461,66.95166015625,68.16028845426881,99.90885162353516,86.99031400856393,0.75,1.2764010604121923,55.881473541259766,53.42339479214745,91.02152252197266,96.00229119916168
9.5,2.5,0.2899073027141381,-0.0018333458944041468,-0.09126915147185638,-1.948623527435246,1.0454469420594754,0.33878322167183444,0.2638821601867676,0.2448345422744751,1.0,1.0499999523162842,False,14.006943611284917,10.535765832997562,ok,custom,True,8.651587874488948,-2.3563724637151626,0.2448345422744751,0.48107484543685175,0.0,0.1432349565150381,0.7448345422744751,0.39965827508638013,0.0,3.5639461941931443,0.7448345422744751,0.015445744213093589,13.429625319991866,-3.4417476423624844,0.2448345422744751,0.07655985756505056,22.081213194480814,0.6340202292665423,0.75,2.2992801516094117,56.475196838378906,53.79426644617565,90.80146789550781,94.76202444613811,0.75,0.916913007436053,65.62495422363281,69.45323712380272,101.31961059570312,87.33094701371508,0.75,0.6079292650674778,65.62495422363281,67.66939163009891,101.31961059570312,87.97017875888729,0.75,1.541003862102169,56.475196838378906,53.85337701299538,90.80146789550781,95.38342020262914
9.52,2.5199999999999996,0.2937911391774365,-0.0019153855305242776,-0.09074653941193361,-2.18843088759005,1.129476203540282,0.3350775682948289,0.28292977809906006,0.2638821601867676,1.0,1.0499999523162842,False,13.631354141419651,10.568088881626226,ok,custom,True,9.705509877771298,-2.3064661490297436,0.2638821601867676,0.48100174634310766,0.0,0.07326584059871334,0.7638821601867676,0.4100846012654389,0.0,4.21417052124078,0.7638821601867676,0.0248697623504612,13.756211188779465,-3.4946505350171435,0.2638821601867676,0.07633679771401479,23.461721066550766,0.6210128674355291,0.75,2.4174516730504956,57.05662155151367,54.56543931478495,90.5635986328125,94.02721589183508,0.75,0.8579815279679608,63.84894561767578,68.37617955262242,102.20647430419922,88.58544273358035,0.75,0.612029150701657,63.84894561767578,67.00960896468301,102.20647430419922,89.08938354669816,0.75,1.752733875302784,57.05662155151367,54.527065701457325,90.5635986328125,94.79149989380787
9.540000000000001,2.540000000000001,0.29806217418629716,-0.002150540421034761,-0.09033310585167667,-2.318523132187533,1.120009581619733,0.3594465896934117,0.30197739601135254,0.28292977809906006,1.0,1.0499999523162842,False,12.57910463632247,10.600871929947155,ok,custom,True,10.457245110494881,-2.3766341471336863,0.28292977809906006,0.4810079591797322,4.693878791850007,-0.029050860543691076,0.7829297780990601,0.4212645515791835,0.0,4.5168476574413745,0.7829297780990601,0.036127796727898044,12.976650313160716,-3.4902942052912196,0.28292977809906006,0.07621539743231265,28.127774215505603,3.995450504735851,0.75,2.4562304524812513,57.62556076049805,55.443227560296386,90.30793762207031,93.41366189611165,0.75,0.8407472868068967,61.70671463012695,67.30043481129495,102.52668762207031,89.90136411367753,0.75,0.6154155887668582,61.70671463012695,66.01782871873506,102.52668762207031,90.37930330758563,0.75,1.8584946690658763,57.62556076049805,55.28848006271921,90.30793762207031,94.11105331154626
9.56,2.5600000000000005,0.30247205234938174,-0.002500393949569119,-0.08998080050326802,-2.3617527791843806,1.0394389518635547,0.40333890722300203,0.321025013923645,0.30197739601135254,1.0,1.0499999523162842,False,11.010979699534637,10.593349564213158,ok,custom,True,11.653573136255494,-2.515997275428311,0.30197739601135254,0.4810894127463536,0.0,0.025585687891042583,0.8019773960113525,0.433136824201693,0.0,4.6616082056088,0.8019773960113525,0.04896902978555169,11.357573945576208,-3.3581519873609746,0.30197739601135254,0.07618518452461728,23.0111470818317,0.41586504124085844,0.75,2.440661333598513,58.181827545166016,56.35315410720433,90.03447723388672,92.89065316069693,0.75,0.8583463114612827,59.3182373046875,66.17443765106317,102.28634643554688,91.29370780046536,0.75,0.6148245371240105,59.3182373046875,64.69575395214486,102.28634643554688,91.8428360234002,0.75,1.8797213526825804,58.181827545166016,56.09076144066554,90.03447723388672,93.40449953814151
9.58,2.58,0.30681513363944324,-0.0027996937409258296,-0.08967627319023211,-2.3518227316866063,0.9352617924626275,0.45663357472241906,0.3400726318359375,0.321025013923645,1.0,1.0499999523162842,False,8.595991793256609,10.620475120916451,ok,custom,True,12.055620166295816,-2.691998865889583,0.321025013923645,0.4812410945134724,6.765018980264251,-0.02525461373616318,0.821025013923645,0.4472978970514008,0.0,4.908537356400846,0.821025013923645,0.062954936235092,10.580364216778873,-3.1357279538496567,0.321025013923645,0.07624271427797884,29.401003363338937,4.988862873001394,0.75,2.380841247335162,58.72523498535156,57.216219977851836,89.74320220947266,92.39729609884512,0.75,0.8813175189545333,56.82541275024414,64.55431210312162,101.53995513916016,92.9176800817434,0.75,0.6097452949395084,56.82541275024414,63.08232750994456,101.53995513916016,93.43950723640295,0.75,1.867239313874689,58.72523498535156,56.86672740143145,89.74320220947266,92.69210568290393
9.6,2.5999999999999996,0.3110359715399892,-0.0030167732137784484,-0.0895064828454579,-2.3069555560554678,0.8335528404814316,0.503723267630954,0.35912024974823,0.3400726318359375,1.0,1.0499999523162842,False,8.299735993441555,10.679312165668843,ok,custom,True,12.394638813907465,-2.8527644230674674,0.3400726318359375,0.4814208601921115,0.0,0.015092766677078998,0.8400726318359375,0.46193703359352833,0.0,5.198195515374187,0.8400726318359375,0.07748131734379497,10.022216265431656,-2.8871820282537644,0.3400726318359375,0.07635130643998829,22.416855079339122,0.23385784751685967,0.75,2.293871790929129,59.25560760498047,58.049577696674675,89.4341049194336,91.96347644441134,0.75,0.8964699218198902,54.375465393066406,62.70403286844156,100.38499450683594,94.53041799841145,0.75,0.6059373098927414,54.375465393066406,61.217427749135595,100.38499450683594,95.01477927968762,0.75,1.8344817193088403,59.25560760498047,57.6437442150791,89.4341049194336,92.0536295965913
9.620000000000001,2.620000000000001,0.3150898181006744,-0.003113161028023818,-0.08951209229559719,-2.2469600966557373,0.755482612224466,0.538721007542139,0.37816786766052246,0.35912024974823,1.0,1.0499999523162842,False,8.450843197108894,10.674345519392032,ok,custom,True,13.115064501026032,-3.013999986474631,0.35912024974823,0.48161298381647366,0.0,0.02295113402420515,0.85912024974823,0.4772375327052021,0.0,5.506206111644648,0.85912024974823,0.09216087823533259,9.578989063258543,-2.7004158815907737,0.35912024974823,0.07649484498613526,22.694053564284573,0.1606368947983797,0.75,2.193515054205435,59.77277374267578,58.849513189718394,89.10718536376953,91.58225580342625,0.75,0.8957259706784357,52.10696029663086,60.56998382210889,98.95210266113281,96.04702410723655,0.75,0.6011157985607504,52.10696029663086,59.138819586156735,98.95210266113281,96.4777415263684,0.75,1.8038880441570553,59.77277374267578,58.41530076082399,89.10718536376953,91.50768654113043
9.64,2.6400000000000006,0.3189792385729292,-0.002985065143475126,-0.0897136024197719,-2.1830530334031852,0.7339014888974782,0.5663253587053436,0.39721548557281494,0.37816786766052246,1.0,1.0499999523162842,False,7.859902784058866,10.692968578306095,ok,custom,True,14.11071735238366,-3.177941990599337,0.37816786766052246,0.4818088801199112,0.0,0.003340628080928526,0.8781678676605225,0.49374265256759897,0.0,5.981733599240427,0.8781678676605225,0.10660297662380268,10.639438846660175,-2.6125754232596656,0.37816786766052246,0.07665961972209356,24.750156199043836,0.12221081663443774,0.75,2.0764737815912926,60.27656936645508,59.62146253711235,88.76241302490234,91.24430146780938,0.75,0.8474943800525331,50.14020538330078,57.95755903405887,97.39224243164062,97.51471683148614,0.75,0.5954808323815611,50.14020538330078,56.939232964965385,97.39224243164062,97.79083218227068,0.75,1.799368939844785,60.27656936645508,59.192932144958064,88.76241302490234,91.06819441249685
