t,walk_s,x_m,y_m,z_m,heading_deg,roll_deg,pitch_deg,phase,target_phase,linear,period_s,tracking_enabled,tracking_error_deg,voltage_v,safety,pose,moving,fl_load_n,fl_clearance_mm,fl_phase,fl_world_x_m,fr_load_n,fr_clearance_mm,fr_phase,fr_world_x_m,rl_load_n,rl_clearance_mm,rl_phase,rl_world_x_m,rr_load_n,rr_clearance_mm,rr_phase,rr_world_x_m,contact_load_sum_n,contact_slip_load_sum_n_m_s,command_0_deg,actual_0_deg,command_1_deg,actual_1_deg,command_2_deg,actual_2_deg,command_3_deg,actual_3_deg,command_4_deg,actual_4_deg,command_5_deg,actual_5_deg,command_6_deg,actual_6_deg,command_7_deg,actual_7_deg,command_8_deg,actual_8_deg,command_9_deg,actual_9_deg,command_10_deg,actual_10_deg,command_11_deg,actual_11_deg
1.26,,0.04064411701069581,6.24417643221121e-06,-0.0846631890201647,-9.532351391360288e-05,0.002438128061247537,0.13901699381893548,0.0,0.0,0.0,1.4175000190734863,False,0.7728606520174005,10.77530179500263,ok,custom,False,7.673727166655062,-1.989671637056028,0.0,0.2132523166166313,7.688854794879884,-1.9933898066325333,0.5,0.21325404200717651,5.812825685252859,-1.5045396193631,0.5,-0.18580464136883576,5.828156420801142,-1.508427398572241,0.0,-0.18580301932079205,27.003564067588947,0.06109390971394843,0.703125,0.9978941540636845,56.07421875,55.89338621476317,90.615234375,91.38606115838299,0.703125,0.9992824751519508,56.07421875,55.894022036569794,90.615234375,91.3880950270174,0.703125,0.8877040899653884,56.07421875,55.77460546050894,90.615234375,91.15659718293509,0.703125,0.8888604377629304,56.07421875,55.7752785961227,90.615234375,91.15864395534513
1.28,,0.04128746988352761,6.227486346797038e-06,-0.08478601684933784,-9.468342263585803e-05,0.002429103842748815,0.13908200786204603,0.0,0.0,0.0,1.4175000190734863,False,0.7781205934460457,10.775490198004974,ok,custom,False,7.668085493713896,-1.9872205151873836,0.0,0.21329820456265763,7.683137123594141,-1.9909363330489465,0.5,0.21329985920028702,5.731768715804681,-1.504209963532864,0.5,-0.18576057413665145,5.747010872891718,-1.5080835973742528,0.0,-0.18575902026417396,26.830002206004433,0.05548154179407576,0.703125,1.0123932354760499,56.162109375,56.056480864572684,90.615234375,91.39133277570077,0.703125,1.0137685497812472,56.162109375,56.057131824223475,90.615234375,91.39335496844605,0.703125,0.8971862628734532,56.162109375,55.93856888373095,90.615234375,91.16298667876562,0.703125,0.8983508974609938,56.162109375,55.939252791591436,90.615234375,91.1650157304023
1.3,,0.04186225224083165,6.223233828143129e-06,-0.08492881815862295,-8.844408532070444e-05,0.002421533094236166,0.1432319563718218,0.0,0.0,0.0,1.4175000190734863,False,0.8050587082272413,10.771118950891443,ok,custom,False,7.830525503288458,-1.989360556949515,0.0,0.21334336550747168,7.845580980508505,-1.9930687769062951,0.5,0.2133449510271362,5.709600262659029,-1.4972283015606234,0.5,-0.18571498913844836,5.724970006925575,-1.5010903495838532,0.0,-0.18571350320581237,27.110676753381565,0.05583720890692548,0.791015625,1.0261881471460006,56.337890625,56.2161794952576,90.615234375,91.4182859803266,0.791015625,1.0275629313167078,56.337890625,56.21684776854938,90.615234375,91.42029308322724,0.791015625,0.905696133564122,56.337890625,56.09270217891224,90.615234375,91.18111801679075,0.791015625,0.9068601193664464,56.337890625,56.09340402751372,90.615234375,91.18313362698197
1.32,,0.04234776681524389,6.255799070764059e-06,-0.08505680978290017,-7.5716401948446e-05,0.0024224495934178115,0.1498157703979909,0.0,0.0,0.0,1.4175000190734863,False,0.8280641543220556,10.776821440680198,ok,custom,False,7.804672395907476,-2.003468987849184,0.0,0.21338815682981038,7.819746379185953,-2.0071717498797628,0.5,0.213389677434802,5.707834590844613,-1.489303789364493,0.5,-0.18566954024918206,5.723195870155984,-1.4931702138681595,0.0,-0.1856681185141574,27.055449236094024,0.0615778875959743,0.791015625,1.0399770768665666,56.42578125,56.35090021269754,90.615234375,91.4413050075709,0.791015625,1.041370196419124,56.42578125,56.3515909239131,90.615234375,91.44329852932205,0.791015625,0.9137668002089467,56.42578125,56.220844196417225,90.615234375,91.1936193596531,0.791015625,0.914929677876638,56.42578125,56.221571213833215,90.615234375,91.19562629693652
1.34,,0.042812895720076356,6.265167481785976e-06,-0.08517500115135188,-6.92578728938154e-05,0.002420162549865825,0.1516418417975633,0.0,0.0,0.0,1.4175000190734863,False,0.8419317427839037,10.778721088712848,ok,custom,False,7.770999227233234,-2.0102382491440918,0.0,0.21342581620289988,7.786129254896913,-2.0139409333430787,0.5,0.21342727262336192,5.764076849495179,-1.487013925483031,0.5,-0.18563297756857405,5.779390155654548,-1.4908822312217507,0.0,-0.18563161778134393,27.100595487279875,0.07519965759548666,0.791015625,1.0560821184237958,56.513671875,56.474516009134824,90.615234375,91.45518292687822,0.791015625,1.0574757525107885,56.513671875,56.47522535300658,90.615234375,91.4571661177839,0.791015625,0.9246870933432827,56.513671875,56.345174502970416,90.615234375,91.20853752752089,0.791015625,0.9258528560837012,56.513671875,56.3459177625692,90.615234375,91.21053121301686
1.36,,0.04326891940177929,6.273148968883766e-06,-0.08528199053538824,-6.843526746656922e-05,0.0024184546594294485,0.15141046811789544,0.0,0.0,0.0,1.4175000190734863,False,0.8492667789206114,10.776194248620431,ok,custom,False,7.779102003280252,-2.0107699970816038,0.0,0.21345841231624121,7.7942588199371015,-2.0144781816707775,0.5,0.21345980305955164,5.760791752453045,-1.490130927599198,0.5,-0.1856008465490191,5.77608478355337,-1.4939951792159525,0.0,-0.18559955010428802,27.110237359223767,0.0733491799164742,0.791015625,1.0728928950967553,56.6015625,56.59228942537719,90.615234375,91.4625241900325,0.791015625,1.0742796490239646,56.6015625,56.593015164477976,90.615234375,91.46450115392061,0.791015625,0.936935294433127,56.6015625,56.4641042291269,90.615234375,91.2179660121401,0.791015625,0.9381127192215284,56.6015625,56.464859797329424,90.615234375,91.21994784111767
1.3800000000000001,,0.04369928788101031,6.2754787880176945e-06,-0.08537433208839618,-6.787003430915259e-05,0.0024164964625519774,0.15207384733928364,0.0,0.0,0.0,1.4175000190734863,False,0.8518055273845756,10.774304291865537,ok,custom,False,7.789502171178258,-2.0114087302239656,0.0,0.21348958696082143,7.804663297793862,-2.0151230778625,0.5,0.21349091245446478,5.736574614855181,-1.4918231522647891,0.5,-0.1855691232582076,5.7518601328322685,-1.4956826202697713,0.0,-0.18556789033462842,27.08260021665957,0.0681529352211486,0.791015625,1.088768675827782,56.6015625,56.70117141542159,90.615234375,91.4650692569902,0.791015625,1.090147051865629,56.6015625,56.70191303658709,90.615234375,91.46703990238457,0.791015625,0.9484123511682806,56.6015625,56.57222283065579,90.615234375,91.2197908651421,0.791015625,0.9495986073613667,56.6015625,56.57299123224685,90.615234375,91.22176223323524
1.4000000000000001,,0.04407869413078174,6.290049329475021e-06,-0.0854482949517593,-6.336751402783683e-05,0.0024170664183721636,0.15551642790676182,0.0,0.0,0.0,1.4175000190734863,False,0.8507869568330467,10.770024317996528,ok,custom,False,7.91566689120964,-2.0163189407578237,0.0,0.21352141101500033,7.930830635259306,-2.0200378546113633,0.5,0.21352267356192683,5.6443275480879835,-1.4892111908512922,0.5,-0.1855353606705486,5.659715129317982,-1.4930703573094242,0.0,-0.18553418991889417,27.15054020387491,0.06643522748156716,0.791015625,1.1036920574851243,56.689453125,56.795422872410455,90.615234375,91.46405818803966,0.791015625,1.105072077079791,56.689453125,56.7961823054925,90.615234375,91.46602133183305,0.791015625,0.9586772533054954,56.689453125,56.66156008789005,90.615234375,91.21167527549947,0.791015625,0.9598686890800665,56.689453125,56.66234609513578,90.615234375,91.21363927891484
1.42,,0.044356031025549296,6.305810406079565e-06,-0.08549597222903346,-5.2401498475499066e-05,0.0024181956410514126,0.1627210848284702,0.0,0.0,0.0,1.4175000190734863,False,0.8467504001289535,10.771074593081764,ok,custom,False,7.866929464352046,-2.0288946996295953,0.0,0.21355569598954263,7.882047771576368,-2.0326144043961643,0.5,0.21355690104850886,5.5998834766902315,-1.4780122362099932,0.5,-0.18549837750258186,5.615205508081313,-1.4818795512916514,0.0,-0.18549726411617445,26.96406622069996,0.06303131169821442,0.791015625,1.1178255214906212,56.689453125,56.86154021575249,90.615234375,91.46003329462113,0.791015625,1.1192152981326624,56.689453125,56.862318879491795,90.615234375,91.46198477512895,0.791015625,0.9675237604229336,56.689453125,56.719664645555994,90.615234375,91.1955467068931,0.791015625,0.9687102084879629,56.689453125,56.72047202548551,90.615234375,91.19750277426337
1.44,,0.0445859736104818,6.297050933016205e-06,-0.08554172765972964,-4.452948361982847e-05,0.002413545307179411,0.1660781482371275,0.0,0.0,0.0,1.4175000190734863,False,0.8453445005877912,10.768543366444101,ok,custom,False,7.8970946052219215,-2.034273040564588,0.0,0.21358354910662414,7.9122052150562086,-2.0379892757423237,0.5,0.2135846995901446,5.627709727072118,-1.4689502001501118,0.5,-0.18546968599368013,5.64302926618983,-1.4728177448032047,0.0,-0.18546862605307826,27.080038813540078,0.0578420918101777,0.791015625,1.1306864537215366,56.77734375,56.91646941484221,90.615234375,91.45863985823573,0.791015625,1.132073990326217,56.77734375,56.91726322448361,90.615234375,91.46057887558779,0.791015625,0.9757739815429356,56.77734375,56.77287672288206,90.615234375,91.19178718219155,0.791015625,0.9769544661625925,56.77734375,56.77369864174993,90.615234375,91.19373038010508
1.46,,0.044757932720010864,6.292053613036778e-06,-0.08557791903835862,-3.7731952361814914e-05,0.002409371283872084,0.16821375131603325,0.0,0.0,0.0,1.4175000190734863,False,0.8442706178968155,10.769834280825611,ok,custom,False,7.815908651764797,-2.03741159821404,0.0,0.21360676444289609,7.8309856110466995,-2.0411237800796282,0.5,0.21360786279597038,5.6407467552116355,-1.4646489446807318,0.5,-0.1854454587357323,5.6559643503712955,-1.4685137207186247,0.0,-0.1854444498310464,26.943605368394426,0.05267122093858503,0.791015625,1.1425108025319137,56.77734375,56.95670900213913,90.615234375,91.45757734028976,0.791015625,1.1438965336314606,56.77734375,56.957516773821794,90.615234375,91.45950499289681,0.791015625,0.9834283851226354,56.77734375,56.81183308964372,90.615234375,91.18911181152605,0.791015625,0.9846059279665099,56.77734375,56.81266833854284,90.615234375,91.19104320479632
