index,mcu_ms,roll10,pitch10,phase1000,rate1000,valid,fault
0,1054586,-29,-4,500,0,1,0
1,1054600,-29,-4,508,1000,1,0
2,1054622,-29,-4,517,1000,1,0
3,1054642,-29,-4,525,1000,1,0
4,1054662,-29,-4,534,1000,1,0
5,1054681,-29,-4,542,1000,1,0
6,1054701,-29,-4,551,1000,1,0
7,1054722,-29,-4,560,1000,1,0
8,1054742,-29,-4,569,1000,1,0
9,1054762,-29,-4,578,1000,1,0
10,1054782,-28,-4,587,1000,1,0
11,1054802,-28,-4,596,1000,1,0
12,1054821,-27,-4,605,1000,1,0
13,1054841,-27,-4,614,1000,1,0
14,1054861,-27,-4,623,1000,1,0
15,1054881,-27,-4,632,1000,1,0
16,1054901,-27,-4,641,1000,1,0
17,1054922,-27,-3,651,1000,1,0
18,1054942,-25,-3,660,1000,1,0
19,1054962,-22,-2,669,1000,1,0
20,1054982,-20,-1,678,1000,1,0
21,1055002,-20,-1,687,1000,1,0
22,1055022,-20,-2,696,1000,1,0
23,1055042,-23,-3,705,1000,1,0
24,1055062,-25,-4,715,1000,1,0
25,1055082,-27,-4,724,1000,1,0
26,1055102,-28,-4,733,1000,1,0
27,1055122,-29,-5,743,1000,1,0
28,1055142,-31,-7,752,1000,1,0
29,1055162,-34,-7,761,1000,1,0
30,1055182,-35,-8,771,1000,1,0
31,1055202,-36,-9,780,1000,1,0
32,1055222,-38,-10,790,1000,1,0
33,1055242,-40,-10,799,1000,1,0
34,1055262,-40,-9,808,1000,1,0
35,1055282,-41,-9,818,1000,1,0
36,1055302,-41,-9,827,1000,1,0
37,1055322,-41,-9,837,1000,1,0
38,1055342,-41,-8,846,1000,1,0
39,1055362,-41,-7,855,1000,1,0
40,1055382,-40,-7,865,1000,1,0
41,1055402,-40,-6,874,1000,1,0
42,1055422,-40,-6,884,1000,1,0
43,1055441,-38,-5,893,1000,1,0
44,1055461,-36,-4,902,1000,1,0
45,1055481,-37,-5,912,1000,1,0
46,1055501,-37,-6,921,1000,1,0
47,1055521,-35,-4,931,1000,1,0
48,1055542,-30,-1,940,1000,1,0
49,1055562,-25,1,949,1000,1,0
50,1055582,-23,2,959,1000,1,0
51,1055602,-23,4,968,1000,1,0
52,1055621,-22,5,978,1000,1,0
53,1055641,-19,5,987,1000,1,0
54,1055661,-20,4,997,1000,1,0
55,1055681,-20,4,6,1000,1,0
56,1055701,-19,4,16,1000,1,0
57,1055721,-18,6,26,1000,1,0
58,1055741,-19,4,35,1000,1,0
59,1055761,-19,4,45,1000,1,0
60,1055782,-20,3,54,1000,1,0
61,1055802,-21,2,64,1000,1,0
62,1055822,-23,2,74,1000,1,0
63,1055842,-24,2,83,1000,1,0
64,1055862,-25,1,93,1000,1,0
65,1055882,-26,1,103,1000,1,0
66,1055903,-27,0,112,1000,1,0
67,1055922,-28,-1,122,1000,1,0
68,1055942,-27,-1,132,1000,1,0
69,1055962,-25,-3,142,1000,1,0
70,1055983,-22,-4,151,1000,1,0
71,1056003,-16,-4,161,1000,1,0
72,1056023,-10,-5,171,1000,1,0
73,1056043,-4,-5,181,1000,1,0
74,1056063,3,-5,190,1000,1,0
75,1056083,10,-4,200,1000,1,0
76,1056103,16,-4,210,1000,1,0
77,1056123,22,-4,219,1000,1,0
78,1056142,29,-3,229,1000,1,0
79,1056162,35,-2,239,1000,1,0
80,1056182,40,0,249,1000,1,0
81,1056202,44,1,258,1000,1,0
82,1056222,46,2,268,1000,1,0
83,1056242,47,2,278,1000,1,0
84,1056262,47,2,288,1000,1,0
