roll_deg,pitch_deg,contact_center_speed_m_s,j1_correction_deg,adaptive_scale,time_s,leg,phase,swing,middle_swing,clearance_mm,forward_from_j1_mm,front_edge_from_j1_mm,touchdown,force_n,j1_target,j1_actual,j2_target,j3_target,tilt_deg,safety,moving
-7.42293082289838,-2.5783977992169933,0.0,-1.5,1.0,5.0,FL,0.40236801009334805,False,False,-3.017350691043287,17.32529332115966,37.09323987860195,True,17.506849781156628,-0.791015625,-3.7410776551479388,39.814453125,67.5,7.42293082289838,ok,True
-7.42293082289838,-2.5783977992169933,0.0,1.5,1.0,5.0,FR,0.902368010093348,True,True,47.63973741213009,27.21163425666439,46.9401488638244,False,0.0,2.28515625,1.8040846539140107,33.662109375,85.693359375,7.42293082289838,ok,True
-7.42293082289838,-2.5783977992169933,0.0,-1.5,1.0,5.0,RL,0.902368010093348,True,True,-3.450911142481947,12.038059855826985,31.85362431093715,True,16.703058674246954,-0.791015625,0.21323606404808132,32.080078125,81.9140625,7.42293082289838,ok,True
-7.42293082289838,-2.5783977992169933,0.0,1.5,1.0,5.0,RR,0.40236801009334805,False,False,-0.0030518956132749575,-10.210498026686505,9.277750621410064,True,4.831153188442792,2.28515625,2.636653497623035,40.693359375,69.08203125,7.42293082289838,ok,True
-6.784329215998864,-2.037923877236467,0.05205682519310243,-1.5,1.0,5.0200000000000005,FL,0.4065346767600147,False,False,-3.007613532379324,16.960741640851463,36.73426941283975,False,17.16442386409169,-0.791015625,-3.483512157455041,39.90234375,67.412109375,6.784329215998864,ok,True
-6.784329215998864,-2.037923877236467,0.11159302405269417,1.5,1.0,5.0200000000000005,FR,0.9065346767600146,True,True,42.22562949796796,29.113848661342892,48.84545714917961,False,0.0,2.28515625,1.811648355320453,32.431640625,84.287109375,6.784329215998864,ok,True
-6.784329215998864,-2.037923877236467,0.05918266837931436,-1.5,1.0,5.0200000000000005,RL,0.9065346767600146,True,True,-3.387801726860217,13.904742978007057,33.72046753141275,False,16.584685813698027,-0.791015625,0.07945058832695226,30.585937499999996,80.5078125,6.784329215998864,ok,True
-6.784329215998864,-2.037923877236467,0.22447407350564863,1.5,1.0,5.0200000000000005,RR,0.4065346767600147,False,False,-0.02792342806724399,-13.115393460477978,6.344870551684615,False,4.595553700943307,2.28515625,2.6952522727373758,40.78125,69.08203125,6.784329215998864,ok,True
-6.030745994393096,-1.4390563974398873,0.05172460222022344,-1.5,1.0,5.04,FL,0.41070134342668135,False,False,-2.9750549863197704,16.356275960035873,36.14389539388519,False,17.240171859528605,-0.791015625,-3.173397156761645,40.07812500000001,67.32421875,6.030745994393096,ok,True
-6.030745994393096,-1.4390563974398873,0.13014282665769852,1.5,1.0,5.04,FR,0.9107013434266813,True,True,35.8984617043836,30.60007559124931,50.33771009312344,False,0.0,2.28515625,1.8281250106995959,31.113281250000004,82.880859375,6.030745994393096,ok,True
-6.030745994393096,-1.4390563974398873,0.059927036741410936,-1.5,1.0,5.04,RL,0.9107013434266813,True,True,-3.33807895888593,15.538993400161335,35.354549174186786,False,15.960619495610127,-0.791015625,-0.030548963601419617,29.267578125,79.1015625,6.030745994393096,ok,True
-6.030745994393096,-1.4390563974398873,0.15767152416340754,1.5,1.0,5.04,RR,0.41070134342668135,False,False,-0.02016556289409499,-14.82848388144711,4.618990577761924,False,6.14532808175132,2.28515625,2.7852905756717363,40.95703125,69.08203125,6.030745994393096,ok,True
-5.143105055479489,-0.8039977299203762,0.04927811361415379,-1.5,1.0,5.0600000000000005,FL,0.414868010093348,False,False,-2.9603658735558245,15.48037386138469,35.27929016260624,False,17.59029333359015,-0.791015625,-2.868601117865391,40.341796875,67.32421875,5.143105055479489,ok,True
-5.143105055479489,-0.8039977299203762,0.13296189951726536,1.5,1.0,5.0600000000000005,FR,0.914868010093348,True,True,28.842497661745735,31.425915266804264,51.17166716776761,False,0.0,2.28515625,1.8583053025917176,29.8828125,81.474609375,5.143105055479489,ok,True
-5.143105055479489,-0.8039977299203762,0.061121482136821344,-1.5,1.0,5.0600000000000005,RL,0.914868010093348,True,True,-3.2693662442263327,16.86343304827311,36.677767139937195,False,14.911748669515978,-0.791015625,-0.10101695084108067,27.861328125,77.607421875,5.143105055479489,ok,True
-5.143105055479489,-0.8039977299203762,0.1053365181783129,1.5,1.0,5.0600000000000005,RR,0.414868010093348,False,False,-0.2423957124278349,-15.919864072844673,3.5225539525150804,False,6.973458013253034,2.28515625,2.876013982094541,41.1328125,68.994140625,5.143105055479489,ok,True
-4.097355293517061,-0.18591216616387604,0.044779074803440545,-1.5,1.0,5.08,FL,0.41903467676001466,False,False,-2.9782447025504153,14.342607148594313,34.148185105341916,False,17.649241160849783,-0.791015625,-2.5956413408928145,40.4296875,67.236328125,4.097355293517061,ok,True
-4.097355293517061,-0.18591216616387604,0.12007494324809001,1.5,1.0,5.08,FR,0.9190346767600146,True,True,21.193917323162733,31.65997821799777,51.42416265349338,False,0.0,2.28515625,1.8815178471081542,28.828124999999996,79.98046875,4.097355293517061,ok,True
-4.097355293517061,-0.18591216616387604,0.0609746020959705,-1.5,1.0,5.08,RL,0.9190346767600146,True,True,-3.1626973051238974,17.80184743404808,37.61304210380636,False,13.502802028435164,-0.791015625,-0.14141082913300732,26.630859375,76.201171875,4.097355293517061,ok,True
-4.097355293517061,-0.18591216616387604,0.0675699979047352,1.5,1.0,5.08,RR,0.41903467676001466,False,False,-0.9047509653119894,-16.80241834460759,2.638560118913322,False,11.468985269647947,2.28515625,2.958616403708637,41.30859375,68.994140625,4.097355293517061,ok,True
-2.9673698348808286,0.45084607024450446,0.04140444206653756,-1.5,1.0,5.1000000000000005,FL,0.4232013434266813,False,False,-2.9883668161704846,12.79516423432762,32.60424271543409,False,17.566767317183267,-0.791015625,-2.2946257294772114,40.60546875,67.060546875,2.9673698348808286,ok,True
-2.9673698348808286,0.45084607024450446,0.11165435717275234,1.5,1.0,5.1000000000000005,FR,0.9232013434266813,True,True,13.336390730346002,31.730414580306302,51.512071917538684,False,0.0,2.28515625,1.878784663886594,27.59765625,78.486328125,2.9673698348808286,ok,True
-2.9673698348808286,0.45084607024450446,0.06157798523020371,-1.5,1.0,5.1000000000000005,RL,0.9232013434266813,True,True,-2.9643258795564487,18.22589291869554,38.02997351309298,False,10.776354795629516,-0.791015625,-0.13387370353691214,25.400390625,74.794921875,2.9673698348808286,ok,True
-2.9673698348808286,0.45084607024450446,0.043478815449271055,1.5,1.0,5.1000000000000005,RR,0.4232013434266813,False,False,-1.4577204766271883,-17.770158417969174,1.671810411959708,False,14.568982235134133,2.28515625,3.015155657517941,41.396484375,68.994140625,2.9673698348808286,ok,True
-1.779508522884173,1.1097444474649858,0.03706255541712362,-1.5,1.0,5.12,FL,0.42736801009334796,False,False,-3.0089845921090035,10.712781691185578,30.522957475035057,False,18.319134248112906,-0.791015625,-1.9612076674794223,40.693359375,67.060546875,1.779508522884173,ok,True
-1.779508522884173,1.1097444474649858,0.11034085682743368,1.5,1.0,5.12,FR,0.9273680100933479,True,True,5.351515512728895,31.306938359828326,51.10439915868214,False,0.0,2.28515625,1.88314883881871,26.54296875,76.904296875,1.779508522884173,ok,True
-1.779508522884173,1.1097444474649858,0.06316740672683004,-1.5,1.0,5.12,RL,0.9273680100933479,True,True,-2.619151899981218,17.99449905746394,37.784396423976546,False,9.00321830662178,-0.791015625,-0.11247877129690663,24.2578125,73.388671875,1.779508522884173,ok,True
-1.779508522884173,1.1097444474649858,0.0410771212084762,1.5,1.0,5.12,RR,0.42736801009334796,False,False,-1.9567104265153548,-19.34478359111085,0.09022510625559477,False,17.078610251770904,2.28515625,3.0599836524404656,41.572265625,68.90625,1.779508522884173,ok,True
-0.5701100072334266,1.7595876555763033,0.030490827908567913,-1.5,1.0,5.14,FL,0.4315346767600146,False,False,-3.0568459204300886,8.150529782603863,27.959451969078984,False,17.312399012303707,-0.791015625,-1.5803179714094722,40.869140625,66.97265625,1.7595876555763033,ok,True
-0.5701100072334266,1.7595876555763033,0.10151387442674034,1.5,1.0,5.14,FR,0.9315346767600146,True,True,-2.08681409634676,30.369118814624375,50.177174946579385,True,22.129416641430563,2.28515625,1.851248385774622,25.400390625,75.41015625,1.7595876555763033,ok,True
-0.5701100072334266,1.7595876555763033,0.07684767692776892,-1.5,1.0,5.14,RL,0.9315346767600146,True,True,-1.9517864015216324,17.359882094125126,37.132396086633435,False,9.222993473543928,-0.791015625,-0.07940102644086784,23.291015625,72.0703125,1.7595876555763033,ok,True
-0.5701100072334266,1.7595876555763033,0.041020492354898026,1.5,1.0,5.14,RR,0.4315346767600146,False,False,-2.407707094800581,-21.566127550589254,-2.148463274652851,False,17.670465771399144,2.28515625,3.0806947241096716,41.66015625,68.818359375,1.7595876555763033,ok,True
0.3210666906934348,2.0234671065566134,0.028285817910985018,-1.5,1.0,5.16,FL,0.43570134342668126,False,False,-2.7152861997761617,5.939555142344993,25.738604682362894,False,8.422924549090846,-0.791015625,-1.125597102728146,41.1328125,66.97265625,2.0234671065566134,ok,True
0.3210666906934348,2.0234671065566134,0.06858995563341126,1.5,1.0,5.16,FR,0.9357013434266812,True,True,-4.444250395470192,29.617861009163068,49.427767102637716,False,26.049031857115764,2.28515625,1.6147609084179677,24.43359375,73.828125,2.0234671065566134,ok,True
0.3210666906934348,2.0234671065566134,0.10585933293554114,-1.5,1.0,5.16,RL,0.9357013434266812,True,True,-0.9229523026932849,17.653878755684573,37.41976357452596,False,9.801865828792012,-0.791015625,0.17789550308732094,22.32421875,70.927734375,2.0234671065566134,ok,True
0.3210666906934348,2.0234671065566134,0.038660005512819756,1.5,1.0,5.16,RR,0.43570134342668126,False,False,-2.674123213124992,-23.76874086882118,-4.377838638107857,False,15.79205405845272,2.28515625,2.8319558097848225,41.923828125,68.73046875,2.0234671065566134,ok,True
1.037674571739205,1.8652144534276323,0.08928389233887186,-1.5,1.0,5.18,FL,0.4398680100933479,False,False,-0.8050568122252924,3.278390170088557,23.05219124056803,False,7.510135737264374,-0.791015625,-0.9093454421075695,41.30859375,66.97265625,1.8652144534276323,ok,True
1.037674571739205,1.8652144534276323,0.0682999275914035,1.5,1.0,5.18,FR,0.9398680100933479,True,True,-4.805497109599387,29.553975196927347,49.36832559855563,False,17.61781391198459,2.28515625,1.5663018923193397,23.37890625,72.333984375,1.8652144534276323,ok,True
1.037674571739205,1.8652144534276323,0.24782215035082417,-1.5,1.0,5.18,RL,0.9398680100933479,True,True,0.6282950861120802,21.604350350664113,41.37198997735391,False,0.0,-0.791015625,0.20296467239070426,21.533203125,69.78515625,1.8652144534276323,ok,True
1.037674571739205,1.8652144534276323,0.034421946746924566,1.5,1.0,5.18,RR,0.4398680100933479,False,False,-2.6873408483032537,-25.443799913609233,-6.081698518384044,False,16.833925730654816,2.28515625,2.5840798023257228,42.01171875000001,68.642578125,1.8652144534276323,ok,True
1.2629391248824702,1.3506612361108143,0.32777200921327126,-1.5,1.0,5.2,FL,0.44403467676001457,False,False,-0.020353883194240696,-4.005355298432142,15.723305414507905,False,4.1251257115697895,-0.791015625,-0.63455349037218,41.484375,66.97265625,1.3506612361108143,ok,True
1.2629391248824702,1.3506612361108143,0.06692506002193137,1.5,1.0,5.2,FR,0.9440346767600145,True,False,-4.237029094979514,29.88657315136837,49.70127765559892,False,12.336528561243657,2.28515625,1.236140827343805,22.5,70.83984375000001,1.3506612361108143,ok,True
1.2629391248824702,1.3506612361108143,0.6850294741956462,-1.5,1.0,5.2,RL,0.9440346767600145,True,False,1.7807031205237245,33.76306727874671,53.56384529700254,False,0.0,-0.791015625,-0.44807762149173147,20.830078125,68.818359375,1.3506612361108143,ok,True
1.2629391248824702,1.3506612361108143,0.03200975812115431,1.5,1.0,5.2,RR,0.44403467676001457,False,False,-2.8008968834200845,-26.641208749153947,-7.301054594462361,False,19.03826422726348,2.28515625,2.2262833524919556,42.099609375,68.466796875,1.3506612361108143,ok,True
1.2204361021756225,0.7888936166749523,0.3465667609239921,-1.5,1.0,5.22,FL,0.4482013434266812,False,False,-0.07700489335162389,-11.716893050185494,7.900003803009586,False,5.562331398329482,-0.791015625,-0.43671468321838647,41.66015625,67.060546875,1.2204361021756225,ok,True
