$IT,M,1,490,0,0
$IT,P,0,12,490
$IT,S,0,1054586,-29,-4,500,0,1,0
$IT,S,1,1054600,-29,-4,508,1000,1,0
$IT,S,2,1054622,-29,-4,517,1000,1,0
$IT,S,3,1054642,-29,-4,525,1000,1,0
$IT,S,4,1054662,-29,-4,534,1000,1,0
$IT,S,5,1054681,-29,-4,542,1000,1,0
$IT,S,6,1054701,-29,-4,551,1000,1,0
$IT,S,7,1054722,-29,-4,560,1000,1,0
$IT,S,8,1054742,-29,-4,569,1000,1,0
$IT,S,9,1054762,-29,-4,578,1000,1,0
$IT,S,10,1054782,-28,-4,587,1000,1,0
$IT,S,11,1054802,-28,-4,596,1000,1,0
$IT,P,12,12,490
$IT,S,12,1054821,-27,-4,605,1000,1,0
$IT,S,13,1054841,-27,-4,614,1000,1,0
$IT,S,14,1054861,-27,-4,623,1000,1,0
$IT,S,15,1054881,-27,-4,632,1000,1,0
$IT,S,16,1054901,-27,-4,641,1000,1,0
$IT,S,17,1054922,-27,-3,651,1000,1,0
$IT,S,18,1054942,-25,-3,660,1000,1,0
$IT,S,19,1054962,-22,-2,669,1000,1,0
$IT,S,20,1054982,-20,-1,678,1000,1,0
$IT,S,21,1055002,-20,-1,687,1000,1,0
$IT,S,22,1055022,-20,-2,696,1000,1,0
$IT,S,23,1055042,-23,-3,705,1000,1,0
$IT,P,24,12,490
$IT,S,24,1055062,-25,-4,715,1000,1,0
$IT,S,25,1055082,-27,-4,724,1000,1,0
$IT,S,26,1055102,-28,-4,733,1000,1,0
$IT,S,27,1055122,-29,-5,743,1000,1,0
$IT,S,28,1055142,-31,-7,752,1000,1,0
$IT,S,29,1055162,-34,-7,761,1000,1,0
$IT,S,30,1055182,-35,-8,771,1000,1,0
$IT,S,31,1055202,-36,-9,780,1000,1,0
$IT,S,32,1055222,-38,-10,790,1000,1,0
$IT,S,33,1055242,-40,-10,799,1000,1,0
$IT,S,34,1055262,-40,-9,808,1000,1,0
$IT,S,35,1055282,-41,-9,818,1000,1,0
$IT,P,36,12,490
$IT,S,36,1055302,-41,-9,827,1000,1,0
$IT,S,37,1055322,-41,-9,837,1000,1,0
$IT,S,38,1055342,-41,-8,846,1000,1,0
$IT,S,39,1055362,-41,-7,855,1000,1,0
$IT,S,40,1055382,-40,-7,865,1000,1,0
$IT,S,41,1055402,-40,-6,874,1000,1,0
$IT,S,42,1055422,-40,-6,884,1000,1,0
$IT,S,43,1055441,-38,-5,893,1000,1,0
$IT,S,44,1055461,-36,-4,902,1000,1,0
$IT,S,45,1055481,-37,-5,912,1000,1,0
$IT,S,46,1055501,-37,-6,921,1000,1,0
$IT,S,47,1055521,-35,-4,931,1000,1,0
$IT,P,48,12,490
$IT,S,48,1055542,-30,-1,940,1000,1,0
$IT,S,49,1055562,-25,1,949,1000,1,0
$IT,S,50,1055582,-23,2,959,1000,1,0
$IT,S,51,1055602,-23,4,968,1000,1,0
$IT,S,52,1055621,-22,5,978,1000,1,0
$IT,S,53,1055641,-19,5,987,1000,1,0
$IT,S,54,1055661,-20,4,997,1000,1,0
$IT,S,55,1055681,-20,4,6,1000,1,0
$IT,S,56,1055701,-19,4,16,1000,1,0
$IT,S,57,1055721,-18,6,26,1000,1,0
$IT,S,58,1055741,-19,4,35,1000,1,0
$IT,S,59,1055761,-19,4,45,1000,1,0
$IT,P,60,12,490
$IT,S,60,1055782,-20,3,54,1000,1,0
$IT,S,61,1055802,-21,2,64,1000,1,0
$IT,S,62,1055822,-23,2,74,1000,1,0
$IT,S,63,1055842,-24,2,83,1000,1,0
$IT,S,64,1055862,-25,1,93,1000,1,0
$IT,S,65,1055882,-26,1,103,1000,1,0
$IT,S,66,1055903,-27,0,112,1000,1,0
$IT,S,67,1055922,-28,-1,122,1000,1,0
$IT,S,68,1055942,-27,-1,132,1000,1,0
$IT,S,69,1055962,-25,-3,142,1000,1,0
$IT,S,70,1055983,-22,-4,151,1000,1,0
$IT,S,71,1056003,-16,-4,161,1000,1,0
$IT,P,72,12,490
$IT,S,72,1056023,-10,-5,171,1000,1,0
$IT,S,73,1056043,-4,-5,181,1000,1,0
$IT,S,74,1056063,3,-5,190,1000,1,0
$IT,S,75,1056083,10,-4,200,1000,1,0
$IT,S,76,1056103,16,-4,210,1000,1,0
$IT,S,77,1056123,22,-4,219,1000,1,0
$IT,S,78,1056142,29,-3,229,1000,1,0
$IT,S,79,1056162,35,-2,239,1000,1,0
$IT,S,80,1056182,40,0,249,1000,1,0
$IT,S,81,1056202,44,1,258,1000,1,0
$IT,S,82,1056222,46,2,268,1000,1,0
$IT,S,83,1056242,47,2,278,1000,1,0
$IT,P,84,12,490
$IT,S,84,1056262,47,2,288,1000,1,0
$IT,S,85,1056282,48,2,297,1000,1,0
$IT,S,86,1056302,48,2,307,1000,1,0
$IT,S,87,1056321,48,1,317,1000,1,0
$IT,S,88,1056341,48,0,326,1000,1,0
$IT,S,89,1056361,48,-1,336,1000,1,0
$IT,S,90,1056381,46,-1,346,1000,1,0
$IT,S,91,1056401,46,-3,356,1000,1,0
$IT,S,92,1056421,46,-3,365,1000,1,0
$IT,S,93,1056441,46,-4,375,1000,1,0
$IT,S,94,1056461,45,-4,385,1000,1,0
$IT,S,95,1056481,43,-4,394,1000,1,0
$IT,P,96,12,490
$IT,S,96,1056501,41,-4,404,1000,1,0
$IT,S,97,1056521,39,-4,414,1000,1,0
$IT,S,98,1056541,36,-4,423,1000,1,0
$IT,S,99,1056561,32,-3,433,1000,1,0
$IT,S,100,1056582,28,-3,443,1000,1,0
$IT,S,101,1056602,24,-1,452,1000,1,0
$IT,S,102,1056622,21,-2,462,1000,1,0
$IT,S,103,1056641,20,-3,471,1000,1,0
$IT,S,104,1056661,16,-1,481,1000,1,0
$IT,S,105,1056681,9,2,490,1000,1,0
$IT,S,106,1056702,3,3,500,1000,1,0
$IT,S,107,1056722,-2,4,509,1000,1,0
$IT,P,108,12,490
$IT,S,108,1056742,-10,6,519,1000,1,0
$IT,S,109,1056762,-15,7,528,1000,1,0
$IT,S,110,1056782,-19,6,537,1000,1,0
$IT,S,111,1056802,-24,6,547,1000,1,0
$IT,S,112,1056823,-30,6,556,1000,1,0
$IT,S,113,1056843,-35,5,566,1000,1,0
$IT,S,114,1056863,-36,4,575,1000,1,0
$IT,S,115,1056883,-41,4,584,1000,1,0
$IT,S,116,1056903,-45,3,594,1000,1,0
$IT,S,117,1056923,-48,2,603,1000,1,0
$IT,S,118,1056942,-51,2,612,1000,1,0
$IT,S,119,1056962,-55,2,622,1000,1,0
