index,mcu_ms,roll10,pitch10,phase1000,rate1000,valid,fault
219,1165926,-22,-4,590,1000,1,0
220,1165946,-27,-4,600,1000,1,0
221,1165966,-31,-4,609,1000,1,0
222,1165984,-35,-4,619,1000,1,0
223,1166004,-40,-4,629,1000,1,0
224,1166024,-46,-5,639,1000,1,0
225,1166044,-51,-7,648,1000,1,0
226,1166065,-55,-9,658,1000,1,0
227,1166085,-58,-10,668,1000,1,0
228,1166105,-60,-11,677,1000,1,0
229,1166125,-61,-11,687,1000,1,0
230,1166144,-61,-11,697,1000,1,0
231,1166165,-61,-11,707,1000,1,0
232,1166185,-62,-12,716,1000,1,0
233,1166204,-63,-12,726,1000,1,0
234,1166224,-63,-12,736,1000,1,0
235,1166244,-62,-12,746,1000,1,0
236,1166264,-61,-12,755,1000,1,0
237,1166284,-61,-12,765,1000,1,0
238,1166304,-60,-11,775,1000,1,0
239,1166324,-57,-10,784,1000,1,0
240,1166345,-55,-10,794,1000,1,0
241,1166365,-54,-10,804,1000,1,0
242,1166385,-53,-11,814,1000,1,0
243,1166405,-50,-10,823,1000,1,0
244,1166425,-46,-10,833,1000,1,0
245,1166445,-49,-12,843,1000,1,0
246,1166465,-51,-13,853,1000,1,0
247,1166485,-46,-10,862,1000,1,0
248,1166505,-37,-7,872,1000,1,0
249,1166525,-35,-5,882,1000,1,0
250,1166545,-34,-5,891,1000,1,0
251,1166565,-35,-5,901,1000,1,0
252,1166585,-35,-5,911,1000,1,0
253,1166605,-32,-4,921,1000,1,0
254,1166625,-27,-3,930,1000,1,0
255,1166646,-24,-1,940,1000,1,0
256,1166666,-17,1,950,1000,1,0
257,1166686,-13,2,960,1000,1,0
258,1166706,-12,2,969,1000,1,0
259,1166725,-14,1,979,1000,1,0
260,1166745,-14,-1,989,1000,1,0
261,1166765,-13,-2,999,1000,1,0
262,1166785,-11,-3,8,1000,1,0
263,1166805,-10,-3,18,1000,1,0
264,1166825,-8,-4,28,1000,1,0
265,1166845,-8,-4,37,1000,1,0
266,1166865,-10,-4,47,1000,1,0
267,1166886,-11,-5,57,1000,1,0
268,1166906,-12,-5,67,1000,1,0
269,1166926,-14,-5,76,1000,1,0
270,1166946,-15,-6,86,1000,1,0
271,1166965,-17,-6,96,1000,1,0
272,1166985,-19,-6,106,1000,1,0
273,1167005,-20,-6,115,1000,1,0
274,1167024,-22,-5,125,1000,1,0
275,1167044,-23,-6,135,1000,1,0
276,1167064,-24,-6,144,1000,1,0
277,1167085,-24,-6,154,1000,1,0
278,1167105,-20,-8,164,1000,1,0
279,1167125,-15,-11,174,1000,1,0
280,1167145,-12,-12,183,1000,1,0
281,1167164,-10,-12,193,1000,1,0
282,1167185,-9,-13,203,1000,1,0
283,1167205,-4,-14,213,1000,1,0
284,1167225,1,-15,222,1000,1,0
285,1167245,4,-16,232,1000,1,0
286,1167265,8,-16,242,1000,1,0
287,1167285,12,-17,251,1000,1,0
288,1167305,17,-17,261,1000,1,0
289,1167325,22,-16,271,1000,1,0
290,1167345,26,-15,281,1000,1,0
291,1167365,30,-15,290,1000,1,0
292,1167385,35,-14,300,1000,1,0
293,1167405,38,-14,310,1000,1,0
294,1167425,42,-13,320,1000,1,0
295,1167445,45,-12,329,1000,1,0
296,1167465,47,-11,339,1000,1,0
297,1167485,49,-11,349,1000,1,0
298,1167505,51,-12,358,1000,1,0
299,1167525,51,-12,368,1000,1,0
300,1167545,51,-13,378,1000,1,0
301,1167565,51,-13,388,1000,1,0
302,1167585,50,-14,397,1000,1,0
303,1167605,50,-14,407,1000,1,0
304,1167625,50,-14,417,1000,1,0
305,1167645,49,-14,427,1000,1,0
306,1167666,48,-14,436,1000,1,0
307,1167686,46,-13,446,1000,1,0
308,1167706,43,-12,456,1000,1,0
309,1167726,40,-10,465,1000,1,0
310,1167744,36,-9,475,1000,1,0
311,1167764,30,-7,485,1000,1,0
312,1167784,25,-5,495,1000,1,0
313,1167804,18,-4,504,1000,1,0
314,1167822,10,-2,514,1000,1,0
315,1167844,2,0,524,1000,1,0
316,1167864,-5,1,534,1000,1,0
317,1167884,-11,0,543,1000,1,0
318,1167904,-19,0,553,1000,1,0
319,1167925,-27,0,563,1000,1,0
320,1167945,-35,-1,572,1000,1,0
321,1167965,-39,-2,582,1000,1,0
322,1167985,-46,-2,592,1000,1,0
323,1168005,-50,-3,602,1000,1,0
