index,mcu_ms,roll10,pitch10,phase1000,rate1000,valid,fault
92,5865987,48,-5,369,1000,1,0
93,5866007,47,-6,379,1000,1,0
94,5866027,46,-6,388,1000,1,0
95,5866047,45,-7,398,1000,1,0
96,5866067,43,-7,408,1000,1,0
97,5866087,40,-7,418,1000,1,0
98,5866106,36,-5,427,1000,1,0
99,5866128,33,-5,437,1000,1,0
100,5866148,31,-5,447,1000,1,0
101,5866168,29,-5,456,1000,1,0
102,5866187,27,-5,466,1000,1,0
103,5866206,23,-4,476,1000,1,0
104,5866226,16,-3,485,1000,1,0
105,5866246,12,-2,495,1000,1,0
106,5866266,6,-1,505,1000,1,0
107,5866286,-1,2,514,1000,1,0
108,5866306,-5,3,524,1000,1,0
109,5866326,-9,1,533,1000,1,0
110,5866346,-14,1,543,1000,1,0
111,5866366,-19,1,553,1000,1,0
112,5866387,-24,0,562,1000,1,0
113,5866407,-27,0,572,1000,1,0
114,5866427,-31,-1,581,1000,1,0
115,5866446,-33,-1,591,1000,1,0
116,5866467,-38,-2,601,1000,1,0
117,5866487,-42,-2,610,1000,1,0
118,5866507,-44,-3,620,1000,1,0
119,5866527,-47,-3,629,1000,1,0
120,5866547,-50,-4,639,1000,1,0
121,5866567,-52,-4,648,1000,1,0
122,5866587,-53,-5,658,1000,1,0
123,5866607,-53,-6,668,1000,1,0
124,5866628,-53,-5,677,1000,1,0
125,5866648,-51,-5,687,1000,1,0
126,5866661,-50,-5,696,1000,1,0
127,5866680,-47,-5,706,1000,1,0
128,5866700,-46,-5,715,1000,1,0
129,5866720,-45,-5,723,1000,1,0
130,5866740,-44,-5,732,1000,1,0
131,5866760,-43,-5,741,1000,1,0
132,5866780,-43,-5,749,1000,1,0
133,5866800,-44,-5,757,1000,1,0
134,5866822,-45,-5,765,1000,1,0
135,5866841,-46,-5,774,1000,1,0
136,5866863,-47,-6,782,1000,1,0
137,5866883,-48,-6,790,1000,1,0
138,5866903,-48,-5,798,1000,1,0
139,5866923,-50,-5,807,1000,1,0
140,5866943,-50,-5,815,1000,1,0
141,5866962,-51,-5,823,1000,1,0
142,5866981,-50,-4,831,1000,1,0
143,5867001,-48,-4,840,1000,1,0
144,5867022,-48,-4,848,1000,1,0
145,5867042,-52,-4,856,1000,1,0
146,5867062,-56,-4,864,1000,1,0
147,5867083,-58,-4,872,1000,1,0
148,5867104,-58,-5,881,1000,1,0
149,5867124,-55,-5,889,1000,1,0
150,5867144,-51,-4,897,1000,1,0
151,5867162,-44,-3,905,1000,1,0
152,5867182,-37,-1,914,1000,1,0
153,5867202,-34,1,922,1000,1,0
154,5867221,-31,1,930,1000,1,0
155,5867241,-28,0,938,1000,1,0
156,5867261,-23,-1,947,1000,1,0
157,5867281,-19,-2,955,1000,1,0
158,5867301,-19,-3,963,1000,1,0
159,5867321,-17,-3,971,1000,1,0
160,5867341,-15,-3,979,1000,1,0
161,5867360,-15,-4,988,1000,1,0
162,5867380,-15,-4,996,1000,1,0
163,5867400,-15,-4,4,1000,1,0
164,5867420,-17,-3,12,1000,1,0
165,5867440,-19,-3,21,1000,1,0
166,5867461,-20,-3,29,1000,1,0
167,5867481,-21,-3,37,1000,1,0
168,5867504,-22,-3,45,1000,1,0
169,5867524,-22,-2,54,1000,1,0
170,5867544,-23,-2,62,1000,1,0
171,5867564,-24,-3,70,1000,1,0
172,5867581,-24,-3,78,1000,1,0
173,5867601,-21,-4,86,1000,1,0
174,5867621,-19,-4,95,1000,1,0
175,5867641,-16,-4,103,1000,1,0
176,5867661,-14,-4,111,1000,1,0
177,5867683,-12,-5,119,1000,1,0
178,5867703,-12,-7,128,1000,1,0
179,5867723,-12,-7,136,1000,1,0
180,5867741,-10,-7,144,1000,1,0
181,5867761,-7,-9,152,1000,1,0
182,5867781,-4,-10,161,1000,1,0
183,5867801,0,-11,169,1000,1,0
184,5867822,2,-12,177,1000,1,0
185,5867842,5,-12,185,1000,1,0
186,5867862,8,-12,193,1000,1,0
187,5867882,10,-12,202,1000,1,0
188,5867903,13,-12,210,1000,1,0
189,5867923,14,-12,218,1000,1,0
190,5867942,13,-12,226,1000,1,0
191,5867962,10,-10,235,1000,1,0
192,5867982,6,-8,243,1000,1,0
193,5868002,1,-5,251,1000,1,0
194,5868021,-5,-4,259,1000,1,0
