$IT,M,1,257,0,0
$IT,P,0,12,257
$IT,S,0,5513578,-25,-4,500,0,1,0
$IT,S,1,5513592,-25,-4,508,1000,1,0
$IT,S,2,5513614,-25,-4,517,1000,1,0
$IT,S,3,5513634,-25,-4,525,1000,1,0
$IT,S,4,5513654,-25,-4,534,1000,1,0
$IT,S,5,5513673,-25,-4,542,1000,1,0
$IT,S,6,5513693,-25,-4,551,1000,1,0
$IT,S,7,5513714,-25,-4,560,1000,1,0
$IT,S,8,5513734,-25,-4,569,1000,1,0
$IT,S,9,5513754,-25,-4,578,1000,1,0
$IT,S,10,5513774,-25,-4,587,1000,1,0
$IT,S,11,5513794,-24,-4,596,1000,1,0
$IT,P,12,12,257
$IT,S,12,5513813,-24,-4,605,1000,1,0
$IT,S,13,5513833,-24,-4,614,1000,1,0
$IT,S,14,5513853,-24,-4,623,1000,1,0
$IT,S,15,5513874,-24,-4,632,1000,1,0
$IT,S,16,5513894,-23,-4,641,1000,1,0
$IT,S,17,5513914,-20,-4,651,1000,1,0
$IT,S,18,5513934,-19,-3,660,1000,1,0
$IT,S,19,5513954,-17,-3,669,1000,1,0
$IT,S,20,5513974,-18,-4,678,1000,1,0
$IT,S,21,5513994,-21,-4,687,1000,1,0
$IT,S,22,5514014,-24,-5,696,1000,1,0
$IT,S,23,5514034,-26,-7,706,1000,1,0
$IT,P,24,12,257
$IT,S,24,5514054,-27,-7,715,1000,1,0
$IT,S,25,5514074,-29,-8,724,1000,1,0
$IT,S,26,5514094,-31,-9,733,1000,1,0
$IT,S,27,5514114,-34,-11,743,1000,1,0
$IT,S,28,5514134,-35,-12,752,1000,1,0
$IT,S,29,5514154,-38,-13,761,1000,1,0
$IT,S,30,5514174,-39,-14,771,1000,1,0
$IT,S,31,5514194,-40,-14,780,1000,1,0
$IT,S,32,5514214,-41,-14,789,1000,1,0
$IT,S,33,5514234,-42,-14,799,1000,1,0
$IT,S,34,5514254,-42,-14,808,1000,1,0
$IT,S,35,5514274,-43,-14,817,1000,1,0
$IT,P,36,12,257
$IT,S,36,5514294,-43,-13,827,1000,1,0
$IT,S,37,5514314,-42,-12,836,1000,1,0
$IT,S,38,5514334,-41,-11,845,1000,1,0
$IT,S,39,5514354,-39,-10,855,1000,1,0
$IT,S,40,5514374,-37,-9,864,1000,1,0
$IT,S,41,5514393,-36,-9,873,1000,1,0
$IT,S,42,5514413,-38,-9,883,1000,1,0
$IT,S,43,5514433,-36,-8,892,1000,1,0
$IT,S,44,5514453,-33,-5,901,1000,1,0
$IT,S,45,5514473,-30,-4,911,1000,1,0
$IT,S,46,5514493,-32,-4,920,1000,1,0
$IT,S,47,5514513,-35,-6,929,1000,1,0
$IT,P,48,12,257
$IT,S,48,5514534,-34,-5,939,1000,1,0
$IT,S,49,5514554,-27,-3,948,1000,1,0
$IT,S,50,5514574,-20,2,957,1000,1,0
$IT,S,51,5514594,-16,4,967,1000,1,0
$IT,S,52,5514613,-19,3,976,1000,1,0
$IT,S,53,5514633,-21,2,986,991,1,0
$IT,S,54,5514653,-21,1,995,991,1,0
$IT,S,55,5514673,-19,2,5,991,1,0
$IT,S,56,5514693,-19,4,14,991,1,0
$IT,S,57,5514713,-19,3,24,991,1,0
$IT,S,58,5514733,-21,1,33,991,1,0
$IT,S,59,5514754,-20,1,43,1000,1,0
$IT,P,60,12,257
$IT,S,60,5514774,-21,1,52,1000,1,0
$IT,S,61,5514794,-22,0,62,1000,1,0
$IT,S,62,5514814,-23,-1,71,1000,1,0
$IT,S,63,5514835,-24,-1,81,1000,1,0
$IT,S,64,5514855,-24,-1,90,1000,1,0
$IT,S,65,5514875,-25,-3,100,1000,1,0
$IT,S,66,5514895,-27,-3,110,1000,1,0
$IT,S,67,5514914,-28,-3,119,1000,1,0
$IT,S,68,5514934,-28,-3,129,1000,1,0
$IT,S,69,5514954,-27,-4,138,1000,1,0
$IT,S,70,5514974,-24,-4,148,1000,1,0
$IT,S,71,5514995,-19,-4,158,1000,1,0
$IT,P,72,12,257
$IT,S,72,5515015,-13,-5,167,1000,1,0
$IT,S,73,5515035,-5,-7,177,1000,1,0
$IT,S,74,5515055,1,-7,187,1000,1,0
$IT,S,75,5515075,9,-7,196,1000,1,0
$IT,S,76,5515095,16,-6,206,1000,1,0
$IT,S,77,5515115,23,-5,216,1000,1,0
$IT,S,78,5515134,29,-4,225,1000,1,0
$IT,S,79,5515154,36,-4,235,1000,1,0
$IT,S,80,5515174,41,-3,245,1000,1,0
$IT,S,81,5515194,46,-1,255,1000,1,0
$IT,S,82,5515213,48,0,264,1000,1,0
$IT,S,83,5515234,50,1,274,1000,1,0
$IT,P,84,12,257
$IT,S,84,5515253,50,1,284,1000,1,0
$IT,S,85,5515273,50,1,293,1000,1,0
$IT,S,86,5515293,50,1,303,1000,1,0
$IT,S,87,5515313,50,-1,313,1000,1,0
$IT,S,88,5515333,50,-1,323,1000,1,0
$IT,S,89,5515353,48,-2,332,1000,1,0
$IT,S,90,5515373,47,-3,342,1000,1,0
$IT,S,91,5515393,46,-4,352,1000,1,0
$IT,S,92,5515413,46,-4,362,1000,1,0
$IT,S,93,5515433,46,-4,371,1000,1,0
$IT,S,94,5515453,45,-5,381,1000,1,0
