send_begin_ms,send_end_ms,FL_J1_deg,FL_J2_deg,FL_J3_deg,FR_J1_deg,FR_J2_deg,FR_J3_deg,RL_J1_deg,RL_J2_deg,RL_J3_deg,RR_J1_deg,RR_J2_deg,RR_J3_deg
864,865,4.306640625,57.392578125,98.0859375,13.88671875,51.6796875,93.8671875,-4.130859375,50.361328125,91.7578125,-4.39453125,57.392578125,98.173828125
884,885,4.306640625,57.392578125,98.0859375,13.88671875,51.6796875,93.8671875,-4.130859375,50.361328125,91.7578125,-4.39453125,57.392578125,98.173828125
904,905,4.306640625,57.392578125,98.0859375,13.88671875,51.6796875,93.8671875,-4.130859375,50.361328125,91.7578125,-4.39453125,57.392578125,98.173828125
926,926,4.306640625,57.392578125,98.0859375,13.88671875,51.6796875,93.8671875,-4.130859375,50.361328125,91.7578125,-4.39453125,57.392578125,98.173828125
947,948,4.306640625,57.3046875,98.173828125,13.88671875,51.767578125,93.8671875,-4.130859375,50.537109375,91.669921875,-4.39453125,57.3046875,98.173828125
967,968,4.306640625,57.041015625,98.26171875,13.798828125,51.943359375,93.8671875,-4.130859375,50.625,91.669921875,-4.482421875,57.041015625,98.26171875
987,988,4.39453125,56.6015625,98.4375,13.798828125,52.119140625,93.8671875,-4.21875,50.888671875,91.669921875,-4.5703125,56.6015625,98.525390625
1009,1009,4.39453125,56.07421875,98.525390625,13.7109375,52.3828125,93.779296875,-4.21875,51.064453125,91.669921875,-4.833984375,56.162109375,98.701171875
1029,1029,4.482421875,55.634765625,98.701171875,13.7109375,52.734375,93.779296875,-4.306640625,51.416015625,91.669921875,-4.921875,55.72265625,98.7890625
1049,1049,4.482421875,55.01953125,98.7890625,13.623046875,53.0859375,93.69140625,-4.306640625,51.767578125,91.58203125,-5.09765625,55.1953125,98.96484375
1069,1069,4.5703125,54.404296875,98.876953125,13.623046875,53.525390625,93.603515625,-4.39453125,52.294921875,91.494140625,-5.361328125,54.4921875,99.228515625
1089,1089,4.658203125,53.61328125,98.96484375,13.53515625,54.140625,93.427734375,-4.39453125,52.822265625,91.40625,-5.712890625,53.7890625,99.404296875
1109,1109,4.833984375,52.822265625,99.228515625,13.359375,54.84375,93.1640625,-4.482421875,53.525390625,91.23046875,-5.9765625,53.0859375,99.580078125
1129,1129,4.833984375,52.03125,99.228515625,13.359375,55.458984375,92.98828125,-4.482421875,54.31640625,90.87890625,-6.50390625,52.294921875,99.84375
1149,1149,4.921875,51.240234375,99.31640625,13.271484375,56.42578125,92.63671875,-4.5703125,55.107421875,90.615234375,-7.03125,51.591796875,100.01953125
1169,1169,4.921875,50.361328125,99.31640625,13.271484375,57.392578125,92.197265625,-4.5703125,56.07421875,90.087890625,-7.55859375,50.80078125,100.107421875
1189,1189,4.833984375,49.5703125,99.228515625,13.271484375,58.53515625,91.58203125,-4.482421875,57.12890625,89.47265625,-8.173828125,50.185546875,100.1953125
1209,1209,4.833984375,48.8671875,99.228515625,13.359375,59.58984375,90.791015625,-4.39453125,58.18359375,88.681640625,-8.876953125,49.482421875,100.37109375
1230,1231,4.5703125,48.1640625,99.140625,13.53515625,60.8203125,89.912109375,-4.306640625,59.326171875,87.626953125,-9.66796875,49.04296875,100.458984375
1250,1251,4.482421875,47.63671875,98.96484375,13.623046875,62.138671875,88.76953125,-4.21875,60.380859375,86.396484375,-10.458984375,48.427734375,100.634765625
1270,1271,4.658203125,47.109375,98.96484375,13.359375,63.28125,87.36328125,-4.39453125,61.611328125,84.990234375,-10.986328125,47.98828125,100.634765625
1290,1290,4.921875,46.669921875,98.96484375,13.271484375,64.423828125,85.869140625,-4.482421875,62.666015625,83.49609375,-11.42578125,47.63671875,100.634765625
1310,1310,5.09765625,46.318359375,98.7890625,13.095703125,65.390625,84.19921875,-4.658203125,63.80859375,82.001953125,-11.77734375,47.197265625,100.37109375
1330,1331,5.185546875,45.791015625,98.173828125,13.0078125,66.26953125,82.529296875,-4.833984375,64.775390625,80.419921875,-12.216796875,46.669921875,99.84375
1350,1351,5.2734375,45.17578125,97.294921875,12.83203125,66.97265625,80.771484375,-5.009765625,65.56640625,78.837890625,-12.392578125,45.966796875,98.7890625
1369,1369,5.361328125,44.384765625,95.888671875,12.83203125,67.587890625,79.27734375,-5.09765625,66.181640625,77.431640625,-12.568359375,45.17578125,97.470703125
1389,1389,5.361328125,43.505859375,94.39453125,12.65625,67.939453125,78.134765625,-5.185546875,66.62109375,76.2890625,-12.568359375,44.296875,95.9765625
1409,1409,5.361328125,42.802734375,93.076171875,12.65625,68.115234375,77.34375,-5.185546875,66.796875,75.498046875,-12.568359375,43.59375,94.658203125
1427,1428,5.361328125,42.36328125,92.28515625,12.568359375,68.203125,76.904296875,-5.185546875,66.884765625,75.05859375,-12.568359375,43.2421875,93.8671875
