time_ms,roll_deg,pitch_deg,phase,rate,valid,fault
-9,-2.5,-0.3,0.5,1.0,1,0
6,-2.5,-0.3,0.508,1.0,1,0
28,-2.5,-0.3,0.517,1.0,1,0
48,-2.5,-0.3,0.525,1.0,1,0
68,-2.5,-0.3,0.534,1.0,1,0
87,-2.5,-0.3,0.542,1.0,1,0
107,-2.5,-0.3,0.551,1.0,1,0
128,-2.5,-0.3,0.56,1.0,1,0
148,-2.5,-0.3,0.569,1.0,1,0
168,-2.5,-0.3,0.578,1.0,1,0
188,-2.4,-0.3,0.587,1.0,1,0
208,-2.4,-0.3,0.596,1.0,1,0
226,-2.4,-0.4,0.605,1.0,1,0
246,-2.4,-0.4,0.614,1.0,1,0
266,-2.4,-0.4,0.623,1.0,1,0
286,-2.4,-0.4,0.632,1.0,1,0
306,-2.3,-0.4,0.641,1.0,1,0
326,-2.0,-0.3,0.65,1.0,1,0
346,-1.5,0.0,0.66,1.0,1,0
366,-1.0,0.2,0.669,1.0,1,0
386,-0.7,0.2,0.678,1.0,1,0
406,-0.5,0.2,0.687,1.0,1,0
426,-0.7,0.1,0.696,1.0,1,0
446,-0.9,-0.1,0.705,1.0,1,0
466,-1.2,-0.3,0.715,1.0,1,0
486,-1.5,-0.4,0.724,1.0,1,0
506,-1.9,-0.4,0.733,1.0,1,0
526,-2.0,-0.4,0.743,1.0,1,0
546,-2.3,-0.5,0.752,1.0,1,0
566,-2.5,-0.7,0.761,1.0,1,0
587,-2.7,-0.8,0.771,1.0,1,0
607,-3.0,-0.9,0.78,1.0,1,0
627,-3.3,-1.0,0.79,1.0,1,0
647,-3.5,-1.1,0.799,1.0,1,0
668,-3.6,-1.2,0.809,1.0,1,0
687,-3.9,-1.2,0.818,1.0,1,0
707,-4.0,-1.2,0.828,1.0,1,0
727,-4.1,-1.2,0.837,1.0,1,0
747,-4.1,-1.2,0.847,1.0,1,0
767,-4.0,-1.1,0.856,1.0,1,0
787,-3.8,-1.0,0.866,1.0,1,0
807,-3.8,-1.0,0.875,1.0,1,0
827,-3.8,-1.0,0.885,1.0,1,0
847,-3.6,-0.9,0.894,1.0,1,0
867,-3.5,-0.7,0.904,1.0,1,0
887,-3.3,-0.7,0.913,1.0,1,0
907,-3.2,-0.7,0.923,1.0,1,0
928,-3.0,-0.5,0.932,1.0,1,0
948,-2.5,-0.4,0.942,1.0,1,0
968,-2.2,-0.2,0.951,1.0,1,0
988,-2.0,-0.1,0.961,1.0,1,0
1008,-1.9,0.1,0.971,1.0,1,0
1027,-1.6,0.2,0.98,1.0,1,0
1046,-1.5,0.2,0.99,1.0,1,0
1067,-1.6,0.2,0.0,1.0,1,0
1086,-1.5,0.2,0.009,1.0,1,0
1106,-1.4,0.3,0.019,1.0,1,0
1126,-1.4,0.2,0.029,1.0,1,0
1146,-1.5,0.1,0.039,1.0,1,0
1166,-1.5,0.1,0.048,1.0,1,0
1187,-1.6,0.1,0.058,1.0,1,0
1207,-1.7,-0.1,0.068,1.0,1,0
