time_s,leg,phase,swing,middle_swing,clearance_mm,force_n,j1_target,j1_actual,j2_target,j3_target,tilt_deg,safety,moving
5.0,FL,0.15789693593978882,False,False,-0.2370292480635694,6.882915977035991,-0.615234375,-0.6565993209082831,36.826171875,69.169921875,0.1213577647417843,ok,True
5.0,FR,0.6578969359397888,True,False,-0.4425060533697067,14.332278522704506,-2.109375,-1.5464111133718563,38.583984375,69.78515625,0.1213577647417843,ok,True
5.0,RL,0.6578969359397888,True,False,-0.4490148906887981,14.828616770008551,-2.109375,-1.0792275035718697,42.5390625,68.90625,0.1213577647417843,ok,True
5.0,RR,0.15789693593978882,False,False,-0.23826731712768556,6.759802430164577,-0.615234375,-0.16238788416221206,38.408203125,69.08203125,0.1213577647417843,ok,True
5.0200000000000005,FL,0.16949646174907684,False,False,-0.2612800091577189,8.522357484423857,-0.52734375,-0.5315677619466743,36.9140625,69.169921875,0.11730662356227065,ok,True
5.0200000000000005,FR,0.6694964617490768,True,False,-0.41658369383128224,12.718907487066739,-2.197265625,-1.6570667672847477,39.19921875,70.576171875,0.11730662356227065,ok,True
5.0200000000000005,RL,0.6694964617490768,True,False,-0.4281819327630193,13.464359750747432,-2.197265625,-1.2122203691112834,43.2421875,69.697265625,0.11730662356227065,ok,True
5.0200000000000005,RR,0.16949646174907684,False,False,-0.2615715477131131,8.459986735287345,-0.52734375,-0.042763856893293366,38.408203125,69.08203125,0.11730662356227065,ok,True
5.04,FL,0.18109598755836487,False,False,-0.3082407680165128,11.010487442711252,-0.439453125,-0.37090848812382043,37.08984375,69.169921875,0.1138757063948123,ok,True
5.04,FR,0.6810959875583649,True,False,-0.36963278436455416,9.57850338701706,-2.197265625,-1.8018781289653227,40.07812500000001,71.71875,0.1138757063948123,ok,True
5.04,RL,0.6810959875583649,True,False,-0.38803811085463824,10.901399171091475,-2.197265625,-1.3748901370440438,43.857421875,70.83984375000001,0.1138757063948123,ok,True
5.04,RR,0.18109598755836487,False,False,-0.31491158075620806,11.087976026068107,-0.439453125,0.10581395885138506,38.408203125,69.08203125,0.1138757063948123,ok,True
5.0600000000000005,FL,0.1926955133676529,False,False,-0.384255985038523,15.157897710591856,-0.263671875,-0.16145677292179036,37.177734375,69.169921875,0.10112706831679388,ok,True
5.0600000000000005,FR,0.6926955133676529,True,False,-0.2865697108939136,6.359768789015196,-2.197265625,-1.9949275378408515,40.95703125,73.037109375,0.10112706831679388,ok,True
5.0600000000000005,RL,0.6926955133676529,True,False,-0.31729806664454463,7.583735041466509,-2.197265625,-1.601520709614628,44.82421875,72.0703125,0.10112706831679388,ok,True
5.0600000000000005,RR,0.1926955133676529,False,False,-0.38702346864155635,14.304923724286596,-0.263671875,0.3147620627925343,38.408203125,69.08203125,0.10112706831679388,ok,True
5.08,FL,0.20429503917694092,False,False,-0.47878925351166335,19.956921031218243,-0.17578125,0.10801595048368921,37.265625,69.169921875,0.08481622749787596,ok,True
5.08,FR,0.7042950391769409,True,True,-0.1735864087161615,3.0801252200374534,-2.109375,-2.24635029193642,42.01171875000001,74.53125,0.08481622749787596,ok,True
5.08,RL,0.7042950391769409,True,True,-0.19313566244578972,3.9719011743357173,-2.109375,-1.8967070661727392,45.615234375,73.74023437500001,0.08481622749787596,ok,True
5.08,RR,0.20429503917694092,False,False,-0.4652806136003912,18.154907006051545,-0.17578125,0.5877792569257801,38.3203125,69.08203125,0.08481622749787596,ok,True
5.1000000000000005,FL,0.21589456498622894,False,False,-0.5528727188438137,24.16995490183268,-0.087890625,0.4504899163053055,37.44140625,69.169921875,0.06185055251873343,ok,True
5.1000000000000005,FR,0.7158945649862289,True,True,0.16975333208808785,0.0,-2.021484375,-2.4772082289378545,42.978515625,76.201171875,0.06185055251873343,ok,True
5.1000000000000005,RL,0.7158945649862289,True,True,0.1193348954838247,0.0,-2.021484375,-2.210349245780933,46.318359375,75.41015625,0.06185055251873343,ok,True
5.1000000000000005,RR,0.21589456498622894,False,False,-0.5243477722575857,20.550757094607047,-0.087890625,0.905384715819459,38.3203125,69.08203125,0.06185055251873343,ok,True
5.12,FL,0.22749409079551697,False,False,-0.5951990800504986,24.992341588750858,0.0,0.8466529450628353,37.6171875,69.169921875,0.028108688664422607,ok,True
5.12,FR,0.727494090795517,True,True,1.1818726022296415,0.0,-1.7578125,-2.483991220611005,44.033203125,77.783203125,0.028108688664422607,ok,True
5.12,RL,0.727494090795517,True,True,1.1498849952944479,0.0,-1.7578125,-2.3432328476762576,47.021484375,77.16796875,0.028108688664422607,ok,True
5.12,RR,0.22749409079551697,False,False,-0.544635831025278,20.370704062341634,0.0,1.1893827454159311,38.3203125,69.08203125,0.028108688664422607,ok,True
5.14,FL,0.239093616604805,False,False,-0.5886297682671238,23.42299531050358,0.087890625,1.195992221292972,37.705078125,69.169921875,0.04669472246518502,ok,True
5.14,FR,0.739093616604805,True,True,2.726131930313194,0.0,-1.58203125,-2.3736643173318126,44.912109375,79.541015625,0.04669472246518502,ok,True
5.14,RL,0.739093616604805,True,True,3.0654469130663027,0.0,-1.58203125,-2.3128019934803237,47.4609375,78.92578125,0.04669472246518502,ok,True
5.14,RR,0.239093616604805,False,False,-0.5413075405914514,20.49184430385845,0.087890625,1.4675945657582443,38.3203125,69.08203125,0.04669472246518502,ok,True
5.16,FL,0.250693142414093,False,False,-0.5722742220935217,22.256369911387168,0.17578125,1.4931826306605824,37.79296875,69.169921875,0.15591501650007047,ok,True
5.16,FR,0.750693142414093,True,True,4.600984319640039,0.0,-1.40625,-2.1267318002650653,45.70312500000001,81.03515625,0.15591501650007047,ok,True
5.16,RL,0.750693142414093,True,True,5.494153759006096,0.0,-1.40625,-2.086506034267851,47.8125,80.5078125,0.15591501650007047,ok,True
5.16,RR,0.250693142414093,False,False,-0.5446326352828851,20.54905990154829,0.17578125,1.7004265466675548,38.3203125,69.08203125,0.15591501650007047,ok,True
5.18,FL,0.26229268312454224,False,False,-0.5579966921820945,21.397705132003424,0.263671875,1.7575045982493294,37.880859375,69.169921875,0.2779529403962705,ok,True
5.18,FR,0.7622926831245422,True,True,6.563288200909081,0.0,-1.142578125,-1.8981540915322144,46.318359375,82.265625,0.2779529403962705,ok,True
5.18,RL,0.7622926831245422,True,True,8.024798352444462,0.0,-1.142578125,-1.867628715208908,47.900390625,81.9140625,0.2779529403962705,ok,True
5.18,RR,0.26229268312454224,False,False,-0.5478861746324448,21.100940520254266,0.263671875,1.8892311399696613,38.3203125,69.08203125,0.2779529403962705,ok,True
5.2,FL,0.27389222383499146,False,False,-0.548735730346861,20.91615327856514,0.439453125,1.9797711831939617,38.056640625,69.169921875,0.4040471140257761,ok,True
5.2,FR,0.7738922238349915,True,True,8.297587683110757,0.0,-0.703125,-1.6908542980751387,46.7578125,83.408203125,0.4040471140257761,ok,True
5.2,RL,0.7738922238349915,True,True,10.414401403534445,0.0,-0.703125,-1.669236555772506,47.724609375,83.05664062500001,0.4040471140257761,ok,True
5.2,RR,0.27389222383499146,False,False,-0.5557129111115611,21.860237330483006,0.439453125,2.029602327322869,38.3203125,69.08203125,0.4040471140257761,ok,True
5.22,FL,0.2854917645454407,False,False,-0.5423412703109837,20.409760657067498,0.52734375,2.1563599478196003,38.232421875,69.08203125,0.5251675426496679,ok,True
5.22,FR,0.7854917645454407,True,True,9.863512139115294,0.0,-0.263671875,-1.414794110335768,47.021484375,84.19921875,0.5251675426496679,ok,True
5.22,RL,0.7854917645454407,True,True,12.643472230767047,0.0,-0.263671875,-1.4025106574599475,47.373046875,84.02343750000001,0.5251675426496679,ok,True
5.22,RR,0.2854917645454407,False,False,-0.5666955603794016,22.680174578375233,0.52734375,2.1202282473433063,38.232421875,69.08203125,0.5251675426496679,ok,True
5.24,FL,0.2970913052558899,False,False,-0.5370857865781287,20.22639304005355,0.703125,2.301654908942315,38.3203125,69.08203125,0.633377946441915,ok,True
5.24,FR,0.7970913052558899,True,True,11.251483014267496,0.0,0.0,-1.0061960718986518,47.109375,84.638671875,0.633377946441915,ok,True
5.24,RL,0.7970913052558899,True,True,14.712631205194393,0.0,0.17578125,-1.0131009539537557,46.7578125,84.638671875,0.633377946441915,ok,True
5.24,RR,0.2970913052558899,False,False,-0.5752208558776201,22.922856408738763,0.52734375,2.182376154317679,38.232421875,69.08203125,0.633377946441915,ok,True
5.26,FL,0.3086908459663391,False,False,-0.5319979740973507,19.749391859230666,0.87890625,2.433425909735348,38.49609375,69.08203125,0.7251339263048383,ok,True
5.26,FR,0.8086908459663391,True,True,12.242973896523331,0.0,0.263671875,-0.6108459736290878,47.021484375,84.814453125,0.7251339263048383,ok,True
5.26,RL,0.8086908459663391,True,True,16.474971821586305,0.0,0.703125,-0.5641057781535744,46.142578125,84.814453125,0.7251339263048383,ok,True
5.26,RR,0.3086908459663391,False,False,-0.5739080994529994,22.915146514932257,0.52734375,2.223811456355806,38.232421875,69.08203125,0.7251339263048383,ok,True
5.28,FL,0.32029038667678833,False,False,-0.5272263704088065,19.599349578263503,1.142578125,2.5995260864071805,38.583984375,69.08203125,0.7649370422968351,ok,True
5.28,FR,0.8202903866767883,True,True,12.828526187875013,0.0,0.703125,-0.3238528007051946,46.58203125,84.462890625,0.7649370422968351,ok,True
5.28,RL,0.8202903866767883,True,True,17.614172037825977,0.0,1.318359375,-0.11260160136412652,45.087890625,84.7265625,0.7649370422968351,ok,True
5.28,RR,0.32029038667678833,False,False,-0.57666885610487,23.45919677594542,0.52734375,2.2274793318141572,38.232421875,69.08203125,0.7649370422968351,ok,True
5.3,FL,0.33188992738723755,False,False,-0.5293869920427879,20.11124293593178,1.318359375,2.7884361830601545,38.671875,69.08203125,0.7623140895017341,ok,True
5.3,FR,0.8318899273872375,True,True,13.625790293599103,0.0,0.9667968750000001,-0.038969433380524464,46.142578125,84.02343750000001,0.7623140895017341,ok,True
5.3,RL,0.8318899273872375,True,True,18.908306467210632,0.0,1.7578125,0.3770515863365685,44.033203125,84.287109375,0.7623140895017341,ok,True
5.3,RR,0.33188992738723755,False,False,-0.5807722498925028,23.18585149505457,0.52734375,2.2157302552044387,38.232421875,68.994140625,0.7623140895017341,ok,True
5.32,FL,0.34348946809768677,False,False,-0.5307172607723898,19.764025753960066,1.40625,2.989334713772722,38.759765625,69.08203125,0.7351572015956761,ok,True
5.32,FR,0.8434894680976868,True,True,14.76996954526673,0.0,1.40625,0.32953364722511946,45.52734375,83.232421875,0.7351572015956761,ok,True
5.32,RL,0.8434894680976868,True,True,20.692090446983403,0.0,2.197265625,0.9265248171193765,42.802734375,83.49609375,0.7351572015956761,ok,True
5.32,RR,0.34348946809768677,False,False,-0.5769901879950773,23.406121811904985,0.615234375,2.2008747389931003,38.056640625,68.994140625,0.7351572015956761,ok,True
5.34,FL,0.355089008808136,False,False,-0.5271745519069143,19.802098800133933,1.58203125,3.17516671073753,39.0234375,69.08203125,0.713605682832218,ok,True
5.34,FR,0.855089008808136,True,True,15.572751231678616,0.0,1.669921875,0.6763129710387452,44.73632812500001,82.08984375000001,0.713605682832218,ok,True
5.34,RL,0.855089008808136,True,True,22.173396434725447,0.0,2.724609375,1.388206541893391,41.572265625,82.44140625,0.713605682832218,ok,True
5.34,RR,0.355089008808136,False,False,-0.578625131099117,23.384078408660542,0.615234375,2.224420024735934,38.056640625,68.994140625,0.713605682832218,ok,True
5.36,FL,0.3666885495185852,False,False,-0.5294729784757896,19.621506753813257,1.669921875,3.3394767899087507,39.111328125,69.08203125,0.7018687787567075,ok,True
5.36,FR,0.8666885495185852,True,True,15.747441900329035,0.0,2.109375,1.0393114161685264,43.76953125,80.68359375,0.7018687787567075,ok,True
5.36,RL,0.8666885495185852,True,True,23.186763062089778,0.0,3.076171875,1.853836796789428,40.341796875,81.12304687500001,0.7018687787567075,ok,True
5.36,RR,0.3666885495185852,False,False,-0.5745291846135925,22.89138485413737,0.703125,2.275510209005497,38.056640625,68.994140625,0.7018687787567075,ok,True
5.38,FL,0.3782880902290344,False,False,-0.5278196171461108,20.011000101710348,1.7578125,3.498617575417001,39.19921875,68.994140625,0.6892746186131886,ok,True
5.38,FR,0.8782880902290344,True,True,15.066477879728243,0.0,2.373046875,1.3807034848284336,42.802734375,79.1015625,0.6892746186131886,ok,True
5.38,RL,0.8782880902290344,True,True,23.413697873148426,0.0,3.427734375,2.306200732668714,39.0234375,79.62890625,0.6892746186131886,ok,True
5.38,RR,0.3782880902290344,False,False,-0.570477426261734,22.71004741657864,0.791015625,2.3505840637093973,38.056640625,69.08203125,0.6892746186131886,ok,True
5.4,FL,0.38988763093948364,False,False,-0.5359114992406488,20.62097362938199,1.9335937500000002,3.621770071492748,39.287109375,68.994140625,0.7121935586929851,ok,True
5.4,FR,0.8898876309394836,True,True,13.491443314058479,0.0,2.724609375,1.7466941434473622,41.923828125,77.51953125,0.7121935586929851,ok,True
5.4,RL,0.8898876309394836,True,True,22.73037975803692,0.0,3.6035156249999996,2.6950206095728686,37.79296875,77.87109375,0.7121935586929851,ok,True
5.4,RR,0.38988763093948364,False,False,-0.5646501869261134,22.355101570239214,0.87890625,2.4744490109156114,38.056640625,69.08203125,0.7121935586929851,ok,True
5.42,FL,0.40148717164993286,False,False,-0.5397477373560444,20.86625664157762,2.021484375,3.7292611681012153,39.375,68.994140625,0.7585939808303089,ok,True
5.42,FR,0.9014871716499329,True,True,10.972058555460947,0.0,2.900390625,2.0535669244097035,40.869140625,75.76171875,0.7585939808303089,ok,True
5.42,RL,0.9014871716499329,True,True,21.110463439438508,0.0,3.8671875000000004,3.0045146117344994,36.73828125,76.201171875,0.7585939808303089,ok,True
5.42,RR,0.40148717164993286,False,False,-0.5608706236281125,22.064418220928257,0.9667968750000001,2.62271415583485,38.056640625,69.08203125,0.7585939808303089,ok,True
5.44,FL,0.4130867123603821,False,False,-0.5447668784720472,21.184998455907035,2.109375,3.8674485443934263,39.462890625,68.994140625,0.7895770982145656,ok,True
5.44,FR,0.9130867123603821,True,True,7.565719079350747,0.0,2.98828125,2.323554591436936,40.07812500000001,74.1796875,0.7895770982145656,ok,True
5.44,RL,0.9130867123603821,True,True,18.466503792884698,0.0,4.04296875,3.243224750551684,35.771484375,74.619140625,0.7895770982145656,ok,True
5.44,RR,0.4130867123603821,False,False,-0.5558184065934807,21.764047405660115,1.142578125,2.750926382841993,38.056640625,69.08203125,0.7895770982145656,ok,True
5.46,FL,0.4246862530708313,False,False,-0.5476510558323489,21.32664320448818,2.197265625,4.005474312182285,39.7265625,68.994140625,0.8338391043179889,ok,True
