time_s,leg,phase,swing,middle_swing,clearance_mm,force_n,j1_target,j1_actual,j2_target,j3_target,tilt_deg,safety,moving
5.0,FL,0.15789693593978882,False,False,-0.3338875714425926,7.067461473567451,-0.791015625,-0.9538299587234976,55.37109375,91.142578125,0.7407362183585584,ok,True
5.0,FR,0.6578969359397888,True,False,-0.42045610172550263,15.153453263453837,-2.724609375,-3.5955215095510473,57.30468749999999,91.40625000000001,0.7407362183585584,ok,True
5.0,RL,0.6578969359397888,True,False,-0.39902884839045083,10.137578126831214,-2.724609375,-1.6065306050826864,61.25976562500001,89.384765625,0.7407362183585584,ok,True
5.0,RR,0.15789693593978882,False,False,-0.23800158190696863,8.704957484295106,-0.791015625,-2.132309635291161,57.12890625,90.615234375,0.7407362183585584,ok,True
5.0200000000000005,FL,0.16949646174907684,False,False,-0.27026623048147236,7.121322354829307,-0.9667968750000001,-1.0299008748335,55.634765625,91.142578125,0.172598970917937,ok,True
5.0200000000000005,FR,0.6694964617490768,True,False,-0.44913947461393267,14.58081468015409,-2.373046875,-3.47320523393286,58.095703125,92.197265625,0.172598970917937,ok,True
5.0200000000000005,RL,0.6694964617490768,True,False,-0.3298236718814185,8.379823081849233,-2.98828125,-2.1794377209718987,61.962890625,90.0,0.172598970917937,ok,True
5.0200000000000005,RR,0.16949646174907684,False,False,-0.3278958941627108,11.664267379399242,-0.439453125,-1.5549655632878938,57.12890625,90.615234375,0.172598970917937,ok,True
5.04,FL,0.18109598755836487,False,False,-0.2748484375153376,9.24597307929909,-1.142578125,-1.0574931734037376,55.72265625,90.966796875,0.2252880308518522,ok,True
5.04,FR,0.6810959875583649,True,False,-0.4209884596673985,12.782873870388368,-2.28515625,-3.407461065064375,58.97460937500001,93.1640625,0.2252880308518522,ok,True
5.04,RL,0.6810959875583649,True,False,-0.2624922125645246,6.160689932385972,-3.33984375,-2.7086187225654137,62.9296875,91.142578125,0.2252880308518522,ok,True
5.04,RR,0.18109598755836487,False,False,-0.3994484508426238,14.435016892848822,-0.087890625,-1.0229183655894223,57.12890625,90.703125,0.2252880308518522,ok,True
5.0600000000000005,FL,0.1926955133676529,False,False,-0.34541128601336957,13.835853627298292,-0.9667968750000001,-1.0687846047126814,55.810546875,90.966796875,0.4826396273827631,ok,True
5.0600000000000005,FR,0.6926955133676529,True,False,-0.36107349048176973,9.671685025701905,-2.28515625,-3.3603318276102287,60.029296875,94.482421875,0.4826396273827631,ok,True
5.0600000000000005,RL,0.6926955133676529,True,False,-0.1810912150929378,2.46519868417562,-3.33984375,-3.224154172864151,63.80859375000001,92.37304687500001,0.4826396273827631,ok,True
5.0600000000000005,RR,0.1926955133676529,False,False,-0.45694997001398396,17.38433158737446,0.0,-0.5063291921884177,57.12890625,90.703125,0.4826396273827631,ok,True
5.08,FL,0.20429503917694092,False,False,-0.4540876930917287,19.189610424570702,-0.703125,-0.9989926720437983,55.8984375,90.966796875,0.5746407624828637,ok,True
5.08,FR,0.7042950391769409,True,True,-0.23845438490405213,4.805286195855784,-2.373046875,-3.3861827959991353,61.17187499999999,95.888671875,0.5746407624828637,ok,True
5.08,RL,0.7042950391769409,True,True,0.16465546239942397,0.0,-2.98828125,-3.5931309282779416,64.775390625,94.04296875,0.5746407624828637,ok,True
5.08,RR,0.20429503917694092,False,False,-0.5093638296987252,19.8805987438762,-0.087890625,-0.03599021251959715,57.12890625,90.703125,0.5746407624828637,ok,True
5.1000000000000005,FL,0.21589456498622894,False,False,-0.5534675625398083,25.259884247022264,-0.439453125,-0.7996272006981342,56.07421875,90.87890625,0.538691316321038,ok,True
5.1000000000000005,FR,0.7158945649862289,True,True,0.19676897999461318,0.0,-2.373046875,-3.305340533027948,62.314453125,97.470703125,0.538691316321038,ok,True
5.1000000000000005,RL,0.7158945649862289,True,True,1.233425379808195,0.0,-2.8125,-3.63510675357003,65.7421875,95.712890625,0.538691316321038,ok,True
