name,rotation_deg_s,max_roll_deg,max_pitch_deg,rms_roll_deg,rms_pitch_deg,stop_completed,failed,FL_peak_min_mm,FL_peak_p10_mm,FL_peak_median_mm,FL_peak_max_mm,FL_midcontact,FR_peak_min_mm,FR_peak_p10_mm,FR_peak_median_mm,FR_peak_max_mm,FR_midcontact,RL_peak_min_mm,RL_peak_p10_mm,RL_peak_median_mm,RL_peak_max_mm,RL_midcontact,RR_peak_min_mm,RR_peak_p10_mm,RR_peak_median_mm,RR_peak_max_mm,RR_midcontact
stable3_h0.023_p0.04_g0.3,17.104277216333948,6.145018365496483,2.821543494779602,2.803934099321978,1.2734467783572878,True,speed;max_tilt;rms_tilt;clearance;contact,3.10753937964817,3.255881018559472,12.268394209792751,30.02980907783883,0.26666666666666666,2.9996424866742046,3.1188931565196194,17.638527447298664,29.225741029160353,0.17333333333333334,5.567220815365516,5.687632613115359,13.140019415123348,30.608790434948148,0.16,4.45058841758781,4.621749758412678,21.877102366887783,35.66418771984737,0.19333333333333333
stable3_h0.023_p0.04_g0.33,16.59668603655409,6.326596210280352,2.9556241774052325,3.0651769561483024,1.3868943604931672,True,speed;max_tilt;rms_tilt;clearance;contact,2.9507476142489883,3.508854017637734,15.954286779128406,33.355065890568454,0.23777777777777778,2.173361927973377,2.2572438279774394,15.21845877008792,31.652486621799746,0.19777777777777777,4.206900473991141,4.775910034463064,15.574570002727752,32.31542622373332,0.13777777777777778,1.9928729251034103,2.65444131844061,18.14779284389433,36.76114060897636,0.25333333333333335
stable3_h0.023_p0_g0.3,17.740725249499015,5.681925831672255,2.6840956024825466,2.4695081155896177,1.1210772924879384,True,max_tilt;rms_tilt;clearance;contact,3.462087695274233,3.5190034500541265,12.797735558602001,27.54649427141456,0.26222222222222225,5.376248103854266,5.427169309907689,17.867735581124737,27.874876046961248,0.1288888888888889,6.361840268259505,6.416417476754331,13.127109312049523,26.76650688260326,0.13555555555555557,6.842553289296064,6.912827167655494,21.681984785316633,35.844856494719735,0.19111111111111112
stable3_h0.023_p0_g0.33,17.194888189191534,6.3166431978900155,2.855911054415158,2.8809769966967034,1.3023450527694465,True,speed;max_tilt;rms_tilt;clearance;contact,3.4431169532558106,3.5858110071094447,13.22169075879935,31.826620904895353,0.26,3.337579809623396,3.4874730789344817,18.11486493421779,30.337998630086602,0.1511111111111111,5.256175400906081,5.434751717365967,13.32383278777012,31.083463791973937,0.1622222222222222,3.805848843530288,4.059850158427267,21.685645858900703,36.773526988474856,0.19777777777777777
stable3_h0.024_p0.04_g0.3,16.234168883354616,6.68006000058821,3.0787204256597653,3.4287174562429805,1.5527138584971345,True,speed;max_tilt;rms_tilt;clearance;contact,3.046100783131077,3.7231426598648585,16.761251028927404,38.46917875754337,0.25555555555555554,1.1554011737278622,1.5870345962239913,25.536692267656218,32.604149239489125,0.3022222222222222,5.728124756669225,6.454042313262723,9.320221355535029,34.52422082988106,0.13555555555555557,1.4361630942956831,1.9302901939374364,23.00516583972078,40.0016076352549,0.26
stable3_h0.024_p0.04_g0.33,16.10222340758696,6.759965456032018,3.1375221647679483,3.5816028061943492,1.5898871834107902,True,speed;max_tilt;rms_tilt;clearance;contact,2.2902787738032155,3.787382539258943,12.569585121469418,40.20171598954203,0.24888888888888888,1.2036745384173715,1.319335889610459,21.232461678577632,36.03618580498285,0.27555555555555555,3.1916469964495264,4.918036309766507,12.60639322745994,34.91531651672096,0.14666666666666667,0.42163295011352075,1.0244145517132295,27.270646007888026,42.28315476176032,0.30444444444444446
stable3_h0.024_p0_g0.3,16.597115049865877,6.590216249689555,3.14539804868588,3.310450581406906,1.506954750848344,True,speed;max_tilt;rms_tilt;clearance;contact,2.936487312612923,4.377694140654938,13.976780046656586,38.60089100217002,0.27555555555555555,1.9617246345797792,2.527932943154368,22.249624674092274,32.629864592670685,0.23777777777777778,5.895138367659439,7.06030251397781,11.795784528963328,33.999127210427,0.11555555555555555,1.8504050645928443,3.3640399864370525,26.047661020008647,41.023820905370776,0.23777777777777778
stable3_h0.024_p0_g0.33,16.628386235159525,6.80380739319405,3.1289208902850265,3.2872543451168252,1.4695869559918924,True,speed;max_tilt;rms_tilt;clearance;contact,3.7871819735084586,4.600491329195111,15.188598159340739,40.28629005971236,0.2311111111111111,1.958876830619672,2.222653892624303,18.528538161512767,33.88087047430166,0.21777777777777776,5.012400347878039,5.533559637286883,15.053718367205075,34.73840401322473,0.13777777777777778,1.1742862688321511,1.4377945593164827,23.00106516334313,40.10295671238174,0.25555555555555554
