name,rotation_deg_s,roll_deg,pitch_deg,FL_peak_mm,FR_peak_mm,RL_peak_mm,RR_peak_mm,FL_midcontact,FR_midcontact,RL_midcontact,RR_midcontact
contactFalse-w0.08-l0-g0.3,18.49536993388496,2.3679688504194414,1.1161133727091261,14.811282930000704,17.48033502068949,16.953138272475666,20.64789127323222,0.18292682926829268,0.05555555555555555,0.05555555555555555,0.0975609756097561
contactFalse-w0.08-l0.04-g0.3,18.36118070925333,1.662381655160364,0.813923771849772,12.415779274728665,15.122577510945101,12.571235980616065,17.719455264569042,0.17073170731707318,0.013888888888888888,0.06944444444444445,0.0
contactFalse-w0.12-l0-g0.3,18.44553474383218,2.754801243480279,1.26392765999046,16.1427561452788,19.325079921881613,17.955522635620806,21.317273935596916,0.15853658536585366,0.08333333333333333,0.06944444444444445,0.10975609756097561
contactFalse-w0.12-l0.04-g0.3,18.349641269848156,1.5343820491870996,0.7273315812132779,11.920904635147917,14.367040512453425,12.074184359889536,17.329134119560212,0.17073170731707318,0.0,0.027777777777777776,0.0
contactTrue-w0.08-l0-g0.3,18.44287394591127,2.477947453321977,1.2102589373978307,15.23069357328518,18.038109874412953,17.16182667566437,20.5929788157635,0.18292682926829268,0.05555555555555555,0.06944444444444445,0.0975609756097561
contactTrue-w0.08-l0.04-g0.3,18.38034801442014,2.270509399457328,1.0827839829439534,14.35932415360016,17.805521286087888,15.28130724870432,19.664300354069596,0.2073170731707317,0.013888888888888888,0.06944444444444445,0.07317073170731707
contactTrue-w0.12-l0-g0.3,18.422006035689417,2.59766456571379,1.2630924472296268,15.582738115223407,19.03439197472934,17.577198855834325,21.52885458582175,0.18292682926829268,0.06944444444444445,0.06944444444444445,0.08536585365853659
contactTrue-w0.12-l0.04-g0.3,18.33151957716427,1.6262550495749284,0.7714505302151486,11.775387234537478,14.677661748613033,12.01827448872228,17.229291677936168,0.17073170731707318,0.0,0.05555555555555555,0.0
h0.022-w0.08-l0.02-g0.3,18.627436588006848,2.0364415053393943,1.043895273282829,15.31901596393738,18.39466912183314,14.007831661285861,20.462384336443623,0.14634146341463414,0.0,0.027777777777777776,0.024390243902439025
h0.022-w0.08-l0.02-g0.33,18.176302014273734,4.532563850585355,2.17251413541973,24.072196367734723,26.82911881782412,24.884487698120896,31.299365132512232,0.23170731707317074,0.06944444444444445,0.09722222222222222,0.14634146341463414
h0.022-w0.12-l0.02-g0.3,18.594393636384822,2.0148734693614587,1.0267440054458739,13.609417676709583,16.58200688835172,13.663792796314793,20.399217994555464,0.15853658536585366,0.013888888888888888,0.027777777777777776,0.0
h0.022-w0.12-l0.02-g0.33,18.477546675627792,4.4831527183778785,2.080561659228577,20.281272416439553,21.27419679898744,24.256662232634174,28.5166562660053,0.17073170731707318,0.05555555555555555,0.041666666666666664,0.07317073170731707
h0.023-w0.08-l0.02-g0.3,18.47074815697651,5.061502818837119,2.466546652923167,29.079033345875413,30.501819391546324,24.890551453239077,36.34652445959551,0.21951219512195122,0.027777777777777776,0.08333333333333333,0.0975609756097561
h0.023-w0.08-l0.02-g0.33,17.671028299172598,5.285298849830373,2.632900678948524,33.521723461707204,30.79973785607819,30.970935622535475,32.77995005534988,0.2073170731707317,0.1388888888888889,0.1111111111111111,0.17073170731707318
h0.023-w0.12-l0.02-g0.3,18.420120857152014,5.043273268283787,2.4706217444891005,29.35369729635072,29.663191177337893,25.321900476237793,36.25494032622908,0.2073170731707317,0.05555555555555555,0.09722222222222222,0.08536585365853659
h0.023-w0.12-l0.02-g0.33,18.652527482096264,2.9067611315505024,1.5044283357175956,15.683798705051041,17.62371933326741,16.677796874584143,25.117354112562584,0.15853658536585366,0.0,0.0,0.0
w0.04-l0-g0.3,18.494144103173394,1.8687074287473437,0.9368634129900325,13.96189062357906,13.11878517956961,14.52009130457134,18.680666644185294,0.17073170731707318,0.041666666666666664,0.027777777777777776,0.06097560975609756
w0.04-l0-g0.4,17.859592861091006,4.682122091525983,2.219600259026108,24.369526894203805,27.50477995223026,25.84220278934205,28.150632280984944,0.1951219512195122,0.08333333333333333,0.1111111111111111,0.13414634146341464
w0.04-l0.04-g0.3,18.390757177419665,1.7392583585266175,0.86415501577577,12.762473194176136,15.514380070917994,12.723923329348162,17.84759740131565,0.17073170731707318,0.0,0.05555555555555555,0.06097560975609756
w0.04-l0.04-g0.4,18.046898396385064,4.299725221440235,1.991198571795347,21.93983974399285,25.491244931100507,23.1966992104867,28.286569290480266,0.2073170731707317,0.06944444444444445,0.1111111111111111,0.15853658536585366
w0.08-l0-g0.3,18.49536993388496,2.3679688504194414,1.1161133727091261,14.811282930000704,17.48033502068949,16.953138272475666,20.64789127323222,0.18292682926829268,0.05555555555555555,0.05555555555555555,0.0975609756097561
w0.08-l0-g0.4,17.9437192486684,4.544618660717708,2.1279631038123945,24.08937139491134,24.544129741212497,25.158048789512144,28.472939073761076,0.23170731707317074,0.1111111111111111,0.1388888888888889,0.15853658536585366
w0.08-l0.04-g0.3,18.36118070925333,1.662381655160364,0.813923771849772,12.415779274728665,15.122577510945101,12.571235980616065,17.719455264569042,0.17073170731707318,0.013888888888888888,0.06944444444444445,0.0
w0.08-l0.04-g0.4,18.198266436486946,3.8895041424106678,1.8935595211123546,20.573869946025336,24.159307476641835,21.74874809680948,27.303013673159523,0.18292682926829268,0.05555555555555555,0.1111111111111111,0.13414634146341464
w0.12-l0-g0.3,18.44553474383218,2.754801243480279,1.26392765999046,16.1427561452788,19.325079921881613,17.955522635620806,21.317273935596916,0.15853658536585366,0.08333333333333333,0.06944444444444445,0.10975609756097561
w0.12-l0-g0.4,17.454451275037272,4.8019553747093155,2.3557720844468664,24.99341708437863,27.221405864840836,27.230349970984275,28.489061397872966,0.24390243902439024,0.1388888888888889,0.1388888888888889,0.1951219512195122
w0.12-l0.04-g0.3,18.349641269848156,1.5343820491870996,0.7273315812132779,11.920904635147917,14.367040512453425,12.074184359889536,17.329134119560212,0.17073170731707318,0.0,0.027777777777777776,0.0
w0.12-l0.04-g0.4,18.24250676336551,3.647140154334439,1.8260578052220966,19.106612670544752,22.840853385973826,20.88439163645655,26.75674281795471,0.18292682926829268,0.05555555555555555,0.1111111111111111,0.13414634146341464
