name,safety,rotation_deg_s,roll_deg,pitch_deg,moving_fraction,FL_peak_min_mm,FL_peak_p10_mm,FL_peak_median_mm,FL_peak_max_mm,FL_midcontact,FR_peak_min_mm,FR_peak_p10_mm,FR_peak_median_mm,FR_peak_max_mm,FR_midcontact,RL_peak_min_mm,RL_peak_p10_mm,RL_peak_median_mm,RL_peak_max_mm,RL_midcontact,RR_peak_min_mm,RR_peak_p10_mm,RR_peak_median_mm,RR_peak_max_mm,RR_midcontact
fast_p0.6_h0.025_none,tilt,1.9654044497522387,21.339109109112947,10.967297378957308,0.24222222222222223,-2.292516402067627,-1.6000269393316993,8.632180140738953,49.36164862216608,0.7222222222222222,-0.8242809262300338,-0.6436939912876318,0.07865374848197576,17.663590672705304,0.9259259259259259,0.45817584959330704,2.8415842698745504,12.375217950999524,24.576928341385194,0.6666666666666666,-0.39675243423202555,-0.35207499257314046,0.17503024985174306,52.05848988953469,0.8611111111111112
fast_p0.6_h0.025_transfer,tilt,-0.7484863739786976,14.006383508931547,6.268157179556212,0.2311111111111111,-2.5109755433332137,-0.2428849968514557,8.829477189075577,12.507161776090996,0.9714285714285714,-0.036359695343064075,-0.032352144157520024,-0.016321939415343822,20.63533405580364,1.0,0.001054064959753187,1.9859409989737904,9.925488735029939,34.3534314943922,0.6296296296296297,-0.03484700120517589,0.48411118592800173,2.559943934460712,34.45854259481442,0.8285714285714286
fast_p0.6_h0.02_none,tilt,0.46619090752003733,18.318703096089436,6.2357004726324625,0.03333333333333333,,,,,0.5555555555555556,,,,,,,,,,,,,,,1.0
fast_p0.6_h0.02_transfer,tilt,1.8299078105779139,12.795522270868423,9.242612813101518,0.30444444444444446,-0.5534723480064597,-0.38241175166137287,6.2465562704612765,21.20832139242186,0.8222222222222222,0.27474879803747465,0.9558537828291154,6.717137354663306,12.369360833368214,0.7222222222222222,-1.0192742084829503,-0.7094498829328308,2.5302283222273947,19.364091445138712,0.7222222222222222,-2.7009521314433695,-2.2148488756000098,-0.5383808830046934,1.4965971433263183,0.9333333333333333
fast_p0.8_h0.025_none,tilt,-0.019793883766794855,0.3865432025674284,0.10746990073030639,0.0,,,,,,,,,,,,,,,,,,,,
fast_p0.8_h0.025_transfer,tilt,0.013119380203128961,1.6639953207730986,0.6324175724926109,0.0,,,,,,,,,,,,,,,,,,,,
fast_p0.8_h0.02_none,ok,18.22771108187392,10.695688280687813,3.763391732959822,1.0,12.043925725016953,13.76765204013997,15.259792350847718,15.435054141211324,0.03597122302158273,23.83012853953091,24.94038131508855,25.841098023528595,25.899469848564152,0.015151515151515152,36.37554067342287,36.984125391729044,37.04063828023886,37.2837610779107,0.0,10.158206028347132,10.251944327723459,10.316626366421563,11.834309968111585,0.7194244604316546
fast_p0.8_h0.02_transfer,ok,13.649575518721333,8.500750185589906,3.949919208493265,1.0,2.8517674084795677,2.8535766691496005,2.8882061878489766,4.557465141239114,0.2014388489208633,1.3356606917890799,1.4608026926663347,1.4708007615731913,2.6862528816400144,0.5378787878787878,39.53798442676185,39.54080495243865,39.575279143680255,43.88316985995286,0.08333333333333333,40.06434734992717,43.02177950877432,44.797407024265254,44.885133386661586,0.19424460431654678
fast_p1.0_h0.025_none,ok,15.598290387745447,9.675470818981974,4.144959033395305,1.0,0.8781801892481372,0.9228639803632227,1.124158061475134,1.3053729779248513,0.5777777777777777,23.51524062410916,23.534727026284223,23.67353788531517,23.906668778259522,0.2,46.034027813151226,46.48591338685929,46.82700711452418,47.625997900767686,0.0,48.89796005800813,50.076891284814465,50.82884443289701,51.92108814021335,0.2
fast_p1.0_h0.025_transfer,ok,12.92737592117486,9.981012400796642,4.522403684267905,1.0,0.11333525509086423,0.11821331574259214,0.12348487828238788,0.8765912507290794,0.8666666666666667,6.919344467176305,7.310674468855409,7.493101740117853,8.725835879875763,0.4740740740740741,44.29496387937529,44.505123414632365,44.60276590399157,46.27541211010312,0.0,56.40289957720104,57.58210728912226,57.89803673903786,58.661577357566884,0.06666666666666667
