time,nom_z_fl,nom_z_fr,nom_z_rl,nom_z_rr,cmd_z_fl,cmd_z_fr,cmd_z_rl,cmd_z_rr,clearance_mm_fl,clearance_mm_fr,clearance_mm_rl,clearance_mm_rr,roll,pitch
0.0,0.07695202588925185,0.07695202595118825,0.07695202806445438,0.07695202812570327,0.07695202998089143,0.07695203004282787,0.076952032156094,0.07695203221734292,-0.6780741704275548,-0.6780978923687786,-0.6713315782600136,-0.6713591690387377,0.00011103904951463543,0.005739963551747414
0.02,0.07695202588925185,0.07695202595118825,0.07695202806445438,0.07695202812570327,0.07695202998089143,0.07695203004282787,0.076952032156094,0.07695203221734292,-2.006282977384456,-2.0069966771513252,-1.8223001474889713,-1.8231250465028104,0.0010721636133061844,0.06365291312385017
0.04,0.07695202588925185,0.07695202595118825,0.07695202806445438,0.07695202812570327,0.07695202998089143,0.07695203004282787,0.076952032156094,0.07695203221734292,-2.3122230436201407,-2.314017668229758,-2.0840718843441985,-2.085956286602384,0.001741125352649178,0.05510684849193018
0.06,0.07695202588925185,0.07695202595118825,0.07695202806445438,0.07695202812570327,0.07695202998089143,0.07695203004282787,0.076952032156094,0.07695203221734292,-2.1610496767707454,-2.1639804257628374,-2.102732576143972,-2.1055104132425804,0.00222869755453647,0.0021941301623801326
0.08,0.07695202588925185,0.07695202595118825,0.07695202806445438,0.07695202812570327,0.07695202998089143,0.07695203004282787,0.076952032156094,0.07695203221734292,-1.9101691226952253,-1.91406230296437,-2.077818518056128,-2.0813054948840835,0.002611472260148736,-0.054784540450651266
0.1,0.07695202588925185,0.07695202595118825,0.07695202806445438,0.07695202812570327,0.07695202998089143,0.07695203004282787,0.076952032156094,0.07695203221734292,-1.714522795159986,-1.719109243110358,-2.0527865346184164,-2.0567915020988683,0.002896982962903531,-0.09494854401114505
0.12,0.07695202588925185,0.07695202595118825,0.07695202806445438,0.07695202812570327,0.07695202998089143,0.07695203004282787,0.076952032156094,0.07695203221734292,-1.61090004462398,-1.6158790964122052,-2.023572719419574,-2.027912665461415,0.0030787729464751843,-0.11129958447232549
0.14,0.07695202588925185,0.07695202595118825,0.07695202806445438,0.07695202812570327,0.07695202998089143,0.07695203004282787,0.076952032156094,0.07695203221734292,-1.5777661388821362,-1.5828874835198645,-1.984991411820694,-1.9895057431716796,0.0031546702696024814,-0.10862970909206185
0.16,0.07695202588925185,0.07695202595118825,0.07695202806445438,0.07695202812570327,0.07695202998089143,0.07695203004282787,0.076952032156094,0.07695203221734292,-1.583039274537186,-1.5881009943776379,-1.9433857258802782,-1.9479362147661987,0.0031461404478621557,-0.09638716444636827
0.18,0.07695202588925185,0.07695202595118825,0.07695202806445438,0.07695202812570327,0.07695202998089143,0.07695203004282787,0.076952032156094,0.07695203221734292,-1.6048755280113902,-1.6097450949245222,-1.9040422151139351,-1.908513746869185,0.0030809028977134456,-0.08145560944864264
0.2,0.07695202588925185,0.07695202595118825,0.07695202806445438,0.07695202812570327,0.07695202998089143,0.07695203004282787,0.076952032156094,0.07695203221734292,-1.6302784712358305,-1.6348902294663834,-1.8697559219039601,-1.874076496422912,0.0029852309363790413,-0.0672183310358548
0.22,0.07695202588925185,0.07695202595118825,0.07695202806445438,0.07695202812570327,0.07695202998089143,0.07695203004282787,0.076952032156094,0.07695203221734292,-1.6522683238050715,-1.656611975692994,-1.8426725372965407,-1.8468106109976006,0.0028834415665631393,-0.055787788776028746
0.24,0.07695202588925185,0.07695202595118825,0.07695202806445438,0.07695202812570327,0.07695202998089143,0.07695203004282787,0.076952032156094,0.07695203221734292,-1.6674607564835173,-1.6715607384538491,-1.8245337218101565,-1.8284935686347787,0.002794022641295808,-0.04862927837514551
0.26,0.07695202588925185,0.07695202595118825,0.07695202806445438,0.07695202812570327,0.07695202998089143,0.07695203004282787,0.076952032156094,0.07695203221734292,-1.674795026217781,-1.6787002884120494,-1.8162433108716327,-1.8200643522419402,0.002726507247158733,-0.045594482979677387
0.28,0.07695202588925185,0.07695202595118825,0.07695202806445438,0.07695202812570327,0.07695202998089143,0.07695203004282787,0.076952032156094,0.07695203221734292,-1.676330022999443,-1.6801122337066903,-1.8157719285916036,-1.8194955639422201,0.0026819168472378176,-0.04555693201365322
