roll_deg,pitch_deg,contact_center_speed_m_s,j1_correction_deg,adaptive_scale,time_s,leg,phase,swing,middle_swing,target_phase,clearance_mm,forward_from_j1_mm,front_edge_from_j1_mm,touchdown,force_n,j1_target,j1_actual,j2_target,j3_target,tilt_deg,safety,moving
0.09492220327306426,0.20061988823871457,0.0,0.0,1.0,5.0,FL,0.6094356775283813,True,True,0.6427690108617147,-0.6838581390252868,-19.266929804876444,0.5396673897807425,True,4.253590600956375,-4.21875,-5.01952959522503,54.404296875,101.6015625,0.20061988823871457,ok,True
0.09492220327306426,0.20061988823871457,0.0,0.0,1.0,5.0,FR,0.10943567752838135,False,False,0.14276901086171456,-3.535646785937759,-27.699235580796586,-7.944934188216031,True,32.347290357958116,-2.373046875,-1.363911663077227,51.240234375,92.724609375,0.20061988823871457,ok,True
0.09492220327306426,0.20061988823871457,0.0,0.0,1.0,5.0,RL,0.10943567752838135,False,False,0.14276901086171456,-2.509795421275513,-33.314641382690056,-13.609272852962189,True,22.790445952198738,-1.40625,0.011023911297532045,52.822265625,92.021484375,0.20061988823871457,ok,True
0.09492220327306426,0.20061988823871457,0.0,0.0,1.0,5.0,RR,0.6094356775283813,True,True,0.6427690108617147,0.646722434877893,-32.94137062914114,-13.188784795372282,False,0.0,-5.09765625,-5.89659879392274,59.0625,101.07421875,0.20061988823871457,ok,True
-0.23662909565159537,0.3557894059854715,0.019988945860059178,0.0,1.0,5.0200000000000005,FL,0.6261023283004761,True,True,0.6594356616338094,-0.4401427991073195,-19.74819055322486,0.06200359647541376,False,2.839530139613371,-3.6035156249999996,-5.1293685852364925,55.1953125,102.65625000000001,0.3557894059854715,ok,True
-0.23662909565159537,0.3557894059854715,0.022179813755975455,0.0,1.0,5.0200000000000005,FR,0.12610232830047607,False,False,0.1594356616338093,-3.866588834284004,-28.49764540068027,-8.745822572756886,False,33.409826172004514,-2.021484375,-1.2276817882317483,51.32812500000001,92.4609375,0.3557894059854715,ok,True
-0.23662909565159537,0.3557894059854715,0.007851218850988734,0.0,1.0,5.0200000000000005,RL,0.12610232830047607,False,False,0.1594356616338093,-2.759174887748725,-33.6026403936509,-13.898161992243121,False,24.44958838448741,-1.142578125,0.3190614723374319,52.55859375,91.7578125,0.3557894059854715,ok,True
-0.23662909565159537,0.3557894059854715,0.08889098269452542,0.0,1.0,5.0200000000000005,RR,0.6261023283004761,True,True,0.6594356616338094,2.6297820525803814,-35.23622966009818,-15.488802664694006,False,0.0,-4.482421875,-5.873985595782638,59.501953125,102.3046875,0.3557894059854715,ok,True
-0.6548541481759269,0.5331641067991614,0.04497888874051975,0.0,1.0,5.04,FL,0.6427689790725708,True,True,0.6761023124059041,0.03043838571401697,-19.949606812259386,-0.1361245862269449,False,0.0,-2.900390625,-5.013151042641337,56.07421875,103.62304687500001,0.6548541481759269,ok,True
-0.6548541481759269,0.5331641067991614,0.01661408097181672,0.0,1.0,5.04,FR,0.1427689790725708,False,False,0.17610231240590402,-4.123272535716191,-28.7145982520971,-8.962537924204877,False,34.14881687599852,-1.669921875,-1.1617599437123929,51.416015625,92.28515625,0.6548541481759269,ok,True
