# time,phase,fl_z_mm,fr_z_mm,rl_z_mm,rr_z_mm,roll,pitch,x
5.200000000000000178e-01,0.000000000000000000e+00,-1.693011828143603514e+00,-1.695236446446868328e+00,-1.809420036708590196e+00,-1.811227809471741779e+00,1.833921946971661318e-03,-3.638089174566720707e-02,-3.003066724504128981e-03
5.400000000000000355e-01,0.000000000000000000e+00,-1.692953353175097320e+00,-1.695565340634565210e+00,-1.808943180960743247e+00,-1.811222113856064686e+00,2.044049083072612197e-03,-3.627025515474864570e-02,-3.003032170926901636e-03
5.600000000000000533e-01,0.000000000000000000e+00,-1.692855050560403196e+00,-1.695894269088799700e+00,-1.808517293850103069e+00,-1.811293668628838338e+00,2.270160404564256895e-03,-3.617831871132900362e-02,-3.002904116378981355e-03
5.799999999999999600e-01,0.000000000000000000e+00,-1.693470720519452133e+00,-1.695523519654344780e+00,-1.808530748003089217e+00,-1.811057010217505203e+00,1.757834080170566802e-03,-3.614321249919266038e-02,-3.002792543402313385e-03
5.999999999999999778e-01,0.000000000000000000e+00,-1.693931881317244148e+00,-1.695137456990892355e+00,-1.808768751918585327e+00,-1.810757452050719474e+00,1.449057332482071078e-03,-3.620285057134549345e-02,-3.002753543441342640e-03
6.199999999999999956e-01,0.000000000000000000e+00,-1.693915066873979303e+00,-1.695023957030403317e+00,-1.808883945897354240e+00,-1.810721297171524746e+00,1.455734013185884220e-03,-3.631690423088380221e-02,-3.002818457486905544e-03
6.400000000000000133e-01,0.000000000000000000e+00,-1.693633799662787265e+00,-1.695099780224813779e+00,-1.808855755611883609e+00,-1.810901720653297575e+00,1.648465457966614501e-03,-3.644912746440012730e-02,-3.002971969990510335e-03
6.600000000000000311e-01,0.000000000000000000e+00,-1.693244673004079548e+00,-1.695292579057285698e+00,-1.808725679944962028e+00,-1.811198679884266971e+00,1.935463667231572408e-03,-3.658035098523586964e-02,-3.003168942179989479e-03
6.800000000000000488e-01,0.000000000000000000e+00,-1.692845731973789070e+00,-1.695537101661585888e+00,-1.808544478295422753e+00,-1.811524398779317035e+00,2.245892293358995283e-03,-3.670138932770034002e-02,-3.003366122172659511e-03
7.000000000000000666e-01,0.000000000000000000e+00,-1.692494334675113343e+00,-1.695780849804057855e+00,-1.808355613187748290e+00,-1.811818851768076000e+00,2.530139088174751614e-03,-3.680900034942903576e-02,-3.003533583428706893e-03
7.199999999999999734e-01,0.000000000000000000e+00,-1.692219071449150514e+00,-1.695988544840994150e+00,-1.808189817259602039e+00,-1.812049441501859093e+00,2.758939312065253162e-03,-3.690327004617827145e-02,-3.003656376310311418e-03
7.399999999999999911e-01,0.000000000000000000e+00,-1.692028170584988889e+00,-1.696141985123644114e+00,-1.808064458307282685e+00,-1.812205315969841246e+00,2.920347981913816102e-03,-3.698590729749789974e-02,-3.003731672414937902e-03
7.600000000000000089e-01,0.000000000000000000e+00,-1.691916174946447970e+00,-1.696236953018861904e+00,-1.807985323707357539e+00,-1.812290498427231222e+00,3.015471526111326850e-03,-3.705917915302450738e-02,-3.003764503318124071e-03
7.800000000000000266e-01,0.000000000000000000e+00,-1.691869503626916682e+00,-1.696278995579177051e+00,-1.807949558074818608e+00,-1.812317602381749548e+00,3.053911325390510842e-03,-3.712529432667691781e-02,-3.003763795372813624e-03
