time_s,x_m,y_m,z_m,yaw_rad,roll_deg,pitch_deg,safety
55.06,0.07093203474642665,0.0006181174418296749,0.21544284906416486,-2.8132240388725083,0.2734549850777407,-0.23488549760508795,ok
55.08,0.06990153889566196,-0.0007470274386551928,0.2159463592174426,-2.8042145816407436,0.2082258551237755,-0.16980789278142583,ok
55.1,0.06895514405449009,-0.0017200153243853338,0.21674303233597475,-2.793031416954187,0.23563104210642827,-0.10392464401154329,ok
55.120000000000005,0.06810584522094215,-0.002296035907586429,0.21769609264985332,-2.7799090533017687,0.36109541002361906,-0.020939741527415078,ok
55.14,0.06735886207404725,-0.002480309123473586,0.21867392562849566,-2.7651775643789622,0.6000983991595762,0.08455685272008523,ok
55.160000000000004,0.06670578189654547,-0.002262236904847994,0.21959291901254024,-2.7495358434667647,0.9378089621549557,0.22263812415380282,ok
55.18,0.06609523877414343,-0.0016381054088685212,0.22035859820401404,-2.7338351856444087,1.383594608537437,0.4014999705236349,ok
55.2,0.0654409424842221,-0.00063518563079703,0.2209291725175765,-2.718292358926048,1.9478654468831904,0.6053059225361259,ok
55.22,0.06463735779604607,0.0007178158672712627,0.22129051031832553,-2.703360438529361,2.58888251053044,0.8386701059759679,ok
55.24,0.06358998366974287,0.002383485465731733,0.22149135113071422,-2.6892906184387306,3.2554180137600324,1.1023797785701674,ok
55.26,0.062448021273238924,0.004384541905182408,0.22186869189011943,-2.67781585807318,3.4951357417068305,1.2978582694870962,ok
55.28,0.06160358480694082,0.006628806666035681,0.22266854771460037,-2.6698108356376062,3.5049155688257603,1.3369922320683025,ok
55.300000000000004,0.06136296869132972,0.008852321804162105,0.2237711124412037,-2.6636326099425887,3.4479004204132218,1.2561820214037316,ok
55.32,0.0618496927571332,0.010738982362432183,0.2251159584984982,-2.658163257789039,3.2692402292596943,1.054129882518228,ok
55.34,0.06312590301493959,0.012149198403612288,0.22683371609839922,-2.653076916121033,2.9442903702108283,0.6862254355227789,ok
55.36,0.06507353837441383,0.013088443204896718,0.22859245526159522,-2.6485089434154605,2.4387870215611143,0.24374411156465264,ok
55.38,0.06743070313749787,0.013533896642735296,0.2297444754830986,-2.645776517397754,1.65249179611736,-0.18594991125306234,ok
55.4,0.0700688137311428,0.013384416872970614,0.230521203826514,-2.643379254044884,1.1020035755937083,-0.49669132359666246,ok
55.42,0.07254016524329936,0.012709534746959121,0.23127662404622906,-2.6403823733579217,0.76087387790219,-0.5770166834451644,ok
55.44,0.07450631241793897,0.011538265427143405,0.23180435227210083,-2.63559272861164,0.4283090786067865,-0.5708753437219634,ok
55.46,0.07594739353535036,0.009997549578837058,0.23216653230013803,-2.6277620788165197,0.05266661087103488,-0.5414571299515013,ok
55.480000000000004,0.07690303905690131,0.008329106865429307,0.23240243898734234,-2.6169450826149365,-0.3045245518756378,-0.4988481432899511,ok
55.5,0.07737109124791067,0.0067297453890608205,0.23249001769754798,-2.6047496698801966,-0.5157908822464526,-0.45052406714774756,ok
55.52,0.07729479559119261,0.0053211860433467414,0.2324673360231448,-2.5924265441044,-0.6070380825407748,-0.4226127472508035,ok
55.54,0.07681304972403716,0.004179738884303168,0.23238082879742689,-2.580442040302717,-0.5993098867483696,-0.4011051800011205,ok
55.56,0.07607913344594898,0.0033842849885782136,0.23212223816347383,-2.56944946770771,-0.5165813195776482,-0.3525940934087494,ok
55.58,0.07521341341834956,0.002969514060093277,0.23165542720526877,-2.5598481622691667,-0.3724234384092322,-0.3033906848879064,ok
55.6,0.07434982239972796,0.002912722156902154,0.2309573010921709,-2.5516809285284774,-0.184285133513266,-0.2687888854504266,ok
55.620000000000005,0.0735913010569539,0.003096519597263956,0.2299925423597243,-2.544843071399601,-0.0194446363423044,-0.2142861386624928,ok
55.64,0.07303683967966915,0.0033638505664747263,0.22887738550062897,-2.539588658583619,0.06799240914920231,-0.14438669180018618,ok
