time_s,x_m,y_m,z_m,yaw_rad,roll_deg,pitch_deg,safety
4.22,0.08649579753437103,0.012420082475259941,0.21998327663650885,0.12831098586961806,-1.4993413790645096,1.0830252486276495,ok
4.24,0.08557699491493234,0.007975575480719387,0.2193671766214864,0.13931252319051649,-0.41659337391533785,0.6353939383619361,ok
4.26,0.08404503766403351,0.0035722788461814217,0.21845501706121356,0.15429106208082968,0.724668893564144,0.09148090471235344,ok
4.28,0.08199498290241813,-0.00014575571928683237,0.2183003412010809,0.16585927985757112,1.4545090160539658,-0.21138859403427138,ok
4.3,0.0799812605462682,-0.0025282935772090592,0.21886898103261074,0.1722152936947821,1.876548263773003,-0.3493423035269833,ok
4.32,0.0784765880169864,-0.0034932951109242667,0.21944491083299583,0.17673120701877187,1.9553555090372283,-0.5083105325380894,ok
4.34,0.0776259006595299,-0.0029757813626878765,0.2194717582661216,0.18092240069093599,1.7323582017745713,-0.6291038533300422,ok
4.36,0.07726103726006456,-0.001237564810470309,0.21895487459122043,0.18646630661799007,1.3843196320077724,-0.5781458709608014,ok
4.38,0.07731211850597602,0.0013134079110518442,0.21803115291506175,0.1937050010898224,0.9440090836897251,-0.4136276543819524,ok
4.4,0.07772279730171516,0.00410217594105404,0.21701332738465906,0.20049531464798878,0.4942050583840115,-0.24387334974674188,ok
4.42,0.07843935571932045,0.006599052927292827,0.21611732300902775,0.20471139111262263,0.04547323641715434,-0.11786440442225278,ok
4.44,0.07930528446851062,0.008658849742910694,0.21558108502830847,0.2075720375051333,-0.3592053997660761,-0.08246533742008931,ok
4.46,0.08022802644037857,0.01032775825145547,0.215469055853375,0.2106248908181967,-0.6982865464670424,-0.12577208111543606,ok
4.48,0.08107985968659451,0.011667323401938252,0.2157428621860415,0.21485733185662662,-0.9327612284721554,-0.18612909741328257,ok
4.5,0.0817714176206572,0.012725632873396347,0.21628454070444236,0.22154123366107134,-1.0426349578647847,-0.22191626309488646,ok
4.5200000000000005,0.08228739777718602,0.013542114873496715,0.21703578825496395,0.23099659100179876,-1.0381647552477435,-0.2158104479083858,ok
4.54,0.08264686208000627,0.014111587831780235,0.21790246057954724,0.2429677036307922,-0.9202164775168232,-0.1617546984359776,ok
4.5600000000000005,0.08286322044698169,0.014417129348716232,0.2188075946361856,0.2569589236053805,-0.7058393029901722,-0.05960847810218162,ok
4.58,0.0829768305591686,0.014458539095421354,0.2196531655526102,0.2723748910154609,-0.4091648047013119,0.08270902064181414,ok
4.6000000000000005,0.08304318278834677,0.01421336514964636,0.22040902605835336,0.28857354916891026,-0.030914329328029802,0.24757085504488696,ok
4.62,0.08314646521563007,0.01368229723977994,0.22107097922613375,0.3047216019269281,0.4148386023191819,0.4254426344347954,ok
4.64,0.08338344512264045,0.012866163681319775,0.2216165915305573,0.320248624626267,0.9278664547265277,0.6171726562142433,ok
4.66,0.08380544127144282,0.01178643029256854,0.2220343858295506,0.3348712549798888,1.4856187806915375,0.8293792246452273,ok
