time_s,x_m,y_m,z_m,yaw_rad,roll_deg,pitch_deg,safety
12.44,0.0591955330609627,-0.0030719516305882377,0.2160432037271174,2.4577624100231388,-0.6983352618375248,-0.166837335026078,ok
12.46,0.05925775123743263,-0.0006928694573433564,0.21514142184891027,2.453106420050849,-0.3735011511396654,0.023456616432594828,ok
12.48,0.05907924904355288,0.001411994033999997,0.21481196726166393,2.4476768489128333,-0.17192164183376288,0.12492054171342898,ok
12.5,0.05873678235222075,0.0031926908037894497,0.21501234322075097,2.440632381461644,-0.05839985072848097,0.1834243397973251,ok
12.52,0.05829987978373431,0.004646229915740888,0.21561000585902446,2.431250160874456,-0.02658419537224463,0.22412135991953425,ok
12.540000000000001,0.057801355664030614,0.005755937230534233,0.2164726277197043,2.4197523366133953,-0.07317553900968568,0.28734308072281994,ok
12.56,0.0572584384297141,0.006481017469824615,0.21744997399726587,2.406320525456493,-0.23367114879274245,0.3711969016972189,ok
12.58,0.05667760205731292,0.006830487640460528,0.218418293241816,2.3913246670474915,-0.5018288287463967,0.4852456099858462,ok
12.6,0.056008002461079044,0.006804036132867383,0.21929882854313293,2.3756532507265424,-0.8571232487398284,0.6373046711504801,ok
12.620000000000001,0.055204878738659764,0.006432367043482379,0.22003880596319364,2.359745075782906,-1.3114300360536488,0.8240809914067105,ok
12.64,0.05420325398630369,0.005755614837921572,0.22056702550061585,2.3442070809862607,-1.8719899242886229,1.0408549101392524,ok
12.66,0.052899359088678495,0.004824516388081512,0.22091447310067708,2.3294657275847888,-2.5089278445913834,1.279841853602341,ok
12.68,0.05123724797168185,0.003725454211940732,0.22106745692581514,2.3154450960407598,-3.2234155862117926,1.5472739716979238,ok
12.700000000000001,0.04929739751285082,0.0024211920896095307,0.2213173634528601,2.303602393121451,-3.553572315614372,1.772304592236039,ok
12.72,0.04751823944019959,0.0007545184504372249,0.22211171694874993,2.2950407095362397,-3.5953686920691825,1.8316845070967613,ok
12.74,0.046277870476396823,-0.001124663123894365,0.22327871887696094,2.2884558763504286,-3.56604413336771,1.743653524836093,ok
12.76,0.04585532155742015,-0.003000663121946384,0.224687527119861,2.2825895113326493,-3.400690790560866,1.5344378393885822,ok
12.780000000000001,0.0463799360659613,-0.004729108056267084,0.2264991484390519,2.276808945280081,-3.078141690877274,1.1665174131270946,ok
12.8,0.04774844195878862,-0.006203151000892748,0.22850731934860496,2.271577578160921,-2.5093547658162985,0.6606738987165229,ok
12.82,0.04970424993881278,-0.007339990757675538,0.2298619095564087,2.268750123456626,-1.669696789174936,0.1917349958396624,ok
12.84,0.05218596252818093,-0.00800563141293649,0.23059319602856146,2.2666259871589767,-0.989478649332157,-0.1573829386714457,ok
12.86,0.05481162416805666,-0.00808685291001067,0.23119671640410405,2.263506400253349,-0.5889218095327485,-0.25109820503108704,ok
12.88,0.0572231379592614,-0.007519252463907403,0.2316289667424881,2.2582106134731865,-0.18296422095704318,-0.22801118619525468,ok
12.9,0.059328107540296326,-0.006498011395250927,0.23194201731862688,2.2500754552790165,0.2412668653849363,-0.1894230312611724,ok
12.92,0.06101678087641307,-0.005203372596659525,0.23214860573140977,2.239335936688326,0.5859163927432899,-0.14399919476569836,ok
12.94,0.06212308646473695,-0.0037677555507312915,0.23225499975498215,2.2272819543965627,0.7964107466176495,-0.10821483979580553,ok
12.96,0.0626121078075603,-0.002324360730835834,0.23222410855122297,2.2149921410523263,0.908603605109594,-0.07938596098436558,ok
12.98,0.06262979531033905,-0.0010535791116651205,0.23207001699975888,2.203188033845533,0.9224606735252545,-0.048974269770521654,ok
13.0,0.06227519147779269,-5.334710009169408e-05,0.23175763925410822,2.192201166921767,0.8465079402617323,0.004368797700585207,ok
13.02,0.06164260661202109,0.0006313141808776679,0.23122485336781157,2.1827294453463164,0.6930768139573035,0.06314789697922951,ok
13.040000000000001,0.06089508287016751,0.0009565249245496177,0.2304212130766039,2.174836992700105,0.5052207930667403,0.11139902396553061,ok
13.06,0.06016035199643073,0.0009772065120113305,0.22941093865390455,2.16819700628214,0.3521385730552422,0.16547504597600005,ok
13.08,0.05957583783989136,0.0008232547155729575,0.22827120220867558,2.1628293546670707,0.31120657592048323,0.2415404229202983,ok
13.1,0.05923031639788242,0.00048464663669653407,0.22692888053925386,2.1566572435162294,0.52982767961252,0.31891229606257754,ok
13.120000000000001,0.059097915405826706,0.00015634973019348908,0.2256300120500751,2.148215938959387,0.8608477032595206,0.4126146928432922,ok
13.14,0.059086775369147304,-2.7313353960528586e-05,0.22452868733024856,2.1384573559165347,1.1062539320207183,0.510436808936854,ok
13.16,0.059416602315177994,2.6265723241269967e-05,0.22340306675346222,2.1263471448726907,1.1062837027631258,0.6402458540533823,ok
13.18,0.06024662748309542,0.0002675629746659025,0.22240340453653,2.111910878259842,1.0472402719200964,0.7228701735018451,ok
