time_s,x_m,y_m,z_m,yaw_rad,roll_deg,pitch_deg,safety
16.84,0.05412462573437149,0.010182245171934778,0.21410153008245714,-0.4373174245433378,2.0204710467587423,1.0353595510453213,ok
16.86,0.05223325010523033,0.007969336292037138,0.21425729575242286,-0.4277416459062159,2.53517326991364,1.2942033967523894,ok
16.88,0.050414087877406755,0.00572375085458128,0.21452194009404701,-0.41754405208973044,2.973254674147527,1.5503875706927017,ok
16.9,0.0487400448548157,0.0034775016776085327,0.214855335877227,-0.4073520907386921,3.3323522683795495,1.7235944994060124,ok
16.92,0.04723992483131473,0.0013312590925144835,0.21519368951758922,-0.3981732766305812,3.526044350993967,1.802950272154672,ok
16.94,0.0458481655643207,-0.0006082777991655158,0.21548153226265457,-0.3912406258496594,3.477989705159884,1.8222497158092534,ok
16.96,0.04443838490908379,-0.002198443796883276,0.2156825801281262,-0.38731261676793666,3.2573846024508355,1.783696109411881,ok
16.98,0.042938481194824185,-0.00331145770601482,0.21574622526116116,-0.3863985892049198,2.9156439643950627,1.6883869538273535,ok
17.0,0.04130794313972053,-0.003814833323927652,0.21575806527433072,-0.3880928963841716,2.4066378784201685,1.5008998603243955,ok
17.02,0.039504233955793805,-0.003542290568983586,0.21596065774060605,-0.3918710131291644,1.7091714055979672,1.1424948114871467,ok
17.04,0.03749166473872263,-0.0024055426479170916,0.21650082691103442,-0.39710728134644585,0.8305123647793586,0.5769320649701476,ok
17.06,0.03531974687511412,-0.00034771443918490963,0.2173233946750532,-0.402958697724245,-0.19869038831423408,-0.19764421861131054,ok
17.080000000000002,0.03299839587148079,0.002411694640495135,0.2182612845179019,-0.4080832548467977,-0.9466055501702777,-0.8619533132992858,ok
17.1,0.030999640621565294,0.005079535085224657,0.219930015097287,-0.4115793416080923,-1.3419849081966262,-1.158702620098198,ok
17.12,0.029731154272911176,0.007299124485545039,0.22195937482048309,-0.4136786540514272,-1.6921630809862573,-1.2557641417000631,ok
17.14,0.029202086595162602,0.009045610465022683,0.2239797209570343,-0.4141842752277261,-1.908977349040247,-1.188770739802801,ok
17.16,0.02926122945626977,0.010376679051952734,0.22569542721955332,-0.41372926413564093,-1.919091131771015,-1.0129444657520033,ok
17.18,0.02999648516103011,0.011328957450804283,0.22708254954110185,-0.41254645855878347,-1.8240925306750047,-0.8247457460782813,ok
17.2,0.03133857162088437,0.01195142293805844,0.22820038998354106,-0.4100448155461293,-1.7542835347070918,-0.6112844068382731,ok
17.22,0.033300917654965165,0.012249660896799366,0.22905580948368046,-0.4048421525338653,-1.6899182139571913,-0.38159637805065433,ok
17.240000000000002,0.035797672957392196,0.012132028567511305,0.22972394810010774,-0.3958477637457986,-1.6127312900983548,-0.18406604692856932,ok
17.26,0.038562905747346415,0.011489978105902035,0.23029551275977703,-0.38275532656736677,-1.4988073381965394,-0.021533782374249244,ok
17.28,0.04123715920278741,0.010410330798627881,0.23071034110443983,-0.36729517933385136,-1.2559662653306942,0.07203998387245288,ok
17.3,0.04351479309705229,0.009067375502031683,0.2309256527031883,-0.35109682323647795,-0.9330034755149978,0.1236124589533446,ok
17.32,0.04519315962630388,0.007649762945881988,0.2308312610433954,-0.33566380982484506,-0.5500701140173028,0.17912995031800755,ok
17.34,0.046080631680105164,0.006284118587367868,0.23037089848471629,-0.32185837490863783,-0.12590259801860232,0.23518705996876094,ok
17.36,0.04611142454381233,0.00508360758873766,0.22959202084433142,-0.3102279253815217,0.2088764674157451,0.2790980021383293,ok
17.38,0.04538173678294635,0.004083173579034885,0.22858384332691234,-0.3016552544001597,0.45513267090681453,0.2813052300383617,ok
17.400000000000002,0.04410898174051499,0.0033868593652439105,0.22744874899145656,-0.2960843771998671,0.6793839834625954,0.2620362397270125,ok
17.42,0.04252834974684988,0.003067431824765335,0.22636297237848832,-0.2937266006784424,0.8157760991706242,0.2412170885730362,ok
17.44,0.04079394075427954,0.0030171452219900086,0.22530125234895257,-0.2921347417101385,0.5449669857758199,0.18086798791257427,ok
17.46,0.038964487208980256,0.0031260049214459212,0.2242298865113756,-0.28809067088687135,0.11356092362148416,0.19808903556077637,ok
17.48,0.03714808748464278,0.003436110174648954,0.22327930429704648,-0.2812831309696977,-0.08193224978505935,0.2215937968949515,ok
17.5,0.03539961155447642,0.003958263249766877,0.2224727634705358,-0.27171404628800644,-0.024780388309654535,0.187312054519159,ok
17.52,0.0337280742142948,0.004653215969271721,0.22179964969204918,-0.25997019805428,0.16376700415185855,0.08285941823949224,ok
17.54,0.032160624737198246,0.005402337310740676,0.22117015145710037,-0.2464325323486615,0.3940861445906251,-0.07133571792082231,ok
17.56,0.030729684614580782,0.006112753630408571,0.22048913800624328,-0.23153016631175086,0.6496989120216328,-0.2625265776688706,ok
17.580000000000002,0.02947624628337503,0.00665260520470308,0.2197272690512976,-0.21621234169797768,0.9221962113848078,-0.4759656411156821,ok
17.6,0.028433309001046334,0.006942972556458468,0.21896746655060545,-0.2010254268470124,1.1874248241087328,-0.7032262420794411,ok
17.62,0.02763308546780359,0.00692608477364709,0.2182346025148703,-0.1861605757502785,1.4773445619713836,-0.937793289777755,ok
17.64,0.027069831494338073,0.006585001249726469,0.21753408584951434,-0.17201278696633931,1.808443808047817,-1.1784158086222962,ok
17.66,0.02670150223265788,0.00593670878081369,0.21690873220096743,-0.15874046647727508,2.196726972707495,-1.4383685206018633,ok
17.68,0.026517952360383554,0.004992215045169196,0.21632702611136223,-0.14649673442880892,2.6469647614474088,-1.7206914471469796,ok
17.7,0.026396270603838062,0.003906646490539817,0.21599220448764045,-0.13573931989666385,3.066095024987058,-1.9167764690204057,ok
17.72,0.026351429393591586,0.0036023597929579904,0.2165566745916766,-0.13310734787928125,3.097022653317438,-1.711751109639966,ok
17.740000000000002,0.02691762881720082,0.004271468563339986,0.2174255675908387,-0.13657270679145095,2.8149611569290403,-1.4090374503978358,ok
17.76,0.028349356673096113,0.005725083777149739,0.21811856750594805,-0.1408277866436117,2.282271947590347,-1.0999297949844324,ok
17.78,0.030733977326695278,0.007881785026509582,0.21837937232128887,-0.14226676237260258,1.6974333566157376,-0.7425336534153051,ok
17.8,0.033980858503160974,0.010706391028264935,0.21812646967299618,-0.1392688674373855,1.1134169104271756,-0.36592435071352836,ok
17.82,0.037861415935068685,0.014080723820141944,0.21727426925576565,-0.13143749985440067,0.41555344090475255,0.08493170363415418,ok
17.84,0.041980401459595376,0.01757014500276126,0.21644833215388573,-0.12067943699554076,-0.21152471287537133,0.4605710048330437,ok
17.86,0.04569333570986667,0.020177005968771866,0.21644637624153557,-0.10936832818520024,-0.7063103333699179,0.6792688363465981,ok
17.88,0.04877008795628239,0.021612008174335416,0.21683395045147072,-0.09871853592319123,-1.0149314321656941,0.8785665220575386,ok
17.900000000000002,0.05104743669843709,0.02197119973306942,0.2171954774364923,-0.08949773452972073,-1.1661833025724502,1.0520523438899867,ok
17.92,0.052415313552190174,0.021468853413025832,0.21737936098665586,-0.0817150124082463,-1.1156855674726822,1.1753741093255556,ok
17.94,0.05290560018812013,0.020197451761450894,0.21731377839756752,-0.075519063586502,-0.8376961051966406,1.233418194480415,ok
17.96,0.05266180943677165,0.018356289843767852,0.21690448800872708,-0.07190727846366012,-0.4565488725881188,1.1753969854997235,ok
17.98,0.051659103137832396,0.016078548558760966,0.21616728736518567,-0.07029335024245975,-0.02716970758067047,1.0764606662313483,ok
18.0,0.04991217694436055,0.013492848605771199,0.21537957396800256,-0.06951843194705516,0.4034970863116559,1.04499789747015,ok
18.02,0.04762772954896649,0.010722011908986785,0.21477023780695964,-0.06812789894150394,0.8420013059178931,1.0758875993029215,ok
18.04,0.045053834638283136,0.007874450940487429,0.21443198479127362,-0.06531900237737424,1.3111958182489039,1.1512581150222156,ok
18.06,0.04236428276720451,0.0050235083466675795,0.21433461049115043,-0.06025049645893367,1.830851905304403,1.2630987564810636,ok
18.080000000000002,0.03972566530551555,0.0022725107322165913,0.21441643362038254,-0.05279071074467609,2.3569954972157388,1.4145241867135272,ok
